,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,8506033.6,14942.0,5,42530168.0,74710.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12014424.999999998,15305.0,785.0,7073621.999999999,13551.0,522.0,7463820.0,13670.0,546.0,9201676.0,14113.0,652.0,6776625.0,18071.0,375.0,-0.049916174924462764,-0.04991416036116236
2019-11-15,8952929.6,15727.0,5,44764648.0,78635.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12647135.0,16111.0,785.0,7445286.0,14263.0,522.0,7855848.0,14388.0,546.0,9683504.0,14852.0,652.0,7132875.0,19021.0,375.0,0.04826791245539397,0.05334012028987445
2019-10-15,8540688.4,14930.6,5,42703442.0,74653.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12313510.0,15686.0,785.0,7108074.000000001,13617.0,522.0,7499856.0,13736.0,546.0,9242752.0,14176.0,652.0,6539250.0,17438.0,375.0,-0.01714004130671165,-0.017102907099220466
2019-9-15,8689629.0,15190.4,5,43448145.0,75952.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12529384.999999998,15961.0,785.0,7232310.0,13855.0,522.0,7630350.0,13975.0,546.0,9405100.0,14425.0,652.0,6651000.0,17736.0,375.0,-0.03779317777974045,-0.03780277693321177
2019-8-15,9030936.8,15787.2,5,45154684.0,78936.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",13020010.0,16586.0,785.0,7516278.0,14399.0,522.0,7929558.0,14523.0,546.0,9776088.0,14994.0,652.0,6912750.0,18434.0,375.0,0.0038777229915263334,0.0038661104893682463
2019-7-15,8996052.6,15726.4,5,44980263.0,78632.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12968200.000000002,16520.0,785.0,7486524.0,14342.0,522.0,7898436.0,14466.0,546.0,9740228.0,14939.0,652.0,6886875.0,18365.0,375.0,0.0046225544797953155,0.004612180756601969
2019-6-15,8954659.2,15654.2,5,44773296.0,78271.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12906970.0,16442.0,785.0,7452072.0,14276.0,522.0,7861308.0,14398.0,546.0,9697196.0,14873.0,652.0,6855750.0,18282.0,375.0,-0.011603280891161472,-0.011617481784546246
2019-5-15,9059782.4,15838.2,5,45298912.0,79191.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",13056905.0,16633.0,785.0,7539246.0,14443.0,522.0,7953036.0,14566.0,546.0,9812600.0,15050.0,652.0,6937125.0,18499.0,375.0,0.02463399160824964,0.024622192319635694
2019-4-15,8841969.4,15457.6,5,44209847.0,77288.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12741335.0,16231.0,785.0,7357590.0,14095.0,522.0,7761390.0,14215.0,546.0,9578532.0,14691.0,652.0,6771000.0,18056.0,375.0,0.0351207791814927,0.03510252186374174
2019-3-15,8541968.8,14933.4,5,42709844.0,74667.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12307230.0,15678.0,785.0,7107552.0,13616.0,522.0,7497672.0,13732.0,546.0,9255140.0,14195.0,652.0,6542249.999999999,17446.0,375.0,-0.003444533867469568,-0.003456743987400923
2019-2-15,8571493.6,14985.2,5,42857468.0,74926.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12348050.0,15730.0,785.0,7132086.0,13663.0,522.0,7522788.0,13778.0,546.0,9289044.0,14247.0,652.0,6565500.0,17508.0,375.0,0.01886814701153261,0.01886074055943121
