,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,15026777.0,13059.333333333334,3,45080331.0,39178.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",16081896.0,12643.0,1272.0,15923901.0,12873.0,1237.0,13074534.0,13662.0,957.0,-0.00030744533747639746,-0.0003062005613676533
2019-11-15,15031398.333333334,13063.333333333334,3,45094195.0,39190.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",16086984.0,12647.0,1272.0,15928849.0,12877.0,1237.0,13078362.0,13666.0,957.0,0.020095966514466657,0.020094747253891487
2019-10-15,14735278.666666666,12806.0,3,44205836.0,38418.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",15770256.0,12398.0,1272.0,15614651.0,12623.0,1237.0,12820929.0,13397.0,957.0,0.010736075404675471,0.010734017363851711
2019-9-15,14578760.0,12670.0,3,43736280.0,38010.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",15602352.0,12266.0,1272.0,15448893.0,12489.0,1237.0,12685035.0,13255.0,957.0,-0.05396034117083037,-0.05395987854049478
2019-8-15,15410305.333333334,13392.666666666666,3,46230916.0,40178.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",16492752.0,12966.0,1272.0,16329637.000000002,13201.0,1237.0,13408527.0,14011.0,957.0,0.04115606345408551,0.04115055713915505
2019-7-15,14801148.333333334,12863.333333333334,3,44403445.0,38590.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",15840215.999999998,12453.0,1272.0,15683923.0,12679.0,1237.0,12879306.0,13458.0,957.0,-0.04418798046411532,-0.04418685292514979
2019-6-15,15485417.666666666,13458.0,3,46456253.0,40374.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",16572888.0,13029.0,1272.0,16408805.0,13265.0,1237.0,13474560.0,14080.0,957.0,0.002434563158222991,0.002433210845168343
2019-5-15,15447809.0,13425.333333333334,3,46343427.0,40276.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",16532184.0,12997.0,1272.0,16369221.0,13233.0,1237.0,13442022.0,14046.0,957.0,-0.0036855533908949356,-0.003685837971552197
2019-4-15,15504953.333333334,13475.0,3,46514860.0,40425.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",16593240.0,13045.0,1272.0,16429834.0,13282.0,1237.0,13491786.0,14098.0,957.0,0.060579846500812495,0.06057823486200009
2019-3-15,14619317.333333334,12705.333333333334,3,43857952.0,38116.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",15645600.0,12300.0,1272.0,15490951.0,12523.0,1237.0,12721401.0,13293.0,957.0,0.03855846090288906,0.038554807770905475
2019-2-15,14076547.333333334,12233.666666666666,3,42229642.0,36701.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",15064296.0,11843.0,1272.0,14915746.0,12058.0,1237.0,12249600.0,12800.0,957.0,0.009104045172305453,0.009100907341215159
2019-1-15,13949550.0,12123.333333333334,3,41848650.0,36370.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",14928192.0,11736.0,1272.0,14780913.0,11949.0,1237.0,12139545.0,12685.0,957.0,0.05637639897713198,0.05637689157396375
2018-12-15,13205094.333333334,11476.333333333334,3,39615283.0,34429.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",14131920.0,11110.0,1272.0,13991707.0,11311.0,1237.0,11491656.0,12008.0,957.0,-0.027675044669808524,-0.027676579400717327
2018-11-15,13580947.666666666,11803.0,3,40742843.0,35409.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",14533872.0,11426.0,1272.0,14390021.0,11633.0,1237.0,11818950.0,12350.0,957.0,-0.05117498794198361,-0.05118036388970759
2018-10-15,14313437.666666666,12439.666666666666,3,42940313.0,37319.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",15317424.0,12042.0,1272.0,15165620.0,12260.0,1237.0,12457269.0,13017.0,957.0,-0.021808990029244635,-0.021808078425205157
2018-9-15,14632559.0,12717.0,3,43897677.0,38151.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",15658320.0,12310.0,1272.0,15504558.0,12534.0,1237.0,12734799.0,13307.0,957.0,-0.05472969706574937,-0.05473240832507442
2018-8-15,15479761.666666666,13453.333333333334,3,46439285.0,40360.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",16565256.0,13023.0,1272.0,16401383.0,13259.0,1237.0,13472646.0,14078.0,957.0,0.003035806748137304,0.0030319598389583202
2018-7-15,15432910.333333334,13412.666666666666,3,46298731.0,40238.0,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",16514376.0,12983.0,1272.0,16351903.0,13219.0,1237.0,13432452.0,14036.0,957.0,,
2018-6-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-5-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-4-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-3-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-2-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-1-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-12-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-11-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-10-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-9-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-8-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|WETLAND SEASONS PARKV8座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
