,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_21,npsf_21,nfa_21,lumpSum_23,npsf_23,nfa_23,lumpSum_24,npsf_24,nfa_24,lumpSum_32,npsf_32,nfa_32,lumpSum_33,npsf_33,nfa_33,lumpSum_34,npsf_34,nfa_34,lumpSum_43,npsf_43,nfa_43,lumpSum_52,npsf_52,nfa_52,lumpSum_6164,npsf_6164,nfa_6164,lumpSum_change,npsf_change
2016-1-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,,,,,
2016-2-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",17957610.0,12342.0,1455.0,17957610.0,12342.0,1455.0,17957610.0,12342.0,1455.0,17957610.0,12342.0,1455.0,17957610.0,12342.0,1455.0,17957610.0,12342.0,1455.0,17957610.0,12342.0,1455.0,17957610.0,12342.0,1455.0,,,,,
2016-3-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",17999805.0,12371.0,1455.0,17999805.0,12371.0,1455.0,17999805.0,12371.0,1455.0,17999805.0,12371.0,1455.0,17999805.0,12371.0,1455.0,17999805.0,12371.0,1455.0,17999805.0,12371.0,1455.0,17999805.0,12371.0,1455.0,,,,,
2016-4-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",17883405.0,12291.0,1455.0,17883405.0,12291.0,1455.0,17883405.0,12291.0,1455.0,17883405.0,12291.0,1455.0,17883405.0,12291.0,1455.0,17883405.0,12291.0,1455.0,17883405.0,12291.0,1455.0,17883405.0,12291.0,1455.0,,,,,
2016-5-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",18101655.0,12441.0,1455.0,18101655.0,12441.0,1455.0,18101655.0,12441.0,1455.0,18101655.0,12441.0,1455.0,18101655.0,12441.0,1455.0,18101655.0,12441.0,1455.0,18101655.0,12441.0,1455.0,18101655.0,12441.0,1455.0,,,,,
2016-6-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-7-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-8-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-9-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-3-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-4-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-5-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-6-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-7-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-8-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-9-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
