,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_change,npsf_change
2019-12-15,64831518.6,24600.0,5,324157593.0,123000.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",66488800.0,24800.0,2681.0,66329300.0,24796.0,2675.0,65214564.00000001,24996.0,2609.0,64863036.0,24909.0,2604.0,61261893.0,23499.0,2607.0,-0.04992159230384341,-0.04992159922139916
2019-11-15,68238071.8,25892.6,5,341190359.0,129463.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",69982143.0,26103.0,2681.0,69814825.0,26099.0,2675.0,68640181.0,26309.0,2609.0,68271672.0,26218.0,2604.0,64481538.0,24734.0,2607.0,0.04743524671800281,0.04743527508090617
2019-10-15,65147771.2,24720.0,5,325738856.0,123600.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",66813201.0,24921.0,2681.0,66652975.0,24917.0,2675.0,65532862.0,25118.0,2609.0,65178120.00000001,25030.0,2604.0,61561698.0,23614.0,2607.0,-0.0171676290642071,-0.01716775737720555
2019-9-15,66285740.2,25151.8,5,331428701.0,125759.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",67979436.0,25356.0,2681.0,67816600.0,25352.0,2675.0,66675604.0,25556.0,2609.0,66318672.0,25468.0,2604.0,62638389.0,24027.0,2607.0,-0.03774523072390612,-0.03774523306705846
2019-8-15,68885852.6,26138.4,5,344429263.0,130692.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",70647031.0,26351.0,2681.0,70475550.0,26346.0,2675.0,69292431.0,26559.0,2609.0,68920068.0,26467.0,2604.0,65094183.0,24969.0,2607.0,0.0039331364701438165,0.003933015824243435
2019-7-15,68615976.6,26036.0,5,343079883.0,130180.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",70368207.0,26247.0,2681.0,70200025.0,26243.0,2675.0,69021095.0,26455.0,2609.0,68649252.0,26363.0,2604.0,64841304.0,24872.0,2607.0,0.00466912727325508,0.004669110553733313
2019-6-15,68297088.8,25915.0,5,341485444.0,129575.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",70041125.0,26125.0,2681.0,69873675.0,26121.0,2675.0,68700188.0,26332.0,2609.0,68331564.0,26241.0,2604.0,64538892.0,24756.0,2607.0,-0.011549318482688142,-0.011549405365820165
2019-5-15,69095090.0,26217.8,5,345475450.0,131089.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",70858830.0,26430.0,2681.0,70689550.0,26426.0,2675.0,69503760.0,26640.0,2609.0,69128388.0,26547.0,2604.0,65294922.0,25046.0,2607.0,0.02468533229079095,0.024685181855844007
2019-4-15,67430544.6,25586.2,5,337152723.0,127931.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",69151033.0,25793.0,2681.0,68985575.0,25789.0,2675.0,67828782.0,25998.0,2609.0,67464432.0,25908.0,2604.0,63722901.0,24443.0,2607.0,0.035166223893485116,0.035166080025893054
2019-3-15,65139823.0,24717.0,5,325699115.0,123585.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",66802477.0,24917.0,2681.0,66639600.0,24912.0,2675.0,65525035.0,25115.0,2609.0,65172912.0,25028.0,2604.0,61559091.0,23613.0,2607.0,-0.0034030070249477795,-0.0034030336997105115
2019-2-15,65362251.2,24801.4,5,326811256.0,124007.0,13176,"THE PAPILLONS,TONG CHUN ST|海翩匯,唐俊街",67030361.99999999,25002.0,2681.0,66866974.99999999,24997.0,2675.0,65749408.99999999,25201.0,2609.0,65394252.0,25113.0,2604.0,61770258.0,23694.0,2607.0,0.018923072507831762,0.018922960625780583
