,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_R,npsf_R,nfa_R,lumpSum_change,npsf_change
2019-12-15,5083975.5625,16525.8125,16,81343609.0,264413.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5359900.0,16492.0,325.0,5084664.0,16297.0,312.0,5137952.0,16736.0,307.0,5022213.0,16359.0,307.0,5032344.0,16392.0,307.0,5035550.0,16510.0,305.0,7125216.0,15456.0,461.0,5043390.0,16269.0,310.0,4892045.0,15935.0,307.0,5392534.0,16747.0,322.0,5256696.0,16376.0,321.0,3951782.9999999995,17721.0,223.0,3987017.0,17879.0,223.0,4117161.9999999995,17299.0,238.0,5190479.0,16583.0,313.0,5714664.0,15362.0,372.0,-0.030849454933002285,-0.03085426509450906
2019-11-15,5245805.8125,17051.9375,16,83932893.0,272831.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5529875.0,17015.0,325.0,5247528.0,16819.0,312.0,5300969.0,17267.0,307.0,5181853.0,16879.0,307.0,5192291.0,16913.0,307.0,5195370.0,17034.0,305.0,7351567.000000001,15947.0,461.0,5203970.0,16787.0,310.0,5047080.0,16440.0,307.0,5564160.0,17280.0,322.0,5424579.0,16899.0,321.0,4078000.9999999995,18287.0,223.0,4114349.9999999995,18450.0,223.0,4248300.0,17850.0,238.0,5356056.0,17112.0,313.0,5896944.0,15852.0,372.0,-0.011352458203930493,-0.011356512601235713
2019-10-15,5306042.4375,17247.8125,16,84896679.0,275965.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5592925.0,17209.0,325.0,5308680.0,17015.0,312.0,5361141.0,17463.0,307.0,5241104.0,17072.0,307.0,5251542.0,17106.0,307.0,5254540.0,17228.0,305.0,7435930.0,16130.0,461.0,5263800.0,16980.0,310.0,5104489.0,16627.0,307.0,5627916.0,17478.0,322.0,5487495.0,17095.0,321.0,4125277.0,18499.0,223.0,4162072.0,18664.0,223.0,4297090.0,18055.0,238.0,5418030.0,17310.0,313.0,5964648.0,16034.0,372.0,-0.0018361994276664406,-0.001841041110556496
2019-9-15,5315803.3125,17279.625,16,85052853.0,276474.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5603000.0,17240.0,325.0,5319288.0,17049.0,312.0,5370044.0,17492.0,307.0,5250621.0,17103.0,307.0,5261059.0,17137.0,307.0,5263690.0,17258.0,305.0,7449299.0,16159.0,461.0,5273720.0,17012.0,310.0,5113085.0,16655.0,307.0,5638220.0,17510.0,322.0,5498088.0,17128.0,321.0,4133305.0000000005,18535.0,223.0,4170323.0,18701.0,223.0,4304944.0,18088.0,238.0,5428359.0,17343.0,313.0,5975808.0,16064.0,372.0,-0.0490315519069805,-0.04903518728717371
2019-8-15,5589884.0,18170.625,16,89438144.0,290730.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5891275.0,18127.0,325.0,5594784.0,17932.0,312.0,5646037.0,18391.0,307.0,5521395.0,17985.0,307.0,5531833.0,18019.0,307.0,5534835.0,18147.0,305.0,7833312.0,16992.0,461.0,5545590.0,17889.0,310.0,5375877.0,17511.0,307.0,5928986.0,18413.0,322.0,5781852.0,18012.0,321.0,4346939.0,19493.0,223.0,4385741.0,19667.0,223.0,4526998.0,19021.0,238.0,5708494.0,18238.0,313.0,6284196.0,16893.0,372.0,0.024844010840975317,0.024841107856304445
2019-7-15,5454375.4375,17730.1875,16,87270007.0,283683.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5747950.0,17686.0,325.0,5460000.0,17500.0,312.0,5508501.0,17943.0,307.0,5387236.0,17548.0,307.0,5397674.0,17582.0,307.0,5400025.0,17705.0,305.0,7643380.000000001,16580.0,461.0,5411360.0,17456.0,310.0,5244788.0,17084.0,307.0,5785052.0,17966.0,322.0,5642217.0,17577.0,321.0,4241906.0,19022.0,223.0,4279816.0,19192.0,223.0,4417280.0,18560.0,238.0,5570774.0,17798.0,313.0,6132048.0,16484.0,372.0,0.002191925744417178,0.0021867846140801728
2019-6-15,5442446.0,17691.5,16,87079136.0,283064.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5734950.0,17646.0,325.0,5449080.0,17465.0,312.0,5495607.0,17901.0,307.0,5375263.0,17509.0,307.0,5385394.0,17542.0,307.0,5387825.0,17665.0,305.0,7626323.0,16543.0,461.0,5399580.0,17418.0,310.0,5232508.0,17044.0,307.0,5772172.0,17926.0,322.0,5630661.0,17541.0,321.0,4233209.0,18983.0,223.0,4270896.0,19152.0,223.0,4407760.0,18520.0,238.0,5558880.0,17760.0,313.0,6119028.0,16449.0,372.0,-0.009101010489170447,-0.009108539343149036
2019-5-15,5492432.6875,17854.125,16,87878923.0,285666.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5786950.0,17806.0,325.0,5500248.0,17629.0,312.0,5545341.0,18063.0,307.0,5424383.0,17669.0,307.0,5434514.0,17702.0,307.0,5436625.0,17825.0,305.0,7695934.0,16694.0,461.0,5449180.0,17578.0,310.0,5279786.0,17198.0,307.0,5825302.0,18091.0,322.0,5682984.0,17704.0,321.0,4272680.0,19160.0,223.0,4310813.0,19331.0,223.0,4448458.0,18691.0,238.0,5610525.0,17925.0,313.0,6175200.0,16600.0,372.0,0.04159958896848126,0.04159586958265571
2019-4-15,5273074.9375,17141.125,16,84369199.0,274258.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5555225.0,17093.0,325.0,5281536.0,16928.0,312.0,5323073.0,17339.0,307.0,5207641.0,16963.0,307.0,5217158.0,16994.0,307.0,5219160.0,17112.0,305.0,7388447.000000001,16027.0,461.0,5231870.0,16877.0,310.0,5068263.0,16509.0,307.0,5592496.0,17368.0,322.0,5456358.0,16998.0,321.0,4102531.0,18397.0,223.0,4139102.9999999995,18561.0,223.0,4270672.0,17944.0,238.0,5386730.0,17210.0,313.0,5928936.0,15938.0,372.0,0.00864747983442049,0.008642629124556933
2019-3-15,5227867.0625,16994.25,16,83645873.0,271908.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5507125.0,16945.0,325.0,5237544.0,16787.0,312.0,5276409.0,17187.0,307.0,5162819.0,16817.0,307.0,5172336.0,16848.0,307.0,5173715.0,16963.0,305.0,7324829.0,15889.0,461.0,5186920.0,16732.0,310.0,5024055.0,16365.0,307.0,5544518.0,17219.0,322.0,5410134.0,16854.0,321.0,4067743.0,18241.0,223.0,4104092.0000000005,18404.0,223.0,4234258.0,17791.0,238.0,5341032.0,17064.0,313.0,5878344.0,15802.0,372.0,0.042378912026730164,0.04237619511297508
2019-2-15,5015323.125,16303.375,16,80245170.0,260854.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5282875.0,16255.0,325.0,5025384.0,16107.0,312.0,5061202.0,16486.0,307.0,4952831.0,16133.0,307.0,4961734.0,16162.0,307.0,4962960.0,16272.0,305.0,7027023.0,15243.0,461.0,4976120.0,16052.0,310.0,4818979.0,15697.0,307.0,5319118.0,16519.0,322.0,5190570.0,16170.0,321.0,3902723.0000000005,17501.0,223.0,3937510.9999999995,17657.0,223.0,4062183.9999999995,17068.0,238.0,5124436.0,16372.0,313.0,5639520.0,15160.0,372.0,-0.0025181561945486486,-0.0025237654580634317
