,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,56325308.0,15457.0,1,56325308.0,15457,3644.0,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",56325308.0,15457.0,3644.0,0.029437229437229373,0.029437229437229373
2016-2-15,54714660.0,15015.0,1,54714660.0,15015,3644.0,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",54714660.0,15015.0,3644.0,0.045103361870954206,0.045103361870954206
2016-3-15,52353348.0,14367.0,1,52353348.0,14367,3644.0,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",52353348.0,14367.0,3644.0,0.03792804508019065,0.03792804508019065
2016-4-15,50440248.0,13842.0,1,50440248.0,13842,3644.0,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",50440248.0,13842.0,3644.0,-0.10343934192629056,-0.10343934192629056
2016-5-15,56259716.0,15439.0,1,56259716.0,15439,3644.0,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",56259716.0,15439.0,3644.0,0.05971583499210653,0.05971583499210653
2016-6-15,53089436.0,14569.0,1,53089436.0,14569,3644.0,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",53089436.0,14569.0,3644.0,0.015756815171163563,0.015756815171163563
2016-7-15,52265892.0,14343.0,1,52265892.0,14343,3644.0,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",52265892.0,14343.0,3644.0,-0.04130739923801885,-0.04130739923801885
2016-8-15,54517884.0,14961.0,1,54517884.0,14961,3644.0,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",54517884.0,14961.0,3644.0,,
2016-9-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2016-10-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2016-11-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2016-12-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2017-1-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2017-2-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2017-3-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2017-4-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2017-5-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2017-6-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2017-7-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2017-8-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2017-9-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2017-10-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2017-11-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2017-12-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2018-1-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2018-2-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2018-3-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2018-4-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2018-5-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2018-6-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2018-7-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2018-8-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2018-9-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2018-10-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2018-11-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2018-12-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2019-1-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2019-2-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2019-3-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2019-4-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2019-5-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2019-6-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2019-7-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2019-8-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2019-9-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2019-10-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2019-11-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2019-12-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2020-1-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
2020-2-15,,,1,,,,"CONSORT GARDEN,CONSORT RISE|金碧花園,金粟街",,,,,
