,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,7208929.0,11317.0,1,7208929.0,11317.0,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",7208929.0,11317.0,637.0,-0.030580777796813452,-0.030580777796813452
2019-11-15,7436338.0,11674.0,1,7436338.0,11674.0,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",7436338.0,11674.0,637.0,0.07327388066562479,0.07327388066562479
2019-10-15,6928649.0,10877.0,1,6928649.0,10877.0,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",6928649.0,10877.0,637.0,-0.0623275862068966,-0.0623275862068966
2019-9-15,7389200.0,11600.0,1,7389200.0,11600.0,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",7389200.0,11600.0,637.0,-0.041718298223874406,-0.041718298223874406
2019-8-15,7710885.0,12105.0,1,7710885.0,12105.0,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",7710885.0,12105.0,637.0,0.024458361543669538,0.024458361543669538
2019-7-15,7526792.0,11816.0,1,7526792.0,11816.0,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",7526792.0,11816.0,637.0,0.006216469386017165,0.006216469386017165
2019-6-15,7480291.0,11743.0,1,7480291.0,11743.0,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",7480291.0,11743.0,637.0,0.0006817213463996552,0.0006817213463996552
2019-5-15,7475195.0,11735.0,1,7475195.0,11735.0,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",7475195.0,11735.0,637.0,-0.005508474576271238,-0.005508474576271238
2019-4-15,7516600.0,11800.0,1,7516600.0,11800.0,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",7516600.0,11800.0,637.0,0.0492619598079318,0.0492619598079318
2019-3-15,7163702.0,11246.0,1,7163702.0,11246.0,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",7163702.0,11246.0,637.0,-0.0231063238359972,-0.0231063238359972
2019-2-15,7333144.0,11512.0,1,7333144.0,11512.0,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",7333144.0,11512.0,637.0,0.06968964876417028,0.06968964876417028
2019-1-15,6855394.0,10762.0,1,6855394.0,10762.0,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",6855394.0,10762.0,637.0,0.05036111653328135,0.05036111653328135
2018-12-15,6526702.0,10246.0,1,6526702.0,10246.0,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",6526702.0,10246.0,637.0,,
2018-11-15,,,1,,,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",,,637.0,,
2018-10-15,,,1,,,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",,,637.0,,
2018-9-15,,,1,,,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",,,637.0,,
2018-8-15,,,1,,,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",,,637.0,,
2018-7-15,,,1,,,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",,,637.0,,
2018-6-15,,,1,,,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",,,637.0,,
2018-5-15,,,1,,,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",,,637.0,,
2018-4-15,,,1,,,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",,,637.0,,
2018-3-15,,,1,,,637,"KWAI WAH COURT,SAI YEE ST|貴華閣,洗衣街",,,637.0,,
