,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2704479.0,8373.0,323.0,,
2019-11-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2745177.0,8499.0,323.0,,
2019-10-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2534258.0,7846.0,323.0,,
2019-9-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2781676.0,8612.0,323.0,,
2019-8-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2791689.0,8643.0,323.0,,
2019-7-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2764234.0,8558.0,323.0,,
2019-6-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2868886.0,8882.0,323.0,,
2019-5-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2837232.0,8784.0,323.0,,
2019-4-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2777800.0,8600.0,323.0,,
2019-3-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2813330.0,8710.0,323.0,,
2019-2-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2757451.0,8537.0,323.0,,
2019-1-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2658290.0,8230.0,323.0,,
2018-12-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2618238.0,8106.0,323.0,,
2018-11-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2641494.0,8178.0,323.0,,
2018-10-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2686391.0,8317.0,323.0,,
2018-9-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2792335.0,8645.0,323.0,,
2018-8-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2960618.0,9166.0,323.0,,
2018-7-15,,,2,,,1021,104 FUK WING ST|104 福榮街,4555148.0,6526.0,698.0,,,323.0,,
2018-6-15,,,2,,,1021,104 FUK WING ST|104 福榮街,4271760.0,6120.0,698.0,,,323.0,,
2018-5-15,,,2,,,1021,104 FUK WING ST|104 福榮街,4162174.0,5963.0,698.0,,,323.0,,
2018-4-15,,,2,,,1021,104 FUK WING ST|104 福榮街,4123784.0,5908.0,698.0,,,323.0,,
2018-3-15,,,2,,,1021,104 FUK WING ST|104 福榮街,4051192.0,5804.0,698.0,,,323.0,,
2018-2-15,,,2,,,1021,104 FUK WING ST|104 福榮街,3999540.0,5730.0,698.0,,,323.0,,
2018-1-15,,,2,,,1021,104 FUK WING ST|104 福榮街,4022574.0,5763.0,698.0,,,323.0,,
2017-12-15,,,2,,,1021,104 FUK WING ST|104 福榮街,3692420.0,5290.0,698.0,,,323.0,,
2017-11-15,,,2,,,1021,104 FUK WING ST|104 福榮街,3714058.0,5321.0,698.0,,,323.0,,
2017-10-15,,,2,,,1021,104 FUK WING ST|104 福榮街,3825738.0,5481.0,698.0,,,323.0,,
2017-9-15,,,2,,,1021,104 FUK WING ST|104 福榮街,3588418.0,5141.0,698.0,,,323.0,,
2017-8-15,,,2,,,1021,104 FUK WING ST|104 福榮街,3563290.0,5105.0,698.0,,,323.0,,
2017-7-15,,,2,,,1021,104 FUK WING ST|104 福榮街,3646352.0,5224.0,698.0,,,323.0,,
2017-6-15,,,2,,,1021,104 FUK WING ST|104 福榮街,3829926.0,5487.0,698.0,,,323.0,,
2017-5-15,,,2,,,1021,104 FUK WING ST|104 福榮街,3706380.0,5310.0,698.0,,,323.0,,
2017-4-15,,,2,,,1021,104 FUK WING ST|104 福榮街,3621224.0,5188.0,698.0,,,323.0,,
2017-3-15,,,2,,,1021,104 FUK WING ST|104 福榮街,3463476.0,4962.0,698.0,,,323.0,,
2017-2-15,,,2,,,1021,104 FUK WING ST|104 福榮街,3268036.0,4682.0,698.0,,,323.0,,
2017-1-15,,,2,,,1021,104 FUK WING ST|104 福榮街,3435556.0,4922.0,698.0,,,323.0,,
2016-12-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,,,323.0,,
2016-11-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,,,323.0,,
2016-10-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2115650.0,6550.0,323.0,,
2016-9-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2146981.0,6647.0,323.0,,
2016-8-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,2061709.0,6383.0,323.0,,
2016-7-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,1981928.0,6136.0,323.0,,
2016-6-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,1958349.0,6063.0,323.0,,
2016-5-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,1909253.0,5911.0,323.0,,
2016-4-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,1949305.0,6035.0,323.0,,
2016-3-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,1979344.0,6128.0,323.0,,
2016-2-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,1990972.0,6164.0,323.0,,
2016-1-15,,,2,,,1021,104 FUK WING ST|104 福榮街,,,698.0,1980636.0,6132.0,323.0,,
