,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,12251315.285714285,21527.285714285714,7,85759207.0,150691.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",14261317.0,22673.0,629.0,9621248.0,23296.0,413.0,15399450.0,22950.0,671.0,11136570.0,19135.0,582.0,14855100.0,21975.0,676.0,8291970.0,20474.0,405.0,12193552.0,20188.0,604.0,-0.04991252489432785,-0.04991551498032887
2019-11-15,12894934.0,22658.285714285714,7,90264538.0,158608.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",15012972.0,23868.0,629.0,10126760.000000002,24520.0,413.0,16206663.0,24153.0,671.0,11720316.0,20138.0,582.0,15635880.0,23130.0,676.0,8728155.0,21551.0,405.0,12833792.0,21248.0,604.0,0.04476043277019315,0.043659071019194196
2019-10-15,12342479.285714285,21710.428571428572,7,86397355.0,151973.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",14334281.0,22789.0,629.0,9667917.0,23409.0,413.0,15470576.0,23056.0,671.0,11188367.999999998,19224.0,582.0,14927432.000000002,22082.0,676.0,8557245.0,21129.0,405.0,12251536.0,20284.0,604.0,-0.01715522752005938,-0.01715752848809382
2019-9-15,12557913.142857144,22089.428571428572,7,87905392.0,154626.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",14586510.0,23190.0,629.0,9836834.0,23818.0,413.0,15738976.0,23456.0,671.0,11383338.0,19559.0,582.0,15187692.0,22467.0,676.0,8706690.0,21498.0,405.0,12465352.0,20638.0,604.0,-0.038956582962259234,-0.03941703785153838
2019-8-15,13066957.142857144,22995.85714285714,7,91468700.0,160971.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",15160787.0,24103.0,629.0,10339455.0,25035.0,413.0,16354954.0,24374.0,671.0,11828568.0,20324.0,582.0,15783248.0,23348.0,676.0,9047700.0,22340.0,405.0,12953988.0,21447.0,604.0,0.003969693536173047,0.003966694732902898
2019-7-15,13015290.42857143,22905.0,7,91107033.0,160335.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",15102919.0,24011.0,629.0,10298981.0,24937.0,413.0,16288525.0,24275.0,671.0,11780844.0,20242.0,582.0,15721056.0,23256.0,676.0,9012060.0,22252.0,405.0,12902648.0,21362.0,604.0,0.004738470498716785,0.0047374654559810825
2019-6-15,12953908.714285715,22797.0,7,90677361.0,159579.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",15034358.0,23902.0,629.0,10251073.0,24821.0,413.0,16211360.000000002,24160.0,671.0,11725554.0,20147.0,582.0,15650076.0,23151.0,676.0,8969940.0,22148.0,405.0,12835000.0,21250.0,604.0,-0.011493477874605862,-0.011490764027404343
2019-5-15,13104525.285714285,23062.0,7,91731677.0,161434.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",15211736.0,24184.0,629.0,10370843.0,25111.0,413.0,16399240.0,24440.0,671.0,11861160.0,20380.0,582.0,15837328.0,23428.0,676.0,9074430.0,22406.0,405.0,12976940.0,21485.0,604.0,0.01932060040386041,0.020184529828109143
2019-4-15,12856137.0,22605.714285714286,7,89992959.0,158240.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",14846916.0,23604.0,629.0,10120978.0,24506.0,413.0,16002008.0,23848.0,671.0,11574816.0,19888.0,582.0,15936700.0,23575.0,676.0,8855325.0,21865.0,405.0,12656216.0,20954.0,604.0,0.03972863223996015,0.04157341828809136
2019-3-15,12364896.57142857,21703.428571428572,7,86554276.0,151924.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",14344345.0,22805.0,629.0,9777362.0,23674.0,413.0,15457156.000000002,23036.0,671.0,11180802.0,19211.0,582.0,15399956.0,22781.0,676.0,8175735.0,20187.0,405.0,12218920.0,20230.0,604.0,-0.0062581746439718255,-0.004886356193096186
2019-2-15,12442765.57142857,21810.0,7,87099359.0,152670.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",14394665.0,22885.0,629.0,9810815.0,23755.0,413.0,15508152.0,23112.0,671.0,11218049.999999998,19275.0,582.0,15852200.0,23450.0,676.0,8061525.0,19905.0,405.0,12253951.999999998,20288.0,604.0,0.06250871376396216,0.055772621970194836
2019-1-15,11710742.142857144,20657.85714285714,7,81975195.0,144605.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",14128598.0,22462.0,629.0,9628269.0,23313.0,413.0,15218280.0,22680.0,671.0,11008530.0,18915.0,582.0,12101752.0,17902.0,676.0,7870770.0,19434.0,405.0,12018996.0,19899.0,604.0,0.04437241501720779,0.04409449955956024
2018-12-15,11213186.0,19785.428571428572,7,78492302.0,138498.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",13588916.0,21604.0,629.0,9259460.0,22420.0,413.0,14633839.0,21809.0,671.0,10585998.0,18189.0,582.0,11639368.0,17218.0,676.0,7569045.0,18689.0,405.0,11215676.0,18569.0,604.0,-0.0357336979739441,-0.03587837273410743
2018-11-15,11628723.285714285,20521.714285714286,7,81401063.0,143652.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",14087713.000000002,22397.0,629.0,9598533.0,23241.0,413.0,15170639.0,22609.0,671.0,10972446.0,18853.0,582.0,12067275.999999998,17851.0,676.0,7878060.0,19452.0,405.0,11626396.0,19249.0,604.0,0.08262771609421393,0.3203066120108087
2018-10-15,10741202.273729999,15543.142857142857,7,75188415.91611,108802.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",13514788.438394507,17691.0,629.0,8195117.165301655,16338.0,413.0,12645514.50179493,15517.0,671.0,11119507.173982862,15731.0,582.0,11550908.649434626,14069.0,676.0,7012274.904945209,14256.0,405.0,11150305.0822562,15200.0,604.0,-0.102227632255117,-0.0031426084566402723
2018-9-15,11964282.550498692,15592.142857142857,7,83749977.85349084,109145.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",14661588.724592816,17275.0,629.0,9180953.891404713,16475.0,413.0,14165704.4794527,15646.0,671.0,12454849.928711273,15860.0,582.0,12939544.330759257,14186.0,676.0,7856071.341911081,14376.0,405.0,12491265.156659001,15327.0,604.0,0.001801818898377272,-0.01588718475840123
2018-8-15,11942763.8528897,15843.857142857143,7,83599346.9702279,110907.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",14637028.955341995,17556.0,629.0,9165034.488967452,16742.0,413.0,14138860.473408654,15897.0,671.0,12430913.896722736,16114.0,582.0,12916298.019989295,14415.0,676.0,7841921.629731261,14608.0,405.0,12469289.506066505,15575.0,604.0,0.006966918676440947,0.015910964550700735
2018-7-15,11860135.255075995,15595.714285714286,7,83020946.78553197,109170.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",14537289.533437876,17283.0,629.0,9101114.332231494,16479.0,413.0,14044491.648898305,15652.0,671.0,12341986.384441853,15858.0,582.0,12825713.68012932,14188.0,676.0,7787487.664346808,14379.0,405.0,12382863.542046307,15331.0,604.0,0.013487884640433379,-0.006081683934521687
2018-6-15,11702296.036112705,15691.142857142857,7,81916072.25278893,109838.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",14324193.992977623,17369.0,629.0,8966622.606067704,16559.0,413.0,13961009.214691106,15869.0,671.0,12157324.693029523,15932.0,582.0,12635403.52306024,14256.0,676.0,7671980.487710728,14448.0,405.0,12199537.735252006,15405.0,604.0,0.02017849591088705,0.04108887898922298
2018-5-15,11470831.901493937,15071.857142857143,7,80295823.31045756,105503.0,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",13965720.4834294,16608.0,629.0,8741404.089403847,15832.0,413.0,14049637.008683654,15662.0,671.0,11849997.316236828,15230.0,582.0,12317031.482214566,13629.0,676.0,7479453.024442025,13814.0,405.0,11892579.906047223,14728.0,604.0,,
2018-4-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2018-3-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2018-2-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2018-1-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2017-12-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2017-11-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2017-10-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2017-9-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2017-8-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2017-7-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2017-6-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2017-5-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2017-4-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2017-3-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2017-2-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2017-1-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2016-12-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2016-11-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2016-10-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2016-9-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2016-8-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2016-7-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2016-6-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2016-5-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2016-4-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2016-3-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2016-2-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
2016-1-15,,,7,,,3980,"ALTO RESIDENCES(Block 8),TONG YIN ST|ALTO RESIDENCES8座,唐賢街",,,629.0,,,413.0,,,671.0,,,582.0,,,676.0,,,405.0,,,604.0,,
