,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,3958941.285714286,13732.142857142857,7,27712589,96125,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",4028815.0,13657.0,295.0,3800720.0,13574.0,280.0,4080600.0,13602.0,300.0,4028815.0,13657.0,295.0,3940440.0,14073.0,280.0,4125584.0,13571.0,304.0,3707615.0,13991.0,265.0,-0.014810448717071267,-0.014809880086092075
2019-11-15,4018456.4285714286,13938.57142857143,7,28129195,97570,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",4089585.0,13863.0,295.0,3857840.0,13778.0,280.0,4141800.0,13806.0,300.0,4089585.0,13863.0,295.0,3999520.0,14284.0,280.0,4187600.0,13775.0,304.0,3763265.0,14201.0,265.0,0.08318514682315192,0.08318438669138639
2019-10-15,3709851.8571428573,12868.142857142857,7,25968963,90077,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",3775410.0,12798.0,295.0,3561600.0,12720.0,280.0,3823800.0,12746.0,300.0,3775410.0,12798.0,295.0,3692360.0,13187.0,280.0,3865968.0,12717.0,304.0,3474415.0,13111.0,265.0,-0.08897233273546434,-0.08897182272387083
2019-9-15,4072161.5714285714,14124.857142857143,7,28505131,98874,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",4144160.0,14048.0,295.0,3909360.0,13962.0,280.0,4197300.0,13991.0,300.0,4144160.0,14048.0,295.0,4053000.0,14475.0,280.0,4243536.0,13959.0,304.0,3813615.0,14391.0,265.0,-0.0036372578182045645,-0.003637829394870673
2019-8-15,4087027.1428571427,14176.42857142857,7,28609190,99235,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",4159205.0,14099.0,295.0,3923640.0,14013.0,280.0,4212600.0,14042.0,300.0,4159205.0,14099.0,295.0,4067840.0,14528.0,280.0,4259040.0,14010.0,304.0,3827660.0,14444.0,265.0,0.009911533339743928,0.009912376222509511
2019-7-15,4046916.0,14037.285714285714,7,28328412,98261,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",4118495.0,13961.0,295.0,3885000.0,13875.0,280.0,4171200.0,13904.0,300.0,4118495.0,13961.0,295.0,4027800.0,14385.0,280.0,4217392.0,13873.0,304.0,3790030.0,14302.0,265.0,-0.04079328844075547,-0.040626037374782875
2019-6-15,4219023.857142857,14631.714285714286,7,29533167,102422,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",4274550.0,14490.0,295.0,4032280.0,14401.0,280.0,4461000.0,14870.0,300.0,4274550.0,14490.0,295.0,4180400.0,14930.0,280.0,4376992.0,14398.0,304.0,3933395.0,14843.0,265.0,0.011174315187753692,0.011175831770164901
2019-5-15,4172400.1428571427,14470.0,7,29206801,101290,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",4227055.0,14329.0,295.0,3987480.0,14241.0,280.0,4412700.0,14709.0,300.0,4227055.0,14329.0,295.0,4133920.0,14764.0,280.0,4328656.0,14239.0,304.0,3889935.0,14679.0,265.0,0.021284344359971508,0.02128474777926792
2019-4-15,4085444.1428571427,14168.42857142857,7,28598109,99179,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",4138850.0,14030.0,295.0,3904320.0,13944.0,280.0,4321500.0,14405.0,300.0,4138850.0,14030.0,295.0,4047680.0,14456.0,280.0,4238064.0,13941.0,304.0,3808845.0,14373.0,265.0,-0.07421097569562185,-0.07407995220045938
2019-3-15,4412932.142857143,15302.0,7,30890525,107114,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",4564535.0,15473.0,295.0,3953880.0,14121.0,280.0,4547700.0,15159.0,300.0,4564535.0,15473.0,295.0,4385360.0,15662.0,280.0,4674000.0,15375.0,304.0,4200515.0,15851.0,265.0,0.020259687843493746,0.0202596511949098
2019-2-15,4325302.857142857,14998.142857142857,7,30277120,104987,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",4473970.0,15166.0,295.0,3875480.0,13841.0,280.0,4457100.0,14857.0,300.0,4473970.0,15166.0,295.0,4298280.0,15351.0,280.0,4581280.0,15070.0,304.0,4117040.0,15536.0,265.0,0.03730927350883584,0.03730819772554361
2019-1-15,4169733.1428571427,14458.714285714286,7,29188132,101211,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",4313195.0,14621.0,295.0,3736040.0,13343.0,280.0,4296300.0,14321.0,300.0,4313195.0,14621.0,295.0,4143720.0,14799.0,280.0,4416512.0,14528.0,304.0,3969170.0,14978.0,265.0,,
2018-12-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2018-11-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2018-10-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2018-9-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2018-8-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2018-7-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
