,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_change,npsf_change
2019-12-15,6690217.714285715,13026.285714285714,7,46831524.0,91184.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9185112.0,13197.0,696.0,7407913.0,13693.0,541.0,8032680.0,12630.0,636.0,5258525.0,12373.0,425.0,5561136.0,12873.0,432.0,5605155.000000001,13005.0,431.0,5781003.0,13413.0,431.0,-0.000377103630242015,-0.00037273345173105543
2019-11-15,6692741.571428572,13031.142857142857,7,46849191.0,91218.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9187896.0,13201.0,696.0,7410618.0,13698.0,541.0,8037132.0,12637.0,636.0,5261075.0,12379.0,425.0,5562864.0,12877.0,432.0,5606879.0,13009.0,431.0,5782727.0,13417.0,431.0,0.020068190504300976,0.02007313554678314
2019-10-15,6561072.714285715,12774.714285714286,7,45927509.0,89423.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9006936.0,12941.0,696.0,7264548.0,13428.0,541.0,7880040.0,12390.0,636.0,5158224.999999999,12137.0,425.0,5453136.0,12623.0,432.0,5496112.0,12752.0,431.0,5668512.0,13152.0,431.0,0.010690240947273999,0.010692044260090183
2019-9-15,6491675.142857143,12639.57142857143,7,45441726.0,88477.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",8911584.0,12804.0,696.0,7187185.0,13285.0,541.0,7797360.0,12260.0,636.0,5104250.0,12010.0,425.0,5395248.0,12489.0,432.0,5437496.0,12616.0,431.0,5608603.0,13013.0,431.0,-0.05400761819698785,-0.054005217688820384
2019-8-15,6862291.142857143,13361.142857142857,7,48036038.0,93528.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9419664.0,13534.0,696.0,7597263.0,14043.0,541.0,8243832.0,12962.0,636.0,5396225.0,12697.0,425.0,5703264.0,13202.0,432.0,5747384.999999999,13335.0,431.0,5928405.0,13755.0,431.0,0.04107760506133751,0.04108552155570644
2019-7-15,6591527.0,12833.857142857143,7,46140689.0,89837.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9048000.0,13000.0,696.0,7297549.0,13489.0,541.0,7919472.0,12452.0,636.0,5184150.0,12198.0,425.0,5477760.0,12680.0,432.0,5519817.0,12807.0,431.0,5693941.0,13211.0,431.0,-0.04423868057027991,-0.044236395552955
2019-6-15,6896624.571428572,13427.857142857143,7,48276372.0,93995.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9466296.0,13601.0,696.0,7635133.0,14113.0,541.0,8287080.0,13030.0,636.0,5424700.0,12764.0,425.0,5730912.0,13266.0,432.0,5774969.0,13399.0,431.0,5957282.0,13822.0,431.0,0.002404539747122625,0.002410178203883895
2019-5-15,6880081.142857143,13395.57142857143,7,48160568.0,93769.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9443328.0,13568.0,696.0,7616198.0,14078.0,541.0,8268636.0,13001.0,636.0,5412375.0,12735.0,425.0,5717088.0,13234.0,432.0,5760315.0,13365.0,431.0,5942628.0,13788.0,431.0,-0.0037353278691950598,-0.0037292817679557277
2019-4-15,6905876.857142857,13445.714285714286,7,48341138.0,94120.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9478128.0,13618.0,696.0,7644871.0,14131.0,541.0,8301072.0,13052.0,636.0,5433200.0,12784.0,425.0,5737824.0,13282.0,432.0,5781434.0,13414.0,431.0,5964609.0,13839.0,431.0,0.06051136724492712,0.060518991763287566
2019-3-15,6511836.714285715,12678.42857142857,7,45582857.0,88749.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",8937336.0,12841.0,696.0,7208284.0,13324.0,541.0,7828524.0,12309.0,636.0,5123800.0,12056.0,425.0,5410368.0,12524.0,432.0,5450857.0,12647.0,431.0,5623688.0,13048.0,431.0,0.03849823429913246,0.038497993189716695
2019-2-15,6270436.0,12208.42857142857,7,43893052.0,85459.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",8605344.0,12364.0,696.0,6941030.0,12830.0,541.0,7539144.0,11854.0,636.0,4934675.0,11611.0,425.0,5209488.0,12059.0,432.0,5248287.0,12177.0,431.0,5415084.0,12564.0,431.0,0.009052286929596365,0.009056345345487049
