,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2016-1-15,10522973.0,15362.0,2,21045946.0,30724,1370.0,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",10505556.0,15359.0,684.0,10540390.0,15365.0,686.0,-0.03423132398845952,-0.03423128909565276
2016-2-15,10895956.0,15906.5,2,21791912.0,31813,1370.0,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",10877652.0,15903.0,684.0,10914260.0,15910.0,686.0,-0.005626228940883604,-0.0056262307379739696
2016-3-15,10957606.0,15996.5,2,21915212.0,31993,1370.0,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",10939212.0,15993.0,684.0,10976000.0,16000.0,686.0,-0.024276426604035728,-0.02427643416999603
2016-4-15,11230236.0,16394.5,2,22460472.0,32789,1370.0,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",11211444.0,16391.0,684.0,11249028.0,16398.0,686.0,0.09122073551784715,0.0912207135250267
2016-5-15,10291443.0,15024.0,2,20582886.0,30048,1370.0,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",10274364.0,15021.0,684.0,10308522.0,15027.0,686.0,-0.06389609666660023,-0.06389607152870802
2016-6-15,10993911.0,16049.5,2,21987822.0,32099,1370.0,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",10975464.0,16046.0,684.0,11012358.0,16053.0,686.0,-0.00766686003810324,-0.00766686246019721
2016-7-15,11078851.0,16173.5,2,22157702.0,32347,1370.0,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",11060280.0,16170.0,684.0,11097422.0,16177.0,686.0,-0.008034589159272243,-0.008034591677144376
2016-8-15,11168586.0,16304.5,2,22337172.0,32609,1370.0,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",11149884.0,16301.0,684.0,11187288.0,16308.0,686.0,-0.07680767121992294,-0.0768076552856577
2016-9-15,12097789.0,17661.0,2,24195578.0,35322,1370.0,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",12077388.0,17657.0,684.0,12118190.0,17665.0,686.0,-0.018015006661266653,-0.018015012510425366
2016-10-15,12319729.0,17985.0,2,24639458.0,35970,1370.0,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",12299004.0,17981.0,684.0,12340454.0,17989.0,686.0,,
2016-11-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2016-12-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2017-1-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2017-2-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2017-3-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2017-4-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2017-5-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2017-6-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2017-7-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2017-8-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2017-9-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2017-10-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2017-11-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2017-12-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2018-1-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2018-2-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2018-3-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2018-4-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2018-5-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2018-6-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2018-7-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2018-8-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2018-9-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2018-10-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2018-11-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2018-12-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2019-1-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2019-2-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2019-3-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2019-4-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2019-5-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2019-6-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2019-7-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2019-8-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2019-9-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2019-10-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2019-11-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2019-12-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2020-1-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2020-2-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2020-3-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2020-4-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2020-5-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2020-6-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2020-7-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2020-8-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2020-9-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2020-10-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2020-11-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2020-12-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2021-1-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2021-2-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2021-3-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2021-4-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2021-5-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2021-6-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2021-7-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2021-8-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2021-9-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2021-10-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2021-11-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2021-12-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2022-1-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2022-2-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2022-3-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2022-4-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2022-5-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2022-6-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2022-7-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2022-8-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2022-9-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2022-10-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2022-11-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
2022-12-15,,,2,,,,"RIVERAIN VALLEY,SING WOO CRES|御駿居,成和坊",,,,,,,,
