,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_C1,npsf_C1,nfa_C1,lumpSum_C2,npsf_C2,nfa_C2,lumpSum_C3,npsf_C3,nfa_C3,lumpSum_C4,npsf_C4,nfa_C4,lumpSum_change,npsf_change
2019-12-15,69340626.66666667,46579.833333333336,6,416043760,279479,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",67807525.0,46285.0,1465.0,67807525.0,46285.0,1465.0,71481312.0,47276.0,1512.0,70652736.0,46728.0,1512.0,67879310.0,46334.0,1465.0,70415352.0,46571.0,1512.0,-0.06370637380694133,-0.06370625973634392
2019-11-15,74058633.66666667,49749.166666666664,6,444351802,298495,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",72420810.0,49434.0,1465.0,72420810.0,49434.0,1465.0,76345416.0,50493.0,1512.0,75460896.0,49908.0,1512.0,72496990.0,49486.0,1465.0,75206880.0,49740.0,1512.0,0.026327435862919968,0.02632737125134943
2019-10-15,72158875.5,48473.0,6,432953253,290838,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",70563190.0,48166.0,1465.0,70563190.0,48166.0,1465.0,74385864.0,49197.0,1512.0,73525536.0,48628.0,1512.0,70637905.0,48217.0,1465.0,73277568.0,48464.0,1512.0,-0.011649297107131473,-0.011649324080933665
2019-9-15,73009383.5,49044.333333333336,6,438056301,294266,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",71395310.0,48734.0,1465.0,71395310.0,48734.0,1465.0,75262824.0,49777.0,1512.0,74391912.0,49201.0,1512.0,71470025.0,48785.0,1465.0,74140920.0,49035.0,1512.0,-0.039482686345040485,-0.039482703468445846
2019-8-15,76010481.5,51060.333333333336,6,456062889,306362,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",74329705.0,50737.0,1465.0,74329705.0,50737.0,1465.0,78356376.0,51823.0,1512.0,77449176.0,51223.0,1512.0,74408815.0,50791.0,1465.0,77189112.0,51051.0,1512.0,0.00895463356239179,0.008954594704966068
2019-7-15,75335876.33333333,50607.166666666664,6,452015258,303643,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",73670455.0,50287.0,1465.0,73670455.0,50287.0,1465.0,77660856.0,51363.0,1512.0,76761216.0,50768.0,1512.0,73748100.0,50340.0,1465.0,76504176.0,50598.0,1512.0,0.004917926776943693,0.004917973106696172
2019-6-15,74967193.16666667,50359.5,6,449803159,302157,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",73310065.0,50041.0,1465.0,73310065.0,50041.0,1465.0,77281344.0,51112.0,1512.0,76386240.0,50520.0,1512.0,73386245.0,50093.0,1465.0,76129200.0,50350.0,1512.0,-0.008368630962398815,-0.008368695172739749
2019-5-15,75599860.5,50784.5,6,453599163,304707,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",73928295.0,50463.0,1465.0,73928295.0,50463.0,1465.0,77933016.0,51543.0,1512.0,77030352.0,50946.0,1512.0,74007405.0,50517.0,1465.0,76771800.0,50775.0,1512.0,0.03962207825003672,0.03962210075948325
2019-4-15,72718598.5,48849.0,6,436311591,293094,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",71111100.0,48540.0,1465.0,71111100.0,48540.0,1465.0,74963448.0,49579.0,1512.0,74094048.0,49004.0,1512.0,71185815.0,48591.0,1465.0,73846080.0,48840.0,1512.0,,
2019-3-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2019-2-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
