,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,4144944.777777778,8214.777777777777,9,37304503.0,73933.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3642912.0,7784.0,468.0,4656573.0,8271.0,563.0,4730889.0,8403.0,563.0,3611620.0,8116.0,445.0,3630165.0,8085.0,449.0,3615348.0,8052.0,449.0,4830540.0,8580.0,563.0,4729200.0,8400.0,563.0,3857256.0,8242.0,468.0,-0.023599167421693656,-0.02360010565240367
2019-11-15,4245126.222222222,8413.333333333334,9,38206136.0,75720.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3731364.0,7973.0,468.0,4769173.0,8471.0,563.0,4845178.0,8606.0,563.0,3698840.0,8312.0,445.0,3717720.0000000005,8280.0,449.0,3702902.9999999995,8247.0,449.0,4947081.0,8787.0,563.0,4843489.0,8603.0,563.0,3950388.0,8441.0,468.0,-0.0428268210163677,-0.042827526925216075
2019-10-15,4435066.0,8789.777777777777,9,39915594.0,79108.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3897972.0,8329.0,468.0,4982549.999999999,8850.0,563.0,5061933.0,8991.0,563.0,3864380.0,8684.0,445.0,3884299.0,8651.0,449.0,3868584.0,8616.0,449.0,5168340.0,9180.0,563.0,5060244.0,8988.0,563.0,4127292.0,8819.0,468.0,0.014245058693969526,0.014244137595035511
2019-9-15,4372775.555555556,8666.333333333334,9,39354980.0,77997.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3843216.0,8212.0,468.0,4912738.0,8726.0,563.0,4990995.0,8865.0,563.0,3810090.0,8562.0,445.0,3829970.0,8530.0,449.0,3814255.0,8495.0,449.0,5095713.000000001,9051.0,563.0,4988743.0,8861.0,563.0,4069260.0,8695.0,468.0,-0.06295234804903271,-0.0629527734060572
2019-8-15,4666545.555555556,9248.555555555555,9,41998910.0,83237.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",4101552.0,8764.0,468.0,5242656.0,9312.0,563.0,5325980.0,9460.0,563.0,4066410.0,9138.0,445.0,4087247.0,9103.0,449.0,4070185.0,9065.0,449.0,5438017.0,9659.0,563.0,5324291.0,9457.0,563.0,4342572.0,9279.0,468.0,0.0014694083572930339,0.001467845755880326
2019-7-15,4659698.555555556,9235.0,9,41937287.0,83115.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",4095468.0,8751.0,468.0,5234774.0,9298.0,563.0,5318098.0,9446.0,563.0,4060625.0,9125.0,445.0,4081410.0,9090.0,449.0,4064348.0,9052.0,449.0,5430135.0,9645.0,563.0,5316409.0,9443.0,563.0,4336020.0,9265.0,468.0,0.004922834953295263,0.004920926633457556
2019-6-15,4636872.0,9189.777777777777,9,41731848.0,82708.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",4075344.0,8708.0,468.0,5209439.0,9253.0,563.0,5292200.0,9400.0,563.0,4040600.0,9080.0,445.0,4061654.0,9046.0,449.0,4044592.0,9008.0,449.0,5403111.0,9597.0,563.0,5289948.0,9396.0,563.0,4314960.0,9220.0,468.0,-0.03300576164478408,-0.033005576925325464
2019-5-15,4795139.222222222,9503.444444444445,9,43156253.0,85531.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",4214340.0,9005.0,468.0,5386784.0,9568.0,563.0,5472923.0,9721.0,563.0,4178550.0,9390.0,445.0,4200395.0,9355.0,449.0,4182435.0,9315.0,449.0,5587775.0,9925.0,563.0,5470671.0,9717.0,563.0,4462380.0,9535.0,468.0,0.07844051957858089,0.07843903669146401
2019-4-15,4446364.111111111,8812.222222222223,9,40017277.0,79310.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3907800.0,8350.0,468.0,4994936.0,8872.0,563.0,5074882.0,9014.0,563.0,3874615.0,8707.0,445.0,3895074.9999999995,8675.0,449.0,3878462.0,8638.0,449.0,5181289.0,9203.0,563.0,5072630.0,9010.0,563.0,4137587.9999999995,8841.0,468.0,0.09550625715706906,0.09550251395104703
2019-3-15,4058730.0,8044.0,9,36528570.0,72396.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3567096.0,7622.0,468.0,4559737.0,8099.0,563.0,4632364.0,8228.0,563.0,3537305.0,7949.0,445.0,3555631.0,7919.0,449.0,3540365.0,7885.0,449.0,4729200.0,8400.0,563.0,4630112.0,8224.0,563.0,3776760.0,8070.0,468.0,0.0001793712445086193,0.00017960018236329311
2019-2-15,4058002.111111111,8042.555555555556,9,36522019.0,72383.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3566628.0,7621.0,468.0,4558611.0,8097.0,563.0,4631238.0,8226.0,563.0,3536415.0,7947.0,445.0,3555182.0,7918.0,449.0,3539467.0,7883.0,449.0,4728637.0,8399.0,563.0,4629549.0,8223.0,563.0,3776292.0,8069.0,468.0,-0.0015974378010726875,-0.0016000220692699019
2019-1-15,4064494.888888889,8055.444444444444,9,36580454.0,72499.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3572244.0,7633.0,468.0,4565930.0,8110.0,563.0,4638557.0,8239.0,563.0,3542199.9999999995,7960.0,445.0,3561019.0,7931.0,449.0,3545303.9999999995,7896.0,449.0,4735956.0,8412.0,563.0,4636868.0,8236.0,563.0,3782376.0,8082.0,468.0,-0.0774656222133433,-0.07746828355834934
2018-12-15,4405792.333333333,8731.888888888889,9,39652131.0,78587.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3872232.0,8274.0,468.0,4949333.0,8791.0,563.0,5028153.0,8931.0,563.0,3839905.0,8629.0,445.0,3860502.0,8598.0,449.0,3842991.0,8559.0,449.0,5133434.0,9118.0,563.0,5025901.0,8927.0,563.0,4099680.0,8760.0,468.0,0.03505978029981183,0.03506091537701672
2018-11-15,4256558.333333333,8436.111111111111,9,38309025.0,75925.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3740724.0,7993.0,468.0,4781559.0,8493.0,563.0,4858127.0,8629.0,563.0,3709965.0,8337.0,445.0,3729843.0,8307.0,449.0,3712781.0000000005,8269.0,449.0,4959467.0,8809.0,563.0,4855875.0,8625.0,563.0,3960684.0,8463.0,468.0,0.03945678684198173,0.039456210725189234
2018-10-15,4094983.4444444445,8115.888888888889,9,36854851.0,73043.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3598920.0,7690.0,468.0,4600273.0,8171.0,563.0,4673463.0,8301.0,563.0,3568900.0,8020.0,445.0,3588408.0000000005,7992.0,449.0,3571795.0,7955.0,449.0,4771425.0,8475.0,563.0,4671211.0,8297.0,563.0,3810455.9999999995,8142.0,468.0,0.003729350986876545,0.003723959764744711
2018-9-15,4079768.5555555555,8085.777777777777,9,36717917.0,72772.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3585348.0,7661.0,468.0,4582820.0,8140.0,563.0,4656010.0,8270.0,563.0,3555995.0,7991.0,445.0,3575387.0,7963.0,449.0,3558773.9999999995,7926.0,449.0,4753409.0,8443.0,563.0,4653758.0,8266.0,563.0,3796416.0,8112.0,468.0,-0.06732518632582551,-0.06732457545658455
2018-8-15,4374266.888888889,8669.444444444445,9,39368402.0,78025.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3844152.0,8214.0,468.0,4913864.0,8728.0,563.0,4992121.0,8867.0,563.0,3812760.0,8568.0,445.0,3833562.0,8538.0,449.0,3815602.0,8498.0,449.0,5096276.0,9052.0,563.0,4989869.0,8863.0,563.0,4070196.0,8697.0,468.0,0.013961296785769406,0.013864705423737744
2018-7-15,4314037.333333333,8550.888888888889,9,38826336.0,76958.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3788460.0,8095.0,468.0,4842362.999999999,8601.0,563.0,4919494.0,8738.0,563.0,3757580.0,8444.0,445.0,3778335.0,8415.0,449.0,3789110.9999999995,8439.0,449.0,5022523.0,8921.0,563.0,4917242.0,8734.0,563.0,4011228.0,8571.0,468.0,-0.02425148590767312,-0.02456398296491591
