,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_2,npsf_2,nfa_2,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_change,npsf_change
2016-1-15,7477888.0,11029.333333333334,3,22433664.0,33088,2034.0,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",7447830.0,10985.0,678.0,7517664.0,11088.0,678.0,7468170.0,11015.0,678.0,-0.02265544232757344,-0.02265544232757344
2016-2-15,7651230.0,11285.0,3,22953690.0,33855,2034.0,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",7620042.0,11239.0,678.0,7691232.0,11344.0,678.0,7642416.0,11272.0,678.0,-0.008202724476343959,-0.008202724476343959
2016-3-15,7714510.0,11378.333333333334,3,23143530.0,34135,2034.0,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",7647162.0,11279.0,678.0,7719030.0,11385.0,678.0,7777338.0,11471.0,678.0,0.028286540547053818,0.028286540547053818
2016-4-15,7502296.0,11065.333333333334,3,22506888.0,33196,2034.0,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",7436304.0,10968.0,678.0,7506138.0,11071.0,678.0,7564446.0,11157.0,678.0,0.010501963410550763,0.010501963410550763
2016-5-15,7424326.0,10950.333333333334,3,22272978.0,32851,2034.0,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",7358334.0,10853.0,678.0,7427490.0,10955.0,678.0,7487154.0,11043.0,678.0,-0.01608362285851206,-0.01608362285851206
2016-6-15,7545688.0,11129.333333333334,3,22637064.0,33388,2034.0,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",7478340.0,11030.0,678.0,7548174.0,11133.0,678.0,7610550.0,11225.0,678.0,-0.01614804337576614,-0.01614804337576614
2016-7-15,7669536.0,11312.0,3,23008608.0,33936,2034.0,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",7600380.0,11210.0,678.0,7671570.0,11315.0,678.0,7736658.0,11411.0,678.0,,
2016-8-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2016-9-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2016-10-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2016-11-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2016-12-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2017-1-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2017-2-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2017-3-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2017-4-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2017-5-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2017-6-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2017-7-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2017-8-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2017-9-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2017-10-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2017-11-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2017-12-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2018-1-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2018-2-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2018-3-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2018-4-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2018-5-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2018-6-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
