,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2016-1-15,,,2,,,,2-4 GORDON RD|2-4 歌頓道,,,,,,,,
2016-2-15,3277675.0,8705.5,2,6555350.0,17411,753.0,2-4 GORDON RD|2-4 歌頓道,3322878.0,8814.0,377.0,3232472.0,8597.0,376.0,-0.0036623144258650653,-0.0036623748211731533
2016-3-15,3289723.0,8737.5,2,6579446.0,17475,753.0,2-4 GORDON RD|2-4 歌頓道,3334942.0,8846.0,377.0,3244504.0,8629.0,376.0,0.028183186414212358,0.028183101906331
2016-4-15,3199549.5,8498.0,2,6399099.0,16996,753.0,2-4 GORDON RD|2-4 歌頓道,3243331.0,8603.0,377.0,3155768.0,8393.0,376.0,0.010463719718533548,0.010463733650416085
2016-5-15,3166417.0,8410.0,2,6332834.0,16820,753.0,2-4 GORDON RD|2-4 歌頓道,3209778.0,8514.0,377.0,3123056.0,8306.0,376.0,-0.016144019286754796,-0.016144127281235376
2016-6-15,3218374.5,8548.0,2,6436749.0,17096,753.0,2-4 GORDON RD|2-4 歌頓道,3262181.0,8653.0,377.0,3174568.0,8443.0,376.0,-0.016227303912945357,-0.016227413971688365
2016-7-15,3271461.5,8689.0,2,6542923.0,17378,753.0,2-4 GORDON RD|2-4 歌頓道,3315715.0,8795.0,377.0,3227208.0,8583.0,376.0,-0.01052682996467924,-0.010533507942834364
2016-8-15,3306266.0,8781.5,2,6612532.0,17563,753.0,2-4 GORDON RD|2-4 歌頓道,3334188.0,8844.0,377.0,3278344.0,8719.0,376.0,-0.06340647296660684,-0.06340656996587035
2016-9-15,3530097.0,9376.0,2,7060194.0,18752,753.0,2-4 GORDON RD|2-4 歌頓道,3559634.0,9442.0,377.0,3500560.0,9310.0,376.0,-0.03035069987940142,-0.030353172346036517
2016-10-15,3640591.5,9669.5,2,7281183.0,19339,753.0,2-4 GORDON RD|2-4 歌頓道,3664063.0,9719.0,377.0,3617120.0,9620.0,376.0,0.0030603523806689292,0.0030601659751037236
2016-11-15,3629484.0,9640.0,2,7258968.0,19280,753.0,2-4 GORDON RD|2-4 歌頓道,3652376.0,9688.0,377.0,3606592.0,9592.0,376.0,0.033004783520576675,0.03300471495927981
2016-12-15,3513521.0,9332.0,2,7027042.0,18664,753.0,2-4 GORDON RD|2-4 歌頓道,3535506.0,9378.0,377.0,3491536.0,9286.0,376.0,-0.0337042280790919,-0.03370437483820865
2017-1-15,3636072.0,9657.5,2,7272144.0,19315,753.0,2-4 GORDON RD|2-4 歌頓道,3658408.0,9704.0,377.0,3613736.0,9611.0,376.0,0.043116193412748416,0.0430955338337744
2017-2-15,3485778.5,9258.5,2,6971557.0,18517,753.0,2-4 GORDON RD|2-4 歌頓道,3455205.0,9165.0,377.0,3516352.0,9352.0,376.0,-0.053274740913908714,-0.053274707295874024
2017-3-15,3681932.5,9779.5,2,7363865.0,19559,753.0,2-4 GORDON RD|2-4 歌頓道,3649737.0,9681.0,377.0,3714128.0,9878.0,376.0,-0.03645496332272635,-0.036454997783141985
2017-4-15,3821235.5,10149.5,2,7642471.0,20299,753.0,2-4 GORDON RD|2-4 歌頓道,3787719.0,10047.0,377.0,3854752.0,10252.0,376.0,-0.008014443001078897,-0.00801446513218984
2017-5-15,3852108.0,10231.5,2,7704216.0,20463,753.0,2-4 GORDON RD|2-4 歌頓道,3818256.0,10128.0,377.0,3885960.0,10335.0,376.0,-0.05220011598658847,-0.05220009263547942
2017-6-15,4064263.0,10795.0,2,8128526.0,21590,753.0,2-4 GORDON RD|2-4 歌頓道,4028622.0,10686.0,377.0,4099904.0,10904.0,376.0,0.030057275487262336,0.03005725190839703
2017-7-15,3945667.0,10480.0,2,7891334.0,20960,753.0,2-4 GORDON RD|2-4 歌頓道,3910998.0,10374.0,377.0,3980336.0,10586.0,376.0,0.005034767815082386,0.005034763845600532
2017-8-15,3925901.0,10427.5,2,7851802.0,20855,753.0,2-4 GORDON RD|2-4 歌頓道,3891394.0,10322.0,377.0,3960408.0,10533.0,376.0,0.03885442638957892,0.038854296388542986
2017-9-15,3779067.5,10037.5,2,7558135.0,20075,753.0,2-4 GORDON RD|2-4 歌頓道,3745495.0,9935.0,377.0,3812640.0,10140.0,376.0,-0.033228932109273135,-0.033228991090777704
2017-10-15,3908958.0,10382.5,2,7817916.0,20765,753.0,2-4 GORDON RD|2-4 歌頓道,3874052.0,10276.0,377.0,3943864.0,10489.0,376.0,-0.03378143055770122,-0.03378158298822764
2017-11-15,4045625.0,10745.5,2,8091250.0,21491,753.0,2-4 GORDON RD|2-4 歌頓道,4009018.0,10634.0,377.0,4082232.0,10857.0,376.0,-0.0016291043948308825,-0.0016259407228468303
2017-12-15,4052226.5,10763.0,2,8104453.0,21526,753.0,2-4 GORDON RD|2-4 歌頓道,4025229.0,10677.0,377.0,4079224.0,10849.0,376.0,-0.021812105243465107,-0.02181223302735613
2018-1-15,4142585.0,11003.0,2,8285170.0,22006,753.0,2-4 GORDON RD|2-4 歌頓道,4114578.0,10914.0,377.0,4170592.0,11092.0,376.0,-0.008515344121885149,-0.00851543140346922
2018-2-15,4178163.5,11097.5,2,8356327.0,22195,753.0,2-4 GORDON RD|2-4 歌頓道,4149639.0,11007.0,377.0,4206688.0,11188.0,376.0,-4.5113480147240814e-05,-4.5053162732067165e-05
2018-3-15,4178352.0,11098.0,2,8356704.0,22196,753.0,2-4 GORDON RD|2-4 歌頓道,4150016.0,11008.0,377.0,4206688.0,11188.0,376.0,-0.0287489792611908,-0.0287489607491358
2018-4-15,4302031.0,11426.5,2,8604062.0,22853,753.0,2-4 GORDON RD|2-4 歌頓道,4272918.0,11334.0,377.0,4331144.0,11519.0,376.0,-0.02412671652764009,-0.024126740114441936
2018-5-15,4408391.0,11709.0,2,8816782.0,23418,753.0,2-4 GORDON RD|2-4 歌頓道,4378478.0,11614.0,377.0,4438304.0,11804.0,376.0,-0.0218861301754536,-0.021886225043855956
2018-6-15,4507032.5,11971.0,2,9014065.0,23942,753.0,2-4 GORDON RD|2-4 歌頓道,4476121.0,11873.0,377.0,4537944.0,12069.0,376.0,-0.02631259439482425,-0.02631257879539628
2018-7-15,4628829.0,12294.5,2,9257658.0,24589,753.0,2-4 GORDON RD|2-4 歌頓道,4597138.0,12194.0,377.0,4660520.0,12395.0,376.0,-0.015494883638426327,-0.015494875080076853
2018-8-15,4701681.0,12488.0,2,9403362.0,24976,753.0,2-4 GORDON RD|2-4 歌頓道,4669522.0,12386.0,377.0,4733840.0,12590.0,376.0,0.026899179811827878,0.02693145841042721
2018-9-15,4578522.5,12160.5,2,9157045.0,24321,753.0,2-4 GORDON RD|2-4 歌頓道,4655573.0,12349.0,377.0,4501472.0,11972.0,376.0,0.0028449026992243276,0.0028451261751607504
2018-10-15,4565534.0,12126.0,2,9131068.0,24252,753.0,2-4 GORDON RD|2-4 歌頓道,4643132.0,12316.0,377.0,4487936.0,11936.0,376.0,0.13015484652237697,0.1301551796449043
2018-11-15,4039742.0,10729.5,2,8079484.0,21459,753.0,2-4 GORDON RD|2-4 歌頓道,4109300.0,10900.0,377.0,3970184.0,10559.0,376.0,-0.0176252686808418,-0.017624977110419326
2018-12-15,4112221.0,10922.0,2,8224442.0,21844,753.0,2-4 GORDON RD|2-4 歌頓道,4183946.0,11098.0,377.0,4040496.0,10746.0,376.0,0.0010996410646921806,0.0010999083409715116
2019-1-15,4107704.0,10910.0,2,8215408.0,21820,753.0,2-4 GORDON RD|2-4 歌頓道,4180176.0,11088.0,377.0,4035232.0,10732.0,376.0,-0.06588487634135232,-0.06588466972045037
2019-2-15,4397428.0,11679.5,2,8794856.0,23359,753.0,2-4 GORDON RD|2-4 歌頓道,4475744.0,11872.0,377.0,4319112.0,11487.0,376.0,-0.0018376928601455678,-0.0018374497906161746
2019-3-15,4405524.0,11701.0,2,8811048.0,23402,753.0,2-4 GORDON RD|2-4 歌頓道,4484792.0,11896.0,377.0,4326256.0,11506.0,376.0,-0.010444354223277164,-0.010444416254387079
2019-4-15,4452022.5,11824.5,2,8904045.0,23649,753.0,2-4 GORDON RD|2-4 歌頓道,4531917.0,12021.0,377.0,4372128.0,11628.0,376.0,-0.027870094229743847,-0.02787026760389688
2019-5-15,4579658.0,12163.5,2,9159316.0,24327,753.0,2-4 GORDON RD|2-4 歌頓道,4661228.0,12364.0,377.0,4498088.0,11963.0,376.0,0.014724463454838688,0.014724284641695062
2019-6-15,4513203.5,11987.0,2,9026407.0,23974,753.0,2-4 GORDON RD|2-4 歌頓道,4592991.0,12183.0,377.0,4433416.0,11791.0,376.0,-0.0338906496155591,-0.03389079185976229
2019-7-15,4671524.5,12407.5,2,9343049.0,24815,753.0,2-4 GORDON RD|2-4 歌頓道,4753593.0,12609.0,377.0,4589456.0,12206.0,376.0,-0.0181219292168725,-0.01812210659597202
2019-8-15,4757744.0,12636.5,2,9515488.0,25273,753.0,2-4 GORDON RD|2-4 歌頓道,4840680.0,12840.0,377.0,4674808.0,12433.0,376.0,0.11418257676429633,0.11418242736851392
2019-9-15,4270165.5,11341.5,2,8540331.0,22683,753.0,2-4 GORDON RD|2-4 歌頓道,4344171.0,11523.0,377.0,4196160.0,11160.0,376.0,-0.0697205446433502,-0.06972070704999389
2019-10-15,4590196.5,12191.5,2,9180393.0,24383,753.0,2-4 GORDON RD|2-4 歌頓道,4669145.0,12385.0,377.0,4511248.0,11998.0,376.0,0.012541186493058243,0.012541007433246154
2019-11-15,4533343.0,12040.5,2,9066686.0,24081,753.0,2-4 GORDON RD|2-4 歌頓道,4610710.0,12230.0,377.0,4455976.0,11851.0,376.0,0.035341339321552256,0.03534115826131812
2019-12-15,4378597.5,11629.5,2,8757195.0,23259,753.0,2-4 GORDON RD|2-4 歌頓道,4452747.0,11811.0,377.0,4304448.0,11448.0,376.0,-0.025882451090810443,-0.025882648573941403
2020-1-15,4494937.5,11938.5,2,8989875.0,23877,753.0,2-4 GORDON RD|2-4 歌頓道,4570371.0,12123.0,377.0,4419504.0,11754.0,376.0,0.06238056915555523,0.06238042269187982
2020-2-15,4231005.0,11237.5,2,8462010.0,22475,753.0,2-4 GORDON RD|2-4 歌頓道,4301570.0,11410.0,377.0,4160440.0,11065.0,376.0,-0.005398720395602186,-0.005398946762844581
2020-3-15,4253971.0,11298.5,2,8507942.0,22597,753.0,2-4 GORDON RD|2-4 歌頓道,4324190.0,11470.0,377.0,4183752.0,11127.0,376.0,-0.04685937013196739,-0.046861818795343346
2020-4-15,4463109.5,11854.0,2,8926219.0,23708,753.0,2-4 GORDON RD|2-4 歌頓道,4528147.0,12011.0,377.0,4398072.0,11697.0,376.0,-0.03070428909887246,-0.030704444171879453
2020-5-15,4604487.0,12229.5,2,9208974.0,24459,753.0,2-4 GORDON RD|2-4 歌頓道,4671030.0,12390.0,377.0,4537944.0,12069.0,376.0,0.035301765065768764,0.03530158730158739
2020-6-15,4447483.0,11812.5,2,8894966.0,23625,753.0,2-4 GORDON RD|2-4 歌頓道,4511182.0,11966.0,377.0,4383784.0,11659.0,376.0,-0.010802478574811647,-0.01080266298203747
2020-7-15,4496051.5,11941.5,2,8992103.0,23883,753.0,2-4 GORDON RD|2-4 歌頓道,4559815.0,12095.0,377.0,4432288.0,11788.0,376.0,0.050577998213851005,0.05058725201249281
