,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,29604213.0,28702.0,3,88812639,86106,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",34451540.0,28055.0,1228.0,27793972.0,29758.0,934.0,26567127.0,28293.0,939.0,-0.023357394727054226,-0.023353938637781346
2019-11-15,30312227.666666668,29388.333333333332,3,90936683,88165,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",35276756.0,28727.0,1228.0,28459914.0,30471.0,934.0,27200013.0,28967.0,939.0,-0.04261800234591351,-0.04261095244817514
2019-10-15,31661581.0,30696.333333333332,3,94984743,92089,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",36849824.0,30008.0,1228.0,29727352.0,31828.0,934.0,28407567.0,30253.0,939.0,0.014505378078611963,0.014508879390120244
2019-9-15,31208884.333333332,30257.333333333332,3,93626653,90772,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",36324240.0,29580.0,1228.0,29304250.0,31375.0,934.0,27998163.0,29817.0,939.0,-0.06273407271439468,-0.06272780777928078
2019-8-15,33297790.333333332,32282.333333333332,3,99893371,96847,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",38758136.0,31562.0,1228.0,31266584.0,33476.0,934.0,29868651.0,31809.0,939.0,0.0017421140515858635,0.0017480709158235186
2019-7-15,33239882.666666668,32226.0,3,99719648,96678,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",38693052.0,31509.0,1228.0,31213346.0,33419.0,934.0,29813250.0,31750.0,939.0,0.005174074195071432,0.005177791640673668
2019-6-15,33068782.333333332,32060.0,3,99206347,96180,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",38495344.0,31348.0,1228.0,31054566.0,33249.0,934.0,29656437.0,31583.0,939.0,-0.03626989629266353,-0.036610407171833614
2019-5-15,34313323.0,33278.333333333336,3,102939969,99835,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",39800708.0,32411.0,1228.0,32106250.0,34375.0,934.0,31033011.0,33049.0,939.0,0.07868643742110448,0.07869089808972252
2019-4-15,31810285.0,30850.666666666668,3,95430855,92552,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",36898944.0,30048.0,1228.0,29765646.0,31869.0,934.0,28766265.0,30635.0,939.0,0.09580091771097998,0.09580866682453237
2019-3-15,29029255.666666668,28153.333333333332,3,87087767,84460,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",33675444.0,27423.0,1228.0,27164456.0,29084.0,934.0,26247867.0,27953.0,939.0,0.0004350033716293833,0.0004382691920448156
2019-2-15,29016633.333333332,28141.0,3,87049900,84423,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",33661936.0,27412.0,1228.0,27154182.0,29073.0,934.0,26233782.0,27938.0,939.0,-0.0013087631373221997,-0.0013012669608318816
2019-1-15,29054659.0,28177.666666666668,3,87163977,84533,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",33708600.0,27450.0,1228.0,27190608.0,29112.0,934.0,26264769.0,27971.0,939.0,-0.06879048743014793,-0.06795228014465904
2018-12-15,31200990.333333332,30232.0,3,93602971,90696,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",36530544.0,29748.0,1228.0,29466766.0,31549.0,934.0,27605661.0,29399.0,939.0,0.03278795768625509,0.03253717070060791
2018-11-15,30210451.333333332,29279.333333333332,3,90631354,87838,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",35284124.0,28733.0,1228.0,28461782.0,30473.0,934.0,26885448.0,28632.0,939.0,0.0422591175696605,0.0425132928218761
2018-10-15,28985547.666666668,28085.333333333332,3,86956643,84256,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",33937008.0,27636.0,1228.0,27374606.0,29309.0,934.0,25645029.0,27311.0,939.0,0.003996466618074512,0.004003813155386116
2018-9-15,28870169.0,27973.333333333332,3,86610507,83920,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",33804384.0,27528.0,1228.0,27266262.0,29193.0,934.0,25539861.0,27199.0,939.0,-0.0669900356928893,-0.06698537995441667
2018-8-15,30943044.666666668,29981.666666666668,3,92829134,89945,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",36233368.0,29506.0,1228.0,29225794.0,31291.0,934.0,27369972.0,29148.0,939.0,,
2018-7-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2018-6-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2018-5-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2018-4-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2018-3-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2018-2-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
