,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,6052072.2,17632.6,5,30260361.0,88163.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",5306931.0,17631.0,301.0,5650071.0,18771.0,301.0,7109365.0,17131.0,415.0,6943952.0,17188.0,404.0,5250042.0,17442.0,301.0,0.03426415427099694,0.03425501214175952
2019-11-15,5851573.0,17048.6,5,29257865.0,85243.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",5131749.0,17049.0,301.0,5463451.0,18151.0,301.0,6873230.0,16562.0,415.0,6713672.0,16618.0,404.0,5075763.0,16863.0,301.0,-0.014170496862316417,-0.014178491713793373
2019-10-15,5935684.6,17293.8,5,29678423.0,86469.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",5206096.0,17296.0,301.0,5542313.0,18413.0,301.0,6971585.0,16799.0,415.0,6809824.0,16856.0,404.0,5148605.0,17105.0,301.0,-0.008850222197330893,-0.008860411269801416
2019-9-15,5988685.8,17448.4,5,29943429.0,87242.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",5253052.0,17452.0,301.0,5592580.0,18580.0,301.0,7033420.0,16948.0,415.0,6870020.000000001,17005.0,404.0,5194357.0,17257.0,301.0,0.02574510357862847,0.025736893466427047
2019-8-15,5838376.2,17010.6,5,29191881.0,85053.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",5121816.0,17016.0,301.0,5452615.0,18115.0,301.0,6856215.000000001,16521.0,415.0,6697512.0,16578.0,404.0,5063723.0,16823.0,301.0,-0.04246500663080599,-0.0424763019836536
2019-7-15,6097298.0,17765.2,5,30486490.0,88826.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",5349673.000000001,17773.0,301.0,5695221.0,18921.0,301.0,7159580.0,17252.0,415.0,6994048.0,17312.0,404.0,5287968.0,17568.0,301.0,0.09086295834803226,0.09085326914574843
2019-6-15,5589426.2,16285.6,5,27947131.0,81428.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",4904493.999999999,16294.0,301.0,5221447.0,17347.0,301.0,6562810.0,15814.0,415.0,6411076.0,15869.0,404.0,4847304.0,16104.0,301.0,-0.08774502313823829,-0.08775389027682867
2019-5-15,6127043.8,17852.2,5,30635219.0,89261.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",5376763.0,17863.0,301.0,5724417.999999999,19018.0,301.0,7193610.0,17334.0,415.0,7027176.0,17394.0,404.0,5313252.0,17652.0,301.0,0.0006393463211373795,0.0006277675018215856
2019-4-15,6123129.0,17841.0,5,30615645.0,89205.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",5374054.0,17854.0,301.0,5721408.0,19008.0,301.0,7188215.0,17321.0,415.0,7022328.0,17382.0,404.0,5309640.0,17640.0,301.0,0.05447939194932716,0.05447001666725759
2019-3-15,5806779.2,16919.4,5,29033896.0,84597.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",5097134.0,16934.0,301.0,5426427.999999999,18028.0,301.0,6816375.0,16425.0,415.0,6659132.0,16483.0,404.0,5034827.0,16727.0,301.0,-0.06465184766714793,-0.06465807949582614
2019-2-15,6208147.4,18089.0,5,31040737.0,90445.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",5449906.0,18106.0,301.0,5802076.0,19276.0,301.0,7286985.0,17559.0,415.0,7119288.0,17622.0,404.0,5382482.0,17882.0,301.0,0.0897385402266695,0.0897250536157499
2019-1-15,5696914.6,16599.6,5,28484573.0,82998.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",5001717.0,16617.0,301.0,5324991.0,17691.0,301.0,6686480.0,16112.0,415.0,6532276.0,16169.0,404.0,4939109.0,16409.0,301.0,0.08611804039939241,0.0861053678452719
2018-12-15,5245207.6,15283.6,5,26226038.0,76418.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",4605902.0,15302.0,301.0,4903290.0,16290.0,301.0,6155695.0,14833.0,415.0,6013944.000000001,14886.0,404.0,4547207.0,15107.0,301.0,-0.12520270477618756,-0.12521177709602094
2018-11-15,5995912.0,17471.2,5,29979560.0,87356.0,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",5265694.0,17494.0,301.0,5605824.0,18624.0,301.0,7035910.0,16954.0,415.0,6874464.0,17016.0,404.0,5197668.0,17268.0,301.0,,
2018-10-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-9-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-8-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-7-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-6-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-5-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-4-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-3-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-2-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2018-1-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-12-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-11-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-10-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-9-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-8-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-7-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-6-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-5-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-4-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-3-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-2-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2017-1-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2016-12-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2016-11-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2016-10-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2016-9-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2016-8-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2016-7-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2016-6-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2016-5-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2016-4-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2016-3-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2016-2-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
2016-1-15,,,5,,,1722,"WEALTHY GARDEN,HING FONG RD|葵芳匯,興芳路",,,301.0,,,301.0,,,415.0,,,404.0,,,301.0,,
