,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_change,npsf_change
2019-12-15,6739703.857142857,13123.42857142857,7,47177927.0,91864.0,3592,"WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|WETLAND SEASONS PARK20座,濕地公園路",8372940.0,13165.0,636.0,7028131.0,12991.0,541.0,9249144.0,13289.0,696.0,5783589.0,13419.0,431.0,5746092.0,13332.0,431.0,5500656.0,12733.0,432.0,5497375.0,12935.0,425.0,-0.0003464191293027774,-0.0003373415310953254
2019-11-15,6742039.428571428,13127.857142857143,7,47194276.0,91895.0,3592,"WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|WETLAND SEASONS PARK20座,濕地公園路",8376120.0,13170.0,636.0,7031377.0,12997.0,541.0,9252624.0,13294.0,696.0,5785744.0,13424.0,431.0,5747816.0,13336.0,431.0,5501520.0,12735.0,432.0,5499075.0,12939.0,425.0,0.020078178590319462,0.020092135205639128
2019-10-15,6609336.0,12869.285714285714,7,46265352.0,90085.0,3592,"WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|WETLAND SEASONS PARK20座,濕地公園路",8211396.0,12911.0,636.0,6894504.0,12744.0,541.0,9070968.0,13033.0,696.0,5671529.0,13159.0,431.0,5634463.0,13073.0,431.0,5391792.0,12481.0,432.0,5390700.0,12684.0,425.0,0.010704649444134073,0.010714686413104468
2019-9-15,6539334.714285715,12732.857142857143,7,45775343.0,89130.0,3592,"WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|WETLAND SEASONS PARK20座,濕地公園路",8124900.0,12775.0,636.0,6822551.0,12611.0,541.0,8974920.0,12895.0,696.0,5611188.999999999,13019.0,431.0,5574554.0,12934.0,431.0,5333904.0,12347.0,432.0,5333324.999999999,12549.0,425.0,-0.05400418686033137,-0.05399237929460721
2019-8-15,6912646.571428572,13459.57142857143,7,48388526.0,94217.0,3592,"WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|WETLAND SEASONS PARK20座,濕地公園路",8588544.0,13504.0,636.0,7213694.0,13334.0,541.0,9487872.0,13632.0,696.0,5930991.0,13761.0,431.0,5892632.0,13672.0,431.0,5637168.0,13049.0,432.0,5637625.0,13265.0,425.0,0.04108378595896012,0.04109483082499077
2019-7-15,6639856.142857143,12928.285714285714,7,46478993.0,90498.0,3592,"WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|WETLAND SEASONS PARK20座,濕地公園路",8250191.999999999,12972.0,636.0,6930210.0,12810.0,541.0,9113424.0,13094.0,696.0,5696958.0,13218.0,431.0,5659892.0,13132.0,431.0,5413392.0,12531.0,432.0,5414925.0,12741.0,425.0,-0.04419176807542857,-0.044179930503480125
2019-6-15,6946849.714285715,13525.857142857143,7,48627948.0,94681.0,3592,"WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|WETLAND SEASONS PARK20座,濕地公園路",8631792.0,13572.0,636.0,7252105.0,13405.0,541.0,9535200.0,13700.0,696.0,5959868.0,13828.0,431.0,5921509.0,13739.0,431.0,5662224.0,13107.0,432.0,5665250.0,13330.0,425.0,0.0023760179323011332,0.002392673759991526
2019-5-15,6930383.0,13493.57142857143,7,48512681.0,94455.0,3592,"WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|WETLAND SEASONS PARK20座,濕地公園路",8612076.0,13541.0,636.0,7236416.0,13376.0,541.0,9512928.0,13668.0,696.0,5945645.0,13795.0,431.0,5906855.0,13705.0,431.0,5647536.0,13073.0,432.0,5651225.0,13297.0,425.0,-0.003711447242423227,-0.00370229732295424
2019-4-15,6956200.571428572,13543.714285714286,7,48693404.0,94806.0,3592,"WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|WETLAND SEASONS PARK20座,濕地公園路",8644512.0,13592.0,636.0,7264548.0,13428.0,541.0,9548424.0,13719.0,696.0,5967626.0,13846.0,431.0,5928836.0,13756.0,431.0,5667408.0,13119.0,432.0,5672050.0,13346.0,425.0,0.060525483806696645,0.06054097590442309
2019-3-15,6559201.714285715,12770.57142857143,7,45914412.0,89394.0,3592,"WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|WETLAND SEASONS PARK20座,濕地公園路",8150976.0,12816.0,636.0,6851765.0,12665.0,541.0,9004152.0,12937.0,696.0,5626705.0,13055.0,431.0,5590070.0,12970.0,431.0,5342544.0,12367.0,432.0,5348200.0,12584.0,425.0,0.03849982927807716,0.03851113512006421
2019-2-15,6316035.428571428,12297.0,7,44212248.0,86079.0,3592,"WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|WETLAND SEASONS PARK20座,濕地公園路",7849512.0,12342.0,636.0,6599118.0,12198.0,541.0,8670072.0,12457.0,696.0,5417670.0,12570.0,431.0,5382759.0,12489.0,431.0,5143392.0,11906.0,432.0,5149725.0,12117.0,425.0,0.009082789697936855,0.009096983693422267
