,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,31954356.0,14918.0,1,31954356.0,14918,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",31954356.0,14918.0,2142.0,0.02904049113609708,0.02904049113609708
2016-2-15,31052574.0,14497.0,1,31052574.0,14497,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",31052574.0,14497.0,2142.0,0.04475353127702508,0.04475353127702508
2016-3-15,29722392.0,13876.0,1,29722392.0,13876,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",29722392.0,13876.0,2142.0,0.03753551667414379,0.03753551667414379
2016-4-15,28647108.0,13374.0,1,28647108.0,13374,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",28647108.0,13374.0,2142.0,-0.10373944511459587,-0.10373944511459587
2016-5-15,31962924.0,14922.0,1,31962924.0,14922,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",31962924.0,14922.0,2142.0,0.05934970893085323,0.05934970893085323
2016-6-15,30172212.0,14086.0,1,30172212.0,14086,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",30172212.0,14086.0,2142.0,0.015426758938869689,0.015426758938869689
2016-7-15,29713824.0,13872.0,1,29713824.0,13872,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",29713824.0,13872.0,2142.0,-0.041724233213594863,-0.041724233213594863
2016-8-15,31007592.0,14476.0,1,31007592.0,14476,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",31007592.0,14476.0,2142.0,-0.019706101442405366,-0.019706101442405366
2016-9-15,31630914.0,14767.0,1,31630914.0,14767,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",31630914.0,14767.0,2142.0,-0.019129857190302246,-0.019129857190302246
2016-10-15,32247810.0,15055.0,1,32247810.0,15055,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",32247810.0,15055.0,2142.0,0.0023969638457952414,0.0023969638457952414
2016-11-15,32170698.0,15019.0,1,32170698.0,15019,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",32170698.0,15019.0,2142.0,-0.038968518044535494,-0.038968518044535494
2016-12-15,33475176.0,15628.0,1,33475176.0,15628,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",33475176.0,15628.0,2142.0,-0.04034387473134782,-0.04034387473134782
2017-1-15,34882470.0,16285.0,1,34882470.0,16285,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",34882470.0,16285.0,2142.0,0.08747913188647738,0.08747913188647738
2017-2-15,32076450.0,14975.0,1,32076450.0,14975,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",32076450.0,14975.0,2142.0,-0.04787639877924721,-0.04787639877924721
2017-3-15,33689376.0,15728.0,1,33689376.0,15728,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",33689376.0,15728.0,2142.0,-0.0645890329487332,-0.0645890329487332
2017-4-15,36015588.0,16814.0,1,36015588.0,16814,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",36015588.0,16814.0,2142.0,0.02806481198410271,0.02806481198410271
2017-5-15,35032410.0,16355.0,1,35032410.0,16355,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",35032410.0,16355.0,2142.0,-0.032820816085156745,-0.032820816085156745
2017-6-15,36221220.0,16910.0,1,36221220.0,16910,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",36221220.0,16910.0,2142.0,0.00011828720132478487,0.00011828720132478487
2017-7-15,36216936.0,16908.0,1,36216936.0,16908,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",36216936.0,16908.0,2142.0,-0.013650682534126712,-0.013650682534126712
2017-8-15,36718164.0,17142.0,1,36718164.0,17142,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",36718164.0,17142.0,2142.0,0.0007005253940455258,0.0007005253940455258
2017-9-15,36692460.0,17130.0,1,36692460.0,17130,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",36692460.0,17130.0,2142.0,0.03211423751280362,0.03211423751280362
2017-10-15,35550774.0,16597.0,1,35550774.0,16597,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",35550774.0,16597.0,2142.0,-0.018277534603099443,-0.018277534603099443
2017-11-15,36212652.0,16906.0,1,36212652.0,16906,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",36212652.0,16906.0,2142.0,-0.07919389978213509,-0.07919389978213509
