,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_R,npsf_R,nfa_R,lumpSum_change,npsf_change
2019-12-15,5456496.0,14668.0,1,5456496.0,14668.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5456496.0,14668.0,372.0,-0.030727549064957338,-0.030727549064957338
2019-11-15,5629476.0,15133.0,1,5629476.0,15133.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5629476.0,15133.0,372.0,-0.011302757088723414,-0.011302757088723414
2019-10-15,5693832.0,15306.0,1,5693832.0,15306.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5693832.0,15306.0,372.0,-0.0017609078458227234,-0.0017609078458227234
2019-9-15,5703876.0,15333.0,1,5703876.0,15333.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5703876.0,15333.0,372.0,-0.0489393375511723,-0.0489393375511723
2019-8-15,5997384.0,16122.0,1,5997384.0,16122.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5997384.0,16122.0,372.0,0.024985695212664583,0.024985695212664583
2019-7-15,5851188.0,15729.0,1,5851188.0,15729.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5851188.0,15729.0,372.0,0.002294016440451241,0.002294016440451241
2019-6-15,5837796.0,15693.0,1,5837796.0,15693.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5837796.0,15693.0,372.0,-0.009030058095478632,-0.009030058095478632
2019-5-15,5890992.0,15836.0,1,5890992.0,15836.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5890992.0,15836.0,372.0,0.04170503881068277,0.04170503881068277
2019-4-15,5655144.0,15202.0,1,5655144.0,15202.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5655144.0,15202.0,372.0,0.008759124087591275,0.008759124087591275
2019-3-15,5606040.0,15070.0,1,5606040.0,15070.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5606040.0,15070.0,372.0,0.04247371333702277,0.04247371333702277
2019-2-15,5377632.0,14456.0,1,5377632.0,14456.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5377632.0,14456.0,372.0,-0.0024152922503622998,-0.0024152922503622998
2019-1-15,5390652.0,14491.0,1,5390652.0,14491.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5390652.0,14491.0,372.0,0.010177762286510905,0.010177762286510905
2018-12-15,5336340.0,14345.0,1,5336340.0,14345.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5336340.0,14345.0,372.0,-0.04576598150735045,-0.04576598150735045
2018-11-15,5592276.0,15033.0,1,5592276.0,15033.0,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",5592276.0,15033.0,372.0,,
2018-10-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2018-9-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2018-8-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2018-7-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2018-6-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2018-5-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2018-4-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2018-3-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2018-2-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2018-1-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2017-12-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2017-11-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2017-10-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2017-9-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2017-8-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2017-7-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2017-6-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2017-5-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2017-4-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2017-3-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2017-2-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2017-1-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2016-12-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2016-11-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2016-10-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2016-9-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2016-8-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2016-7-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2016-6-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2016-5-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2016-4-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2016-3-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2016-2-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
2016-1-15,,,1,,,372,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,372.0,,
