,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A7,npsf_A7,nfa_A7,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_C1,npsf_C1,nfa_C1,lumpSum_C2,npsf_C2,nfa_C2,lumpSum_C3,npsf_C3,nfa_C3,lumpSum_C5,npsf_C5,nfa_C5,lumpSum_C6,npsf_C6,nfa_C6,lumpSum_C7,npsf_C7,nfa_C7,lumpSum_C8,npsf_C8,nfa_C8,lumpSum_change,npsf_change
2019-12-15,,,20,,,10038,"OMA BY THE SEA(Block 1),CASTLE PEAK RD TAI LAM|OMA BY THE SEA1座,青山公路大欖段",,,1288.0,10296180.0,12435.0,828.0,5870252.0,13162.0,446.0,5811715.0,12773.0,455.0,5782671.0,12123.0,477.0,5485354.0,12299.0,446.0,5667583.0,12241.0,463.0,8038953.0,12987.0,619.0,6010431.0,12761.0,471.0,5634180.0,12465.0,452.0,4381832.0,12964.0,338.0,4701294.0,13394.0,351.0,4527198.0,12898.0,351.0,5573131.0,12037.0,463.0,8002432.0,12928.0,619.0,5747142.0,12202.0,471.0,5639600.0,12260.0,460.0,4472416.0,13232.0,338.0,4694274.0,13374.0,351.0,4516317.0,12867.0,351.0,,
2019-11-15,,,20,,,10038,"OMA BY THE SEA(Block 1),CASTLE PEAK RD TAI LAM|OMA BY THE SEA1座,青山公路大欖段",,,1288.0,10623240.0,12830.0,828.0,6057126.0,13581.0,446.0,5996445.0,13179.0,455.0,5966316.0,12508.0,477.0,5660186.0,12691.0,446.0,5847690.0,12630.0,463.0,8295219.0,13401.0,619.0,6203541.0,13171.0,471.0,5813624.0,12862.0,452.0,4521764.0,13378.0,338.0,4852224.0,13824.0,351.0,4671108.0,13308.0,351.0,5749997.0,12419.0,463.0,8256221.999999999,13338.0,619.0,5929890.0,12590.0,471.0,5819000.0,12650.0,460.0,4613700.0,13650.0,338.0,4842747.0,13797.0,351.0,4659876.0,13276.0,351.0,,
2019-10-15,,,20,,,10038,"OMA BY THE SEA(Block 1),CASTLE PEAK RD TAI LAM|OMA BY THE SEA1座,青山公路大欖段",,,1288.0,10744956.0,12977.0,828.0,6126256.0,13736.0,446.0,6065605.0,13331.0,455.0,6035004.0,12652.0,477.0,5724856.0,12836.0,446.0,5914825.0,12775.0,463.0,8391783.0,13557.0,619.0,6276546.0,13326.0,471.0,5880068.0,13009.0,452.0,4573816.0,13532.0,338.0,4909086.0,13986.0,351.0,4724811.0,13461.0,351.0,5815743.0,12561.0,463.0,8349691.000000001,13489.0,619.0,5997714.0,12734.0,471.0,5885700.0,12795.0,460.0,4666090.0,13805.0,338.0,4897503.0,13953.0,351.0,4713579.0,13429.0,351.0,,
2019-9-15,,,20,,,10038,"OMA BY THE SEA(Block 1),CASTLE PEAK RD TAI LAM|OMA BY THE SEA1座,青山公路大欖段",,,1288.0,10764828.0,13001.0,828.0,6137406.0,13761.0,446.0,6076980.0,13356.0,455.0,6045975.0,12675.0,477.0,5735560.0,12860.0,446.0,5925474.0,12798.0,463.0,8407877.0,13583.0,619.0,6289734.0,13354.0,471.0,5890916.0,13033.0,452.0,4582604.0,13558.0,338.0,4919616.0,14016.0,351.0,4733235.0,13485.0,351.0,5826392.0,12584.0,463.0,8363928.0,13512.0,619.0,6008547.0,12757.0,471.0,5896280.0,12818.0,460.0,4673864.0,13828.0,338.0,4905576.0,13976.0,351.0,4722003.0,13453.0,351.0,,
2019-8-15,,,20,,,10038,"OMA BY THE SEA(Block 1),CASTLE PEAK RD TAI LAM|OMA BY THE SEA1座,青山公路大欖段",,,1288.0,11319588.0,13671.0,828.0,6453620.0,14470.0,446.0,6390475.0,14045.0,455.0,6357456.0,13328.0,477.0,6031258.0,13523.0,446.0,6231054.0,13458.0,463.0,8841796.0,14284.0,619.0,6615666.0,14046.0,471.0,6194208.0,13704.0,452.0,4819204.0,14258.0,338.0,5174793.0,14743.0,351.0,4977180.0,14180.0,351.0,6126416.0,13232.0,463.0,8794133.0,14207.0,619.0,6318465.0,13415.0,471.0,6199880.0,13478.0,460.0,4913844.0,14538.0,338.0,5157594.0,14694.0,351.0,4965246.0,14146.0,351.0,,
2019-7-15,,,20,,,10038,"OMA BY THE SEA(Block 1),CASTLE PEAK RD TAI LAM|OMA BY THE SEA1座,青山公路大欖段",,,1288.0,11044692.0,13339.0,828.0,6297074.0,14119.0,446.0,6235775.0,13705.0,455.0,6203385.0,13005.0,477.0,5884524.0,13194.0,446.0,6079653.0,13131.0,463.0,8628241.0,13939.0,619.0,6457410.0,13710.0,471.0,6044144.0,13372.0,452.0,4702594.0,13913.0,338.0,5050890.0,14390.0,351.0,4856436.0,13836.0,351.0,5977793.0,12911.0,463.0,8579340.0,13860.0,619.0,6164919.0,13089.0,471.0,6049460.0,13151.0,460.0,4793854.0,14183.0,338.0,5031585.0,14335.0,351.0,4844853.0,13803.0,351.0,,
2019-6-15,,,20,,,10038,"OMA BY THE SEA(Block 1),CASTLE PEAK RD TAI LAM|OMA BY THE SEA1座,青山公路大欖段",,,1288.0,11019852.0,13309.0,828.0,6282802.0,14087.0,446.0,6222125.0,13675.0,455.0,6189552.0,12976.0,477.0,5871590.0,13165.0,446.0,6066226.0,13102.0,463.0,8610290.0,13910.0,619.0,6445164.0,13684.0,471.0,6030584.0,13342.0,452.0,4692454.0,13883.0,338.0,5041062.0,14362.0,351.0,4845555.0,13805.0,351.0,5964366.0,12882.0,463.0,8559532.0,13828.0,619.0,6151260.0,13060.0,471.0,6036120.0,13122.0,460.0,4782700.0,14150.0,338.0,5019651.0,14301.0,351.0,4834323.0,13773.0,351.0,,
2019-5-15,,,20,,,10038,"OMA BY THE SEA(Block 1),CASTLE PEAK RD TAI LAM|OMA BY THE SEA1座,青山公路大欖段",,,1288.0,11120868.0,13431.0,828.0,6340336.0,14216.0,446.0,6279455.0,13801.0,455.0,6246315.0,13095.0,477.0,5925556.0,13286.0,446.0,6121786.0,13222.0,463.0,8724805.0,14095.0,619.0,6506394.0,13814.0,471.0,6086180.0,13465.0,452.0,4735718.0,14011.0,338.0,5089149.0,14499.0,351.0,4890132.0,13932.0,351.0,6018537.0,12999.0,463.0,8636907.0,13953.0,619.0,6207780.0,13180.0,471.0,6091780.0,13243.0,460.0,4825626.0,14277.0,338.0,5064579.0,14429.0,351.0,4878549.0,13899.0,351.0,,
2019-4-15,,,20,,,10038,"OMA BY THE SEA(Block 1),CASTLE PEAK RD TAI LAM|OMA BY THE SEA1座,青山公路大欖段",,,1288.0,10470060.0,12645.0,828.0,6087008.0,13648.0,446.0,6028750.0,13250.0,455.0,5996844.0,12572.0,477.0,5688730.0,12755.0,446.0,5877322.0,12694.0,463.0,8376307.999999999,13532.0,619.0,6248286.0,13266.0,471.0,5842552.0,12926.0,452.0,4547114.0,13453.0,338.0,4887324.0,13924.0,351.0,4694625.0,13375.0,351.0,5778240.0,12480.0,463.0,8290886.0,13394.0,619.0,5959563.0,12653.0,471.0,5847980.0,12713.0,460.0,4632290.0,13705.0,338.0,4861350.0,13850.0,351.0,4683744.0,13344.0,351.0,,
2019-3-15,,,20,,,10038,"OMA BY THE SEA(Block 1),CASTLE PEAK RD TAI LAM|OMA BY THE SEA1座,青山公路大欖段",,,1288.0,10584324.0,12783.0,828.0,6034380.0,13530.0,446.0,5976880.0,13136.0,455.0,5944851.0,12463.0,477.0,5640116.0,12646.0,446.0,5826392.0,12584.0,463.0,8305123.0,13417.0,619.0,6196476.0,13156.0,471.0,5792380.0,12815.0,452.0,4508244.0,13338.0,338.0,4846959.0,13809.0,351.0,4654260.0,13260.0,351.0,5728236.0,12372.0,463.0,8218463.0,13277.0,619.0,5908695.0,12545.0,471.0,5797840.0,12604.0,460.0,4591392.0,13584.0,338.0,4818879.0,13729.0,351.0,4643379.0,13229.0,351.0,,
2019-2-15,,,20,,,10038,"OMA BY THE SEA(Block 1),CASTLE PEAK RD TAI LAM|OMA BY THE SEA1座,青山公路大欖段",,,1288.0,9898740.0,11955.0,828.0,5789080.0,12980.0,446.0,5733910.0,12602.0,455.0,5703489.0,11957.0,477.0,5410426.0,12131.0,446.0,5589799.0,12073.0,463.0,7967768.0,12872.0,619.0,5946375.0,12625.0,471.0,5556888.0,12294.0,452.0,4325048.0,12796.0,338.0,4651101.0,13251.0,351.0,4465071.0,12721.0,351.0,5494884.0,11868.0,463.0,7882965.000000001,12735.0,619.0,5668014.0,12034.0,471.0,5561860.0,12091.0,460.0,4404140.0,13030.0,338.0,4621968.0,13168.0,351.0,4454541.0,12691.0,351.0,,
