,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,8485082.25,15616.25,4,33940329,62465,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7627488.0,15378.0,496.0,7813337.0,15721.0,497.0,7220349.0,15137.0,477.0,11279155.0,16229.0,695.0,-0.014802321014988795,-0.014794252637887806
2019-11-15,8612568.25,15850.75,4,34450273,63403,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7742560.0,15610.0,496.0,7930132.0,15956.0,497.0,7328151.0,15363.0,477.0,11449430.0,16474.0,695.0,0.08315723652401164,0.08316391902280684
2019-10-15,7951355.5,14633.75,4,31805422,58535,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7148848.0,14413.0,496.0,7320810.0,14730.0,497.0,6764814.0,14182.0,477.0,10570950.0,15210.0,695.0,-0.08896780863702625,-0.08896359589734015
2019-9-15,8727853.5,16062.75,4,34911414,64251,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7847216.0,15821.0,496.0,8035496.0,16168.0,497.0,7424982.0,15566.0,477.0,11603720.0,16696.0,695.0,-0.0036499581355863286,-0.0036442018422603306
2019-8-15,8759826.5,16121.5,4,35039306,64486,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7876480.0,15880.0,496.0,8064322.0,16226.0,497.0,7451694.0,15622.0,477.0,11646810.0,16758.0,695.0,0.009918291553333125,0.009929211301133778
2019-7-15,8673797.25,15963.0,4,34695189,63852,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7799600.0,15725.0,496.0,7984305.0,16065.0,497.0,7377759.0,15467.0,477.0,11533525.0,16595.0,695.0,-0.03652233861955101,-0.036516175760502145
2019-6-15,9002593.0,16568.0,4,36010372,66272,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",8095712.0,16322.0,496.0,8286481.0,16673.0,497.0,7656804.0,16052.0,477.0,11971375.0,17225.0,695.0,0.011160757596157866,0.011168751907232322
2019-5-15,8903226.25,16385.0,4,35612905,65540,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",8006928.0,16143.0,496.0,8194536.0,16488.0,497.0,7571421.0,15873.0,477.0,11840020.0,17036.0,695.0,0.021342451878289426,0.021349540283621682
2019-4-15,8717180.25,16042.5,4,34868721,64170,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7840272.0,15807.0,496.0,8022574.0,16142.0,497.0,7412580.0,15540.0,477.0,11593295.0,16681.0,695.0,-0.012595070944120934,-0.012586939127223529
2019-3-15,8828374.25,16247.0,4,35313497,64988,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7940464.0,16009.0,496.0,8124459.0,16347.0,497.0,7506549.0,15737.0,477.0,11742025.0,16895.0,695.0,0.020242955567546517,0.02025181324374392
2019-2-15,8653207.75,15924.5,4,34612831,63698,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7783728.0,15693.0,496.0,7962437.0,16021.0,497.0,7356771.0,15423.0,477.0,11509895.0,16561.0,695.0,0.037266683906081344,0.03727466657981737
