,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_change,npsf_change
2019-12-15,6083650.833333333,17345.833333333332,12,73003810.0,208150.0,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",5641680.0,17096.0,330.0,4612914.0,17674.0,261.0,7160245.0,16385.0,437.0,6501072.0,17476.0,372.0,7997326.000000001,15559.0,514.0,5692844.0,18188.0,313.0,5916537.0,19921.0,297.0,6492288.0,15312.0,424.0,7154100.0,15898.0,450.0,4834890.0,19035.0,254.0,5483248.0,18037.0,304.0,5516666.0,17569.0,314.0,-0.030775069304263658,-0.030778543490407984
2019-11-15,6276820.416666667,17896.666666666668,12,75321845.0,214760.0,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",5819880.0,17636.0,330.0,4760640.0,18240.0,261.0,7388796.0,16908.0,437.0,6707904.0,18032.0,372.0,8251756.0,16054.0,514.0,5873445.0,18765.0,313.0,6104538.0,20554.0,297.0,6697504.0,15796.0,424.0,7380900.0,16402.0,450.0,4989322.0,19643.0,254.0,5656224.0,18606.0,304.0,5690936.0,18124.0,314.0,-0.011298447584940363,-0.011302166056671892
2019-10-15,6348549.166666667,18101.25,12,76182590.0,217215.0,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",5885550.0,17835.0,330.0,4816233.0,18453.0,261.0,7474448.0,17104.0,437.0,6784908.0,18239.0,372.0,8346331.999999999,16238.0,514.0,5940427.0,18979.0,313.0,6174630.0,20790.0,297.0,6772976.0,15974.0,424.0,7465049.999999999,16589.0,450.0,5046980.0,19870.0,254.0,5720064.0,18816.0,304.0,5754992.0,18328.0,314.0,-0.0017485317075778273,-0.0017555389090841977
2019-9-15,6359669.25,18133.083333333332,12,76316031.0,217597.0,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",5894790.0,17863.0,330.0,4826151.0,18491.0,261.0,7488431.999999999,17136.0,437.0,6797184.0,18272.0,372.0,8361238.000000001,16267.0,514.0,5950756.0,19012.0,313.0,6185916.0,20828.0,297.0,6784000.0,16000.0,424.0,7477650.0,16617.0,450.0,5056632.0,19908.0,254.0,5729184.0,18846.0,304.0,5764098.0,18357.0,314.0,-0.048954865177854634,-0.04896000419582258
2019-8-15,6687032.0,19066.583333333332,12,80244384.0,228799.0,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",6197070.0,18779.0,330.0,5075928.0,19448.0,261.0,7875613.999999999,18022.0,437.0,7147236.0,19213.0,372.0,8791970.0,17105.0,514.0,6257183.0,19991.0,313.0,6504597.0,21901.0,297.0,7132103.999999999,16821.0,424.0,7861949.999999999,17471.0,450.0,5317998.0,20937.0,254.0,6022848.0,19812.0,304.0,6059886.0,19299.0,314.0,0.024929655847194754,0.02492440701502896
2019-7-15,6524381.416666667,18602.916666666668,12,78292577.0,223235.0,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",6045600.0,18320.0,330.0,4953780.0,18980.0,261.0,7685082.000000001,17586.0,437.0,6973884.0,18747.0,372.0,8578660.0,16690.0,514.0,6104752.0,19504.0,313.0,6346593.0,21369.0,297.0,6957416.0,16409.0,424.0,7670249.999999999,17045.0,450.0,5189474.0,20431.0,254.0,5875408.0,19327.0,304.0,5911678.0,18827.0,314.0,0.0022696070011187786,0.002262819275269168
2019-6-15,6509607.166666667,18560.916666666668,12,78115286.0,222731.0,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",6030750.0,18275.0,330.0,4944123.0,18943.0,261.0,7668913.0,17549.0,437.0,6958632.0,18706.0,372.0,8559642.0,16653.0,514.0,6090980.0,19460.0,313.0,6332634.0,21322.0,297.0,6940456.000000001,16369.0,424.0,7652249.999999999,17005.0,450.0,5178552.0,20388.0,254.0,5861120.0,19280.0,304.0,5897234.0,18781.0,314.0,-0.009013183343104414,-0.009018588882264367
2019-5-15,6568813.083333333,18729.833333333332,12,78825757.0,224758.0,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",6084540.0,18438.0,330.0,4990581.0,19121.0,261.0,7740144.0,17712.0,437.0,7022244.0,18877.0,372.0,8637770.0,16805.0,514.0,6146381.0,19637.0,313.0,6390549.0,21517.0,297.0,7002360.0,16515.0,424.0,7721550.0,17159.0,450.0,5226558.0,20577.0,254.0,5913408.0,19452.0,304.0,5949672.0,18948.0,314.0,0.04246274668025585,0.042210938767939465
2019-4-15,6301244.916666667,17971.25,12,75614939.0,215655.0,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",5840010.0,17697.0,330.0,4792221.0,18361.0,261.0,7431622.0,17006.0,437.0,6741384.0,18122.0,372.0,8236336.0,16024.0,514.0,5900363.0,18851.0,313.0,6135129.0,20657.0,297.0,6721248.0,15852.0,424.0,7411950.0,16471.0,450.0,5018278.0,19757.0,254.0,5675680.0,18670.0,304.0,5710718.0,18187.0,314.0,0.008740369149779825,0.008732950399461092
2019-3-15,6246646.916666667,17815.666666666668,12,74959763.0,213788.0,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",5788530.0,17541.0,330.0,4752288.0,18208.0,261.0,7368694.0,16862.0,437.0,6683352.0,17966.0,372.0,8165404.0,15886.0,514.0,5849031.0,18687.0,313.0,6082560.0,20480.0,297.0,6661464.0,15711.0,424.0,7347150.000000001,16327.0,450.0,4975606.0,19589.0,254.0,5625520.0,18505.0,304.0,5660164.0,18026.0,314.0,0.044212422509017246,0.04364720986882897
2019-2-15,5982161.083333333,17070.583333333332,12,71785933.0,204847.0,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",5551590.0,16823.0,330.0,4559931.0,17471.0,261.0,7069786.0,16178.0,437.0,6411792.0,17236.0,372.0,7712056.0,15004.0,514.0,5610838.0,17926.0,313.0,5834862.0,19646.0,297.0,6389256.0,15069.0,424.0,7047450.0,15661.0,450.0,4773930.0,18795.0,254.0,5395696.0,17749.0,304.0,5428746.0,17289.0,314.0,,
