,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_change,npsf_change
2016-1-15,17299753.333333332,15753.0,3,51899260,47259,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",15352000.0,15200.0,1010.0,18311820.0,16063.0,1140.0,18235440.0,15996.0,1140.0,0.029608102555984006,0.02960784313725484
2016-2-15,16802270.0,15300.0,3,50406810,45900,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",14910630.0,14763.0,1010.0,17785140.0,15601.0,1140.0,17711040.0,15536.0,1140.0,-0.0023042865628346565,-0.0023040472981785687
2016-3-15,16841076.666666668,15335.333333333334,3,50523230,46006,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",14944970.0,14797.0,1010.0,17826180.0,15637.0,1140.0,17752080.0,15572.0,1140.0,0.006433030566158182,0.006431571578578987
2016-4-15,16733430.0,15237.333333333334,3,50200290,45712,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",14850030.0,14703.0,1010.0,17712180.0,15537.0,1140.0,17638080.0,15472.0,1140.0,-0.011974718507909432,-0.011974235939999134
2016-5-15,16936236.666666668,15422.0,3,50808710,46266,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",15029810.0,14881.0,1010.0,17926500.0,15725.0,1140.0,17852400.0,15660.0,1140.0,,
2016-6-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2016-7-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2016-8-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2016-9-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2016-10-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2016-11-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2016-12-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2017-1-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2017-2-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2017-3-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2017-4-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2017-5-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2017-6-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2017-7-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2017-8-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2017-9-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2017-10-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2017-11-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2017-12-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2018-1-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2018-2-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2018-3-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2018-4-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2018-5-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2018-6-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2018-7-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2018-8-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2018-9-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2018-10-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2018-11-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2018-12-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2019-1-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2019-2-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2019-3-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2019-4-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2019-5-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2019-6-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2019-7-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2019-8-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2019-9-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2019-10-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2019-11-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2019-12-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2020-1-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2020-2-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2020-3-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2020-4-15,,,3,,,,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",,,,,,,,,,,
2020-5-15,26585426.666666668,24212.0,3,79756280,72636,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23686520.0,23452.0,1010.0,28034880.0,24592.0,1140.0,28034880.0,24592.0,1140.0,0.015660183168646036,0.015660831142681353
2020-6-15,26175513.333333332,23838.666666666668,3,78526540,71516,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23320900.0,23090.0,1010.0,27602820.0,24213.0,1140.0,27602820.0,24213.0,1140.0,-0.001814431249402615,-0.0018144767328251987
2020-7-15,26223093.333333332,23882.0,3,78669280,71646,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23363320.0,23132.0,1010.0,27652980.0,24257.0,1140.0,27652980.0,24257.0,1140.0,0.03035980933912419,0.030358812109009925
2020-8-15,25450423.333333332,23178.333333333332,3,76351270,69535,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",22675510.0,22451.0,1010.0,26837880.0,23542.0,1140.0,26837880.0,23542.0,1140.0,-0.03661836589975953,-0.036617805979661355
2020-9-15,26417800.0,24059.333333333332,3,79253400,72178,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23537040.0,23304.0,1010.0,27858180.0,24437.0,1140.0,27858180.0,24437.0,1140.0,0.010966829337113682,0.01096715456264441
2020-10-15,26131223.333333332,23798.333333333332,3,78393670,71395,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23281510.0,23051.0,1010.0,27556080.0,24172.0,1140.0,27556080.0,24172.0,1140.0,0.02194317849991667,0.021943259568864226
