,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,15621827.0,20559.2,5,78109135.0,102796.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9271050.0,16265.0,570.0,48263865.00000001,46995.0,1027.0,7154240.0,12640.0,566.0,5453712.0,13772.0,396.0,7966268.0,13124.0,607.0,-0.020229186121550113,-0.020215980251055643
2019-11-15,15944368.6,20983.4,5,79721843.0,104917.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9462000.0,16600.0,570.0,49262109.0,47967.0,1027.0,7301400.0,12900.0,566.0,5566176.0,14056.0,396.0,8130158.0,13394.0,607.0,0.21045343278297346,0.15344107299912046
2019-10-15,13172228.0,18192.0,5,65861140.0,90960.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9302400.0,16320.0,570.0,35915217.0,34971.0,1027.0,7178012.0,12682.0,566.0,5471928.0,13818.0,396.0,7993583.0,13169.0,607.0,-0.02736926073988899,-0.027373823781009388
2019-9-15,13542886.8,18704.0,5,67714434.0,93520.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9564600.0,16780.0,570.0,36925785.0,35955.0,1027.0,7379508.0,13038.0,566.0,5626368.0,14208.0,396.0,8218173.0,13539.0,607.0,-0.01320112289222175,-0.013200240579924305
2019-8-15,13724059.8,18954.2,5,68620299.0,94771.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9692280.000000002,17004.0,570.0,37419772.0,36436.0,1027.0,7477992.0,13212.0,566.0,5701608.0,14398.0,396.0,8328647.0,13721.0,607.0,-0.0006998711109416078,-0.0006959309130403213
2019-7-15,13733671.6,18967.4,5,68668358.0,94837.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9699120.000000002,17016.0,570.0,37446474.0,36462.0,1027.0,7483086.0,13221.0,566.0,5705568.0,14408.0,396.0,8334110.0,13730.0,607.0,0.01713366863158239,0.01712784212784224
2019-6-15,13502327.2,18648.0,5,67511636.0,93240.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9536100.0,16730.0,570.0,36814869.0,35847.0,1027.0,7357434.000000001,12999.0,566.0,5609340.0,14165.0,396.0,8193893.0,13499.0,607.0,-0.01878298319370486,-0.018784530386740328
2019-5-15,13760796.0,19005.0,5,68803980.0,95025.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9718500.0,17050.0,570.0,37519391.0,36533.0,1027.0,7498934.0,13249.0,566.0,5716656.0,14436.0,396.0,8350499.0,13757.0,607.0,0.015601272026054547,0.015604125474269148
2019-4-15,13549408.0,18713.0,5,67747040.0,93565.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9569160.0,16788.0,570.0,36943244.0,35972.0,1027.0,7383470.0,13045.0,566.0,5628744.0,14214.0,396.0,8222422.0,13546.0,607.0,0.025239239246813483,0.025235037584098396
2019-3-15,13215850.0,18252.4,5,66079250.0,91262.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9333750.0,16375.0,570.0,36033322.0,35086.0,1027.0,7202350.0,12725.0,566.0,5490144.0,13864.0,396.0,8019684.0,13212.0,607.0,0.035572523661055566,0.03557366073961443
2019-2-15,12761877.8,17625.4,5,63809389.0,88127.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9012840.0,15812.0,570.0,34795787.0,33881.0,1027.0,6955008.0,12288.0,566.0,5301648.0,13388.0,396.0,7744106.0,12758.0,607.0,0.00865508964233297,0.008687391264536437
