,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2016-1-15,15947331.333333334,13397.0,3,47841994.0,40191,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",13770404.0,13798.0,998.0,17697908.0,13367.0,1324.0,16373682.0,13026.0,1257.0,0.02930541002664344,0.02927166564228645
2016-2-15,15493294.0,13016.0,3,46479882.0,39048,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",13384178.0,13411.0,998.0,17192140.0,12985.0,1324.0,15903564.0,12652.0,1257.0,0.04499231688132488,0.04495825305073864
2016-3-15,14826227.666666666,12456.0,3,44478683.0,37368,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",12813322.0,12839.0,998.0,16449376.0,12424.0,1324.0,15215985.0,12105.0,1257.0,0.07471859141587078,0.0820953870211103
2016-4-15,13795451.0,11511.0,3,41386353.0,34533,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",10880196.0,10902.0,998.0,15848280.0,11970.0,1324.0,14657877.0,11661.0,1257.0,-0.10338980366665951,-0.10338829027651564
2016-5-15,15386230.333333334,12838.333333333334,3,46158691.0,38515,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",12134682.0,12159.0,998.0,17676724.0,13351.0,1324.0,16347285.0,13005.0,1257.0,0.05976677857441626,0.059763916022342656
2016-6-15,14518506.0,12114.333333333334,3,43555518.0,36343,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",11451052.0,11474.0,998.0,16681076.0,12599.0,1324.0,15423390.0,12270.0,1257.0,0.015818002469139447,0.015820219694216986
2016-7-15,14292428.333333334,11925.666666666666,3,42877285.0,35777,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",11272410.0,11295.0,998.0,16421572.0,12403.0,1324.0,15183303.0,12079.0,1257.0,-0.04129209364253683,-0.04129374564553312
2016-8-15,14908011.333333334,12439.333333333334,3,44724034.0,37318,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",11758436.0,11782.0,998.0,17129912.0,12938.0,1324.0,15835686.0,12598.0,1257.0,-0.01913473160260004,-0.019134731640645497
2016-9-15,15198837.0,12682.0,3,45596511.0,38046,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",11987976.0,12012.0,998.0,17464884.0,13191.0,1324.0,16143651.0,12843.0,1257.0,-0.009987386143908705,-0.009296148738379806
2016-10-15,15352165.0,12801.0,3,46056495.0,38403,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",12007936.0,12032.0,998.0,17789264.0,13436.0,1324.0,16259295.0,12935.0,1257.0,0.0032668995645781518,0.003265583363811997
2016-11-15,15302174.333333334,12759.333333333334,3,45906523.0,38278,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",11969014.0,11993.0,998.0,17731008.0,13392.0,1324.0,16206501.0,12893.0,1257.0,,
2016-12-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2017-1-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2017-2-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2017-3-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2017-4-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2017-5-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2017-6-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2017-7-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2017-8-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2017-9-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2017-10-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2017-11-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2017-12-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2018-1-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2018-2-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2018-3-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2018-4-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2018-5-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2018-6-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2018-7-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2018-8-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2018-9-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2018-10-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2018-11-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2018-12-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2019-1-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
