,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,15383640.0,13221.5,2,30767280,26443,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",15200400.0,12667.0,1200.0,15566880.0,13776.0,1130.0,-0.023408836185758508,-0.023414706208220948
2019-11-15,15752385.0,13538.5,2,31504770,27077,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",15561600.0,12968.0,1200.0,15943170.0,14109.0,1130.0,-0.04260026863911803,-0.04260660490771517
2019-10-15,16453300.0,14141.0,2,32906600,28282,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",16250400.0,13542.0,1200.0,16656200.0,14740.0,1130.0,0.014499500405255938,0.01449171389626236
2019-9-15,16218145.0,13939.0,2,32436290,27878,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",16014000.0,13345.0,1200.0,16422290.0,14533.0,1130.0,-0.06272919744665628,-0.06273534158149541
2019-8-15,17303585.0,14872.0,2,34607170,29744,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",17082000.0,14235.0,1200.0,17525170.0,15509.0,1130.0,0.0016900741502305916,0.0016838418535731758
2019-7-15,17274390.0,14847.0,2,34548780,29694,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",17049600.0,14208.0,1200.0,17499180.0,15486.0,1130.0,0.005151912765443578,0.005145216979216105
2019-6-15,17185850.0,14771.0,2,34371700,29542,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",16958400.0,14132.0,1200.0,17413300.0,15410.0,1130.0,-0.03273347201397614,-0.032741798179556025
2019-5-15,17767440.0,15271.0,2,35534880,30542,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",17527200.0,14606.0,1200.0,18007680.0,15936.0,1130.0,0.07865774273068427,0.0786508917534876
2019-4-15,16471805.0,14157.5,2,32943610,28315,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",16245600.0,13538.0,1200.0,16698010.0,14777.0,1130.0,,
2019-3-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2019-2-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2019-1-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2018-12-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2018-11-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2018-10-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2018-9-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2018-8-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2018-7-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2018-6-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2018-5-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2018-4-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
