,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_25,npsf_25,nfa_25,lumpSum_change,npsf_change
2019-12-15,2007202.25,5293.5,4,8028809.0,21174.0,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1582724.0,5534.0,286.0,2093716.0,5314.0,394.0,2047730.0,5305.0,386.0,2304639.0,5021.0,459.0,-0.03614777914353773,-0.03614348142753099
2019-11-15,2082479.25,5492.0,4,8329917.0,21968.0,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1641926.0,5741.0,286.0,2172516.0,5514.0,394.0,2124544.0,5504.0,386.0,2390931.0,5209.0,459.0,-0.014853857494647849,-0.01484371496479664
2019-10-15,2113878.5,5574.75,4,8455514.0,22299.0,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1666522.0,5827.0,286.0,2205218.0,5597.0,394.0,2156582.0,5587.0,386.0,2427192.0,5288.0,459.0,-0.010939479024301701,-0.011043108036189464
2019-9-15,2137259.0,5637.0,4,8549036.0,22548.0,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1689401.9999999998,5907.0,286.0,2212704.0,5616.0,394.0,2186690.0,5665.0,386.0,2460240.0,5360.0,459.0,0.014842107187482911,0.014852822036186986
2019-8-15,2106001.5,5554.5,4,8424006.0,22218.0,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1664520.0,5820.0,286.0,2180396.0,5534.0,394.0,2154652.0,5582.0,386.0,2424438.0,5282.0,459.0,-0.010330316119585903,-0.010334075723830716
2019-7-15,2127984.25,5612.5,4,8511937.0,22450.0,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1681966.0,5881.0,286.0,2203248.0,5592.0,394.0,2177040.0,5640.0,386.0,2449683.0,5337.0,459.0,0.008667112148805112,0.008671429213281234
2019-6-15,2109699.25,5564.25,4,8438797.0,22257.0,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1667380.0,5830.0,286.0,2184336.0,5544.0,394.0,2158512.0,5592.0,386.0,2428569.0,5291.0,459.0,-0.007405411305617338,-0.007403112875172813
2019-5-15,2125439.0,5605.75,4,8501756.0,22423.0,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1679678.0,5873.0,286.0,2200884.0,5586.0,394.0,2174724.0,5634.0,386.0,2446470.0,5330.0,459.0,-0.0042663644009504065,-0.004263066743638744
2019-4-15,2134545.75,5629.75,4,8538183.0,22519.0,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1686827.9999999998,5898.0,286.0,2210340.0,5610.0,394.0,2183988.0,5658.0,386.0,2457027.0,5353.0,459.0,0.03642359707996512,0.03673864002578142
2019-3-15,2059530.25,5430.25,4,8238121.0,21721.0,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1619332.0,5662.0,286.0,2137844.0,5426.0,394.0,2112964.0,5474.0,386.0,2367981.0,5159.0,459.0,0.08535225474073793,0.08702832549294359
2019-2-15,1897568.5,4995.5,4,7590274.0,19982.0,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1448018.0,5063.0,286.0,1997974.0,5071.0,394.0,1987899.9999999998,5150.0,386.0,2156382.0,4698.0,459.0,,
2019-1-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2018-12-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2018-11-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2018-10-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2018-9-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2018-8-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2018-7-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2018-6-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
