,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2016-1-15,29972577.0,20978.6,5,149862885.0,104893,6825.0,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",21442300.0,19493.0,1100.0,61837805.0,26483.0,2335.0,22570240.0,19712.0,1145.0,21442300.0,19493.0,1100.0,22570240.0,19712.0,1145.0,0.029558922255439546,0.029574008637612836
2016-2-15,29112056.0,20376.0,5,145560280.0,101880,6825.0,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",20825200.0,18932.0,1100.0,60065540.0,25724.0,2335.0,21922170.0,19146.0,1145.0,20825200.0,18932.0,1100.0,21922170.0,19146.0,1145.0,-0.002330324600142153,-0.002320867240518276
2016-3-15,29180055.0,20423.4,5,145900275.0,102117,6825.0,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",20873600.0,18976.0,1100.0,60207975.0,25785.0,2335.0,21972550.0,19190.0,1145.0,20873600.0,18976.0,1100.0,21972550.0,19190.0,1145.0,0.006419794218925912,0.006435780178191353
2016-4-15,28993920.0,20292.8,5,144969600.0,101464,6825.0,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",20739400.0,18854.0,1100.0,59827370.0,25622.0,2335.0,21831715.0,19067.0,1145.0,20739400.0,18854.0,1100.0,21831715.0,19067.0,1145.0,-0.012019396149795525,-0.012006192975452135
2016-5-15,29346649.0,20539.4,5,146733245.0,102697,6825.0,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",20991300.0,19083.0,1100.0,60558225.0,25935.0,2335.0,22096210.0,19298.0,1145.0,20991300.0,19083.0,1100.0,22096210.0,19298.0,1145.0,0.0035410750099416077,0.0035570148436967486
2016-6-15,29243097.0,20466.6,5,146215485.0,102333,6825.0,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",20916500.0,19015.0,1100.0,60348075.0,25845.0,2335.0,22017205.0,19229.0,1145.0,20916500.0,19015.0,1100.0,22017205.0,19229.0,1145.0,-0.014622909774559267,-0.014607607125662114
2016-7-15,29677062.0,20770.0,5,148385310.0,103850,6825.0,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",21225600.0,19296.0,1100.0,61247050.0,26230.0,2335.0,22343530.0,19514.0,1145.0,21225600.0,19296.0,1100.0,22343530.0,19514.0,1145.0,,
2016-8-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2016-9-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2016-10-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2016-11-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2016-12-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2017-1-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2017-2-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2017-3-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2017-4-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2017-5-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2017-6-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2017-7-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2017-8-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2017-9-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2017-10-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2017-11-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2017-12-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2018-1-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2018-2-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2018-3-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2018-4-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2018-5-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2018-6-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2018-7-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2018-8-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2018-9-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2018-10-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2018-11-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2018-12-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2019-1-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2019-2-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2019-3-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2019-4-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2019-5-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2019-6-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2019-7-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2019-8-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2019-9-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2019-10-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2019-11-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2019-12-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2020-1-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2020-2-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2020-3-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2020-4-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2020-5-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2020-6-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2020-7-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2020-8-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2020-9-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2020-10-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
