,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,14972958.0,34902.0,1,14972958.0,34902,429.0,23 LEE GARDEN RD|23 利園山道,14972958.0,34902.0,429.0,0.029709396666175003,0.029709396666175003
2016-2-15,14540955.0,33895.0,1,14540955.0,33895,429.0,23 LEE GARDEN RD|23 利園山道,14540955.0,33895.0,429.0,-0.004201186908749044,-0.004201186908749044
2016-3-15,14602302.0,34038.0,1,14602302.0,34038,429.0,23 LEE GARDEN RD|23 利園山道,14602302.0,34038.0,429.0,,
2016-4-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2016-5-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2016-6-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2016-7-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2016-8-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2016-9-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2016-10-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2016-11-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2016-12-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2017-1-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2017-2-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2017-3-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2017-4-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2017-5-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2017-6-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2017-7-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2017-8-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2017-9-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2017-10-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2017-11-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2017-12-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2018-1-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2018-2-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2018-3-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2018-4-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2018-5-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2018-6-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2018-7-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2018-8-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2018-9-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2018-10-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2018-11-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2018-12-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2019-1-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2019-2-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2019-3-15,6115824.0,14256.0,1,6115824.0,14256,429.0,23 LEE GARDEN RD|23 利園山道,6115824.0,14256.0,429.0,-0.029874106839060888,-0.029874106839060888
2019-4-15,6304155.0,14695.0,1,6304155.0,14695,429.0,23 LEE GARDEN RD|23 利園山道,6304155.0,14695.0,429.0,-0.037340320995741916,-0.037340320995741916
2019-5-15,6548685.0,15265.0,1,6548685.0,15265,429.0,23 LEE GARDEN RD|23 利園山道,6548685.0,15265.0,429.0,0.011865305581333585,0.011865305581333585
2019-6-15,6471894.0,15086.0,1,6471894.0,15086,429.0,23 LEE GARDEN RD|23 利園山道,6471894.0,15086.0,429.0,-0.0037641154328732496,-0.0037641154328732496
2019-7-15,6496347.0,15143.0,1,6496347.0,15143,429.0,23 LEE GARDEN RD|23 利園山道,6496347.0,15143.0,429.0,-0.01796368352788591,-0.01796368352788591
2019-8-15,6615180.0,15420.0,1,6615180.0,15420,429.0,23 LEE GARDEN RD|23 利園山道,6615180.0,15420.0,429.0,0.049122329568648704,0.049122329568648704
2019-9-15,6305442.0,14698.0,1,6305442.0,14698,429.0,23 LEE GARDEN RD|23 利園山道,6305442.0,14698.0,429.0,0.002318603382433171,0.002318603382433171
2019-10-15,6290856.0,14664.0,1,6290856.0,14664,429.0,23 LEE GARDEN RD|23 利園山道,6290856.0,14664.0,429.0,-0.014913341394598989,-0.014913341394598989
2019-11-15,6386094.0,14886.0,1,6386094.0,14886,429.0,23 LEE GARDEN RD|23 利園山道,6386094.0,14886.0,429.0,0.05792054580342554,0.05792054580342554
2019-12-15,6036459.0,14071.0,1,6036459.0,14071,429.0,23 LEE GARDEN RD|23 利園山道,6036459.0,14071.0,429.0,-0.0246083460418689,-0.0246083460418689
2020-1-15,6188754.0,14426.0,1,6188754.0,14426,429.0,23 LEE GARDEN RD|23 利園山道,6188754.0,14426.0,429.0,0.030354974644668298,0.030354974644668298
2020-2-15,6006429.0,14001.0,1,6006429.0,14001,429.0,23 LEE GARDEN RD|23 利園山道,6006429.0,14001.0,429.0,-0.03287974027768181,-0.03287974027768181
2020-3-15,6210633.0,14477.0,1,6210633.0,14477,429.0,23 LEE GARDEN RD|23 利園山道,6210633.0,14477.0,429.0,0.024412680441550982,0.024412680441550982
2020-4-15,6062628.0,14132.0,1,6062628.0,14132,429.0,23 LEE GARDEN RD|23 利園山道,6062628.0,14132.0,429.0,-0.032651105482921494,-0.032651105482921494
2020-5-15,6267261.0,14609.0,1,6267261.0,14609,429.0,23 LEE GARDEN RD|23 利園山道,6267261.0,14609.0,429.0,0.015783618411903788,0.015783618411903788
2020-6-15,6169878.0,14382.0,1,6169878.0,14382,429.0,23 LEE GARDEN RD|23 利園山道,6169878.0,14382.0,429.0,-0.0018045530260966114,-0.0018045530260966114
2020-7-15,6181032.0,14408.0,1,6181032.0,14408,429.0,23 LEE GARDEN RD|23 利園山道,6181032.0,14408.0,429.0,0.03017303017303008,0.03017303017303008
