,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,3071548.0,9782.0,1,3071548.0,9782,314.0,8 PING LAN ST|8 平瀾街,3071548.0,9782.0,314.0,,
2016-2-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2016-3-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2016-4-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2016-5-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2016-6-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2016-7-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2016-8-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2016-9-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2016-10-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2016-11-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2016-12-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2017-1-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2017-2-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2017-3-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2017-4-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2017-5-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2017-6-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2017-7-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2017-8-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2017-9-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2017-10-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2017-11-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2017-12-15,5656396.0,18014.0,1,5656396.0,18014,314.0,8 PING LAN ST|8 平瀾街,5656396.0,18014.0,314.0,-0.020499157196454787,-0.020499157196454787
2018-1-15,5774774.0,18391.0,1,5774774.0,18391,314.0,8 PING LAN ST|8 平瀾街,5774774.0,18391.0,314.0,-0.04739459235470833,-0.04739459235470833
2018-2-15,6062084.0,19306.0,1,6062084.0,19306,314.0,8 PING LAN ST|8 平瀾街,6062084.0,19306.0,314.0,0.007514873186514892,0.007514873186514892
2018-3-15,6016868.0,19162.0,1,6016868.0,19162,314.0,8 PING LAN ST|8 平瀾街,6016868.0,19162.0,314.0,-0.030459421169803713,-0.030459421169803713
2018-4-15,6205896.0,19764.0,1,6205896.0,19764,314.0,8 PING LAN ST|8 平瀾街,6205896.0,19764.0,314.0,0.026754636604498838,0.026754636604498838
2018-5-15,6044186.0,19249.0,1,6044186.0,19249,314.0,8 PING LAN ST|8 平瀾街,6044186.0,19249.0,314.0,-0.00900947281713349,-0.00900947281713349
2018-6-15,6099136.0,19424.0,1,6099136.0,19424,314.0,8 PING LAN ST|8 平瀾街,6099136.0,19424.0,314.0,-0.1004075583549463,-0.1004075583549463
2018-7-15,6779888.0,21592.0,1,6779888.0,21592,314.0,8 PING LAN ST|8 平瀾街,6779888.0,21592.0,314.0,0.07050074367873083,0.07050074367873083
2018-8-15,6333380.0,20170.0,1,6333380.0,20170,314.0,8 PING LAN ST|8 平瀾街,6333380.0,20170.0,314.0,-0.0363575557785103,-0.0363575557785103
2018-9-15,6572334.0,20931.0,1,6572334.0,20931,314.0,8 PING LAN ST|8 平瀾街,6572334.0,20931.0,314.0,0.006782106782106778,0.006782106782106778
2018-10-15,6528060.0,20790.0,1,6528060.0,20790,314.0,8 PING LAN ST|8 平瀾街,6528060.0,20790.0,314.0,0.10992472372003625,0.10992472372003625
2018-11-15,5881534.0,18731.0,1,5881534.0,18731,314.0,8 PING LAN ST|8 平瀾街,5881534.0,18731.0,314.0,0.02327232996449058,0.02327232996449058
2018-12-15,5747770.0,18305.0,1,5747770.0,18305,314.0,8 PING LAN ST|8 平瀾街,5747770.0,18305.0,314.0,-0.004026334403395171,-0.004026334403395171
2019-1-15,5771006.0,18379.0,1,5771006.0,18379,314.0,8 PING LAN ST|8 平瀾街,5771006.0,18379.0,314.0,-0.08798134180230255,-0.08798134180230255
2019-2-15,6327728.0,20152.0,1,6327728.0,20152,314.0,8 PING LAN ST|8 平瀾街,6327728.0,20152.0,314.0,0.07311358432291382,0.07311358432291382
2019-3-15,5896606.0,18779.0,1,5896606.0,18779,314.0,8 PING LAN ST|8 平瀾街,5896606.0,18779.0,314.0,-0.0800470288541616,-0.0800470288541616
2019-4-15,6409682.0,20413.0,1,6409682.0,20413,314.0,8 PING LAN ST|8 平瀾街,6409682.0,20413.0,314.0,-0.06563830274179516,-0.06563830274179516
