,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,8090325.0,28784.8,5,40451625.0,143924.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",8616876.0,28068.0,307.0,9511500.0,27975.0,340.0,6490323.0,30471.0,213.0,6367422.0,29894.0,213.0,9465504.0,27516.0,344.0,-0.07104886334706328,-0.07105652120594064
2019-11-15,8709096.4,30986.6,5,43545482.0,154933.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",9276005.0,30215.0,307.0,10240800.0,30120.0,340.0,6987465.0,32805.0,213.0,6854340.0,32180.0,213.0,10186872.0,29613.0,344.0,0.05771051989497589,0.05770031608194914
2019-10-15,8233913.0,29296.2,5,41169565.0,146481.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",8769762.0,28566.0,307.0,9683540.0,28481.0,340.0,6607047.0,31019.0,213.0,6480312.0,30424.0,213.0,9628904.0,27991.0,344.0,-0.14928381524596634,-0.14929117761503485
2019-9-15,9678801.4,34437.4,5,48394007.0,172187.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",10308446.0,33578.0,307.0,11384560.0,33484.0,340.0,7767471.000000001,36467.0,213.0,7617306.0,35762.0,213.0,11316224.0,32896.0,344.0,0.10617783338711373,0.10616660563660774
2019-8-15,8749769.8,31132.2,5,43748849.0,155661.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",9318985.0,30355.0,307.0,10293500.0,30275.0,340.0,7022822.999999999,32971.0,213.0,6886077.0,32329.0,213.0,10227464.0,29731.0,344.0,-0.049714758135616766,-0.04972345335335704
2019-7-15,9207519.4,32761.2,5,46037597.0,163806.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",9806501.0,31943.0,307.0,10833760.0,31864.0,340.0,7391100.0,34700.0,213.0,7246260.0,34020.0,213.0,10759976.0,31279.0,344.0,0.08070613043066754,0.08069272637308256
2019-6-15,8519910.4,30315.0,5,42599552.0,151575.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",9073999.0,29557.0,307.0,10026260.0,29489.0,340.0,6840069.0,32113.0,213.0,6705240.0,31480.0,213.0,9953984.0,28936.0,344.0,-0.012376100873163765,-0.012386301441267733
2019-5-15,8626675.0,30695.2,5,43133375.0,153476.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",9187589.0,29927.0,307.0,10153760.0,29864.0,340.0,6926760.0,32520.0,213.0,6789162.0,31874.0,213.0,10076104.0,29291.0,344.0,0.04676920659064021,0.04676033283317427
2019-4-15,8241238.8,29324.0,5,41206194.0,146620.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",8777130.0,28590.0,307.0,9701560.0,28534.0,340.0,6618123.0,31071.0,213.0,6485637.0,30449.0,213.0,9623744.0,27976.0,344.0,0.02490227707510395,0.024891827847251857
2019-3-15,8040999.6,28611.8,5,40204998.0,143059.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",8563765.0,27895.0,307.0,9467640.0,27846.0,340.0,6458160.0,30320.0,213.0,6328017.0,29709.0,213.0,9387416.0,27289.0,344.0,0.024510481197600686,0.024499061859952098
2019-2-15,7848626.0,27927.6,5,39243130.0,139638.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",8358689.000000001,27227.0,307.0,9242560.0,27184.0,340.0,6304587.0,29599.0,213.0,6176574.0,28998.0,213.0,9160720.0,26630.0,344.0,0.02336806544151493,0.02335636968582122
