,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,23983471.666666668,20350.333333333332,3,71950415.0,61051.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",19636500.0,19875.0,988.0,32499120.0,21381.0,1520.0,19814795.0,19795.0,1001.0,-0.0010020329178969112,-0.0010145140968370603
2019-11-15,24007528.0,20371.0,3,72022584.0,61113.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",19657248.0,19896.0,988.0,32529520.0,21401.0,1520.0,19835816.0,19816.0,1001.0,0.03464263508766763,0.03463863070750173
2019-10-15,23203691.0,19689.0,3,69611073.0,59067.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",18999240.0,19230.0,988.0,31439680.0,20684.0,1520.0,19172153.0,19153.0,1001.0,-0.03937506549771319,-0.03937353629976581
2019-9-15,24154787.333333332,20496.0,3,72464362.0,61488.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",19777784.0,20018.0,988.0,32728639.999999996,21532.0,1520.0,19957938.0,19938.0,1001.0,0.02752486344213989,0.02752293577981657
2019-8-15,23507740.0,19947.0,3,70523220.0,59841.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",19248216.0,19482.0,988.0,31851600.0,20955.0,1520.0,19423404.0,19404.0,1001.0,-0.04914605092938695,-0.04914672514062346
2019-7-15,24722766.333333332,20978.0,3,74168299.0,62934.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",20243132.0,20489.0,988.0,33497760.000000004,22038.0,1520.0,20427407.0,20407.0,1001.0,0.016899357368484358,0.016901499482937066
2019-6-15,24311910.666666668,20629.333333333332,3,72935732.0,61888.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",19906224.0,20148.0,988.0,32941440.0,21672.0,1520.0,20088068.0,20068.0,1001.0,-0.01147875317325553,-0.011484338811953987
2019-5-15,24594221.666666668,20869.0,3,73782665.0,62607.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",20138404.0,20383.0,988.0,33322960.000000004,21923.0,1520.0,20321301.0,20301.0,1001.0,0.03134598453836457,0.031348840274116885
2019-4-15,23846722.666666668,20234.666666666668,3,71540168.0,60704.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",19525844.0,19763.0,988.0,32310640.0,21257.0,1520.0,19703684.0,19684.0,1001.0,0.024384547729485062,0.024384481682107495
2019-3-15,23279073.0,19753.0,3,69837219.0,59259.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",19061484.0,19293.0,988.0,31541520.0,20751.0,1520.0,19234215.0,19215.0,1001.0,0.05026226923312227,0.050263190542863656
2019-2-15,22165009.333333332,18807.666666666668,3,66495028.0,56423.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",18148572.0,18369.0,988.0,30032160.000000004,19758.0,1520.0,18314296.0,18296.0,1001.0,0.015434289281202496,0.015240391535914943
