,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_H19-A,npsf_H19-A,nfa_H19-A,lumpSum_H19-B,npsf_H19-B,nfa_H19-B,lumpSum_H20-A,npsf_H20-A,nfa_H20-A,lumpSum_H20-B,npsf_H20-B,nfa_H20-B,lumpSum_change,npsf_change
2019-12-15,7221961.5,19687.0,4,28887846.0,78748.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8603415.0,17739.0,485.0,5864711.0,21641.0,271.0,8536392.0,17896.0,477.0,5883328.0,21472.0,274.0,-0.020366069936156972,-0.020364495863656185
2019-11-15,7372102.25,20096.25,4,29488409.0,80385.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8782380.0,18108.0,485.0,5986661.0,22091.0,271.0,8713836.0,18268.0,477.0,6005532.0,21918.0,274.0,0.0031167692957998483,0.003107217729859224
2019-10-15,7349196.5,20034.0,4,29396786.0,80136.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8754735.0,18051.0,485.0,5968504.0,22024.0,271.0,8686647.0,18211.0,477.0,5986900.0,21850.0,274.0,0.007696420133864068,0.007695789950203702
2019-9-15,7293066.0,19881.0,4,29172264.0,79524.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8687805.0,17913.0,485.0,5923247.0,21857.0,271.0,8620344.0,18072.0,477.0,5940867.999999999,21682.0,274.0,0.006694082371552668,0.006696626368757563
2019-8-15,7244570.25,19748.75,4,28978281.0,78995.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8630090.0,17794.0,485.0,5884223.0,21713.0,271.0,8563104.0,17952.0,477.0,5900863.999999999,21536.0,274.0,-0.036888878800032,-0.03688124847598151
2019-7-15,7522050.25,20505.0,4,30088201.0,82020.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8960860.0,18476.0,485.0,6109695.0,22545.0,271.0,8891280.0,18640.0,477.0,6126366.0,22359.0,274.0,0.10185631959889307,0.10185657862919473
2019-6-15,6826707.0,18609.5,4,27306828.0,74438.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8132479.999999999,16768.0,485.0,5544931.0,20461.0,271.0,8069409.0,16917.0,477.0,5560008.000000001,20292.0,274.0,-0.053644227389234134,-0.05330094494397741
2019-5-15,7213679.25,19657.25,4,28854717.0,78629.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8623785.0,17781.0,485.0,5850619.0,21589.0,271.0,8513973.0,17849.0,477.0,5866340.000000001,21410.0,274.0,-0.0350321059387626,-0.03490726989309345
2019-4-15,7475564.0,20368.25,4,29902256.0,81473.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8931275.0,18415.0,485.0,6059560.0,22360.0,271.0,8835471.0,18523.0,477.0,6075950.0,22175.0,274.0,0.008328298254361322,0.00832920792079217
2019-3-15,7413819.5,20200.0,4,29655278.0,80800.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8857555.0,18263.0,485.0,6009425.000000001,22175.0,271.0,8762490.0,18370.0,477.0,6025808.0,21992.0,274.0,0.057078985391914916,0.05707968653924156
2019-2-15,7013496.25,19109.25,4,28053985.0,76437.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8379345.0,17277.0,485.0,5685038.0,20978.0,271.0,8289306.000000001,17378.0,477.0,5700296.000000001,20804.0,274.0,-0.013346869956100682,-0.014059617939556568
2019-1-15,7108370.75,19381.75,4,28433483.0,77527.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8519510.0,17566.0,485.0,5779888.0,21328.0,271.0,8338437.0,17481.0,477.0,5795648.0,21152.0,274.0,0.05670479752849822,0.05670124170267288
2018-12-15,6726922.0,18341.75,4,26907688.0,73367.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8062155.0,16623.0,485.0,5469864.0,20184.0,271.0,7891011.0,16543.0,477.0,5484658.0,20017.0,274.0,-0.045441593743632214,-0.048479346345892016
2018-11-15,7047156.0,19276.25,4,28188624.0,77105.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8308535.0,17131.0,485.0,5806717.0,21427.0,271.0,8251146.0,17298.0,477.0,5822226.0,21249.0,274.0,-0.018486024181311622,-0.018470899740312685
2018-10-15,7179883.5,19639.0,4,28719534.0,78556.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8465675.0,17455.0,485.0,5915659.000000001,21829.0,271.0,8406648.0,17624.0,477.0,5931552.0,21648.0,274.0,0.024377220619763884,0.024385155047857543
2018-9-15,7009023.0,19171.5,4,28036092.0,76686.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8264400.0,17040.0,485.0,5774739.0,21309.0,271.0,8206785.0,17205.0,477.0,5790168.000000001,21132.0,274.0,-0.034516307550108705,-0.034509675551135044
2018-8-15,7259597.5,19856.75,4,29038390.0,79427.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8559765.0,17649.0,485.0,5980970.0,22070.0,271.0,8500617.0,17821.0,477.0,5997038.0,21887.0,274.0,-0.00609556640308595,-0.006081613754958526
2018-7-15,7304120.25,19978.25,4,29216481.0,79913.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8612630.0,17758.0,485.0,6017284.0,22204.0,271.0,8553087.0,17931.0,477.0,6033480.0,22020.0,274.0,-0.02202718951288707,-0.022016350107695315
2018-6-15,7468633.25,20428.0,4,29874533.0,81712.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8807115.0,18159.0,485.0,6152513.0,22703.0,271.0,8745795.0,18335.0,477.0,6169110.0,22515.0,274.0,0.018047096497924686,0.018065834392364977
2018-5-15,7336235.5,20065.5,4,29344942.0,80262.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8651430.0,17838.0,485.0,6043029.0,22299.0,271.0,8591247.0,18011.0,477.0,6059236.0,22114.0,274.0,0.0037173701424191297,0.003262459219259828
2018-4-15,7309065.0,20000.25,4,29236260.0,80001.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8581105.0,17693.0,485.0,6031647.0,22257.0,271.0,8575506.0,17978.0,477.0,6048002.0,22073.0,274.0,0.051915126215020146,0.051496392098103305
2018-3-15,6948341.0,19020.75,4,27793364.0,76083.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8172250.0,16850.0,485.0,5743845.0,21195.0,271.0,8118063.0,17019.0,477.0,5759206.0,21019.0,274.0,-0.005130172213710149,-0.0033795732306362014
2018-2-15,6984171.0,19085.25,4,27936684.0,76341.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8259550.0,17030.0,485.0,5731379.0,21149.0,271.0,8199153.0,17189.0,477.0,5746602.0,20973.0,274.0,,
2018-1-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
