,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,15922440.0,11538.0,1,15922440,11538,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",15922440.0,11538.0,1380.0,-0.023444773592890433,-0.023444773592890433
2019-11-15,16304700.0,11815.0,1,16304700,11815,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",16304700.0,11815.0,1380.0,-0.04277728267033942,-0.04277728267033942
2019-10-15,17033340.0,12343.0,1,17033340,12343,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",17033340.0,12343.0,1380.0,0.014381985535831587,0.014381985535831587
2019-9-15,16791840.0,12168.0,1,16791840,12168,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",16791840.0,12168.0,1380.0,-0.06284658040665436,-0.06284658040665436
2019-8-15,17917920.0,12984.0,1,17917920,12984,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",17917920.0,12984.0,1380.0,0.0016199953714417514,0.0016199953714417514
2019-7-15,17888940.0,12963.0,1,17888940,12963,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",17888940.0,12963.0,1380.0,0.005039541014110638,0.005039541014110638
2019-6-15,17799240.0,12898.0,1,17799240,12898,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",17799240.0,12898.0,1380.0,-0.03284343131373724,-0.03284343131373724
2019-5-15,18403680.0,13336.0,1,18403680,13336,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",18403680.0,13336.0,1380.0,0.07852810351799433,0.07852810351799433
2019-4-15,17063700.0,12365.0,1,17063700,12365,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",17063700.0,12365.0,1380.0,0.09570225963668588,0.09570225963668588
2019-3-15,15573300.0,11285.0,1,15573300,11285,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",15573300.0,11285.0,1380.0,0.00026591029959233126,0.00026591029959233126
2019-2-15,15569160.0,11282.0,1,15569160,11282,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",15569160.0,11282.0,1380.0,-0.0014161798548415483,-0.0014161798548415483
2019-1-15,15591240.0,11298.0,1,15591240,11298,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",15591240.0,11298.0,1380.0,-0.07733768885259285,-0.07733768885259285
2018-12-15,16898100.0,12245.0,1,16898100,12245,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",16898100.0,12245.0,1380.0,0.03516780792966445,0.03516780792966445
2018-11-15,16324020.0,11829.0,1,16324020,11829,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",16324020.0,11829.0,1380.0,0.03963789769731063,0.03963789769731063
2018-10-15,15701640.0,11378.0,1,15701640,11378,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",15701640.0,11378.0,1380.0,,
2018-9-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2018-8-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2018-7-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2018-6-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2018-5-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2018-4-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2018-3-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2018-2-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2018-1-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2017-12-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2017-11-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2017-10-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2017-9-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2017-8-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2017-7-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2017-6-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2017-5-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2017-4-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2017-3-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2017-2-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2017-1-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2016-12-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2016-11-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2016-10-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2016-9-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2016-8-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2016-7-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2016-6-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2016-5-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2016-4-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2016-3-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2016-2-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
2016-1-15,,,1,,,1380,"HARRISON COURT(Phase 2),WATERLOO RD|恒信園2期,窩打老道",,,1380.0,,
