,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_change,npsf_change
2019-12-15,4630147.866666666,16610.533333333333,15,69452218.0,249158.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5062211.0,15869.0,319.0,5195910.0,16761.0,310.0,4893812.0,15889.0,308.0,5117420.0,16615.0,308.0,4977670.0,16057.0,310.0,4094172.0,18036.0,227.0,5730200.0,16372.0,350.0,5067332.0,16138.0,314.0,3890904.0000000005,17448.0,223.0,4899521.0,15359.0,319.0,4994264.0,15656.0,319.0,3805523.9999999995,17142.0,222.0,4015560.9999999995,18007.0,223.0,3786094.0,16978.0,223.0,3921623.0,16831.0,233.0,-0.030828966981655714,-0.030822850296792437
2019-11-15,4777431.133333334,17138.8,15,71661467.0,257082.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5222668.0,16372.0,319.0,5361140.0,17294.0,310.0,5049660.0,16395.0,308.0,5280660.0,17145.0,308.0,5136700.0,16570.0,310.0,4224016.0,18608.0,227.0,5912200.0,16892.0,350.0,5228414.0,16651.0,314.0,4013999.9999999995,18000.0,223.0,5056150.0,15850.0,319.0,5153445.0,16155.0,319.0,3926292.0,17686.0,222.0,4143786.0,18582.0,223.0,3906291.0000000005,17517.0,223.0,4046045.0000000005,17365.0,233.0,-0.011369746353793397,-0.011359965543232486
2019-10-15,4832374.0,17335.733333333334,15,72485610.0,260036.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5282002.0,16558.0,319.0,5422830.0,17493.0,310.0,5107564.0,16583.0,308.0,5341644.0,17343.0,308.0,5196840.0,16764.0,310.0,4272140.0,18820.0,227.0,5980100.0,17086.0,350.0,5288702.0,16843.0,314.0,4059269.0,18203.0,223.0,5115484.0,16036.0,319.0,5213098.0,16342.0,319.0,3971136.0000000005,17888.0,222.0,4191731.0,18797.0,223.0,3950891.0,17717.0,223.0,4092179.0,17563.0,233.0,-0.001804696032498665,-0.0017965175198845218
2019-9-15,4841110.733333333,17366.933333333334,15,72616661.0,260504.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5291253.0,16587.0,319.0,5432440.0,17524.0,310.0,5116804.0,16613.0,308.0,5351808.0,17376.0,308.0,5207070.0,16797.0,310.0,4279404.0,18852.0,227.0,5990600.0,17116.0,350.0,5298436.0,16874.0,314.0,4065959.0,18233.0,223.0,5125692.0,16068.0,319.0,5222668.0,16372.0,319.0,3978018.0000000005,17919.0,222.0,4199759.0,18833.0,223.0,3957581.0,17747.0,223.0,4099169.0,17593.0,233.0,-0.049007591434456765,-0.04899863466775689
2019-8-15,5090588.2,18261.733333333334,15,76358823.0,273926.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5563041.0,17439.0,319.0,5712370.0,18427.0,310.0,5380452.0,17469.0,308.0,5627776.0,18272.0,308.0,5476460.0,17666.0,310.0,4499367.0,19821.0,227.0,6299300.0,17998.0,350.0,5571616.0,17744.0,314.0,4274464.0,19168.0,223.0,5391100.0,16900.0,319.0,5492223.0,17217.0,319.0,4182701.9999999995,18841.0,222.0,4416515.0,19805.0,223.0,4161403.0000000005,18661.0,223.0,4310034.0,18498.0,233.0,0.024854266724930518,0.024861475376102282
2019-7-15,4967133.733333333,17818.733333333334,15,74507006.0,267281.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5427466.0,17014.0,319.0,5573800.0,17980.0,310.0,5249860.0,17045.0,308.0,5491640.0,17830.0,308.0,5344710.0,17241.0,310.0,4389953.0,19339.0,227.0,6146350.0,17561.0,350.0,5436282.0,17313.0,314.0,4170100.0,18700.0,223.0,5261267.0,16493.0,319.0,5359519.0,16801.0,319.0,4081026.0,18383.0,222.0,4309921.0,19327.0,223.0,4060161.0,18207.0,223.0,4204951.0,18047.0,233.0,0.0022091859397921354,0.002219814090570038
2019-6-15,4956184.6,17779.266666666666,15,74342769.0,266689.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5415025.0,16975.0,319.0,5561400.0,17940.0,310.0,5238156.0,17007.0,308.0,5479936.0,17792.0,308.0,5333860.0,17206.0,310.0,4379738.0,19294.0,227.0,6132700.0,17522.0,350.0,5424664.0,17276.0,314.0,4159842.0000000005,18654.0,223.0,5250740.0,16460.0,319.0,5348035.0,16765.0,319.0,4071701.9999999995,18341.0,222.0,4300778.0,19286.0,223.0,4050795.0,18165.0,223.0,4195398.0,18006.0,233.0,-0.00908990857242209,-0.00908101199035427
2019-5-15,5001649.133333334,17942.2,15,75024737.0,269133.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5463832.0,17128.0,319.0,5612240.0,18104.0,310.0,5286204.0,17163.0,308.0,5530756.0,17957.0,308.0,5384080.0,17368.0,310.0,4419463.0,19469.0,227.0,6188700.0,17682.0,350.0,5474276.0,17434.0,314.0,4197083.0,18821.0,223.0,5300185.0,16615.0,319.0,5397480.0,16920.0,319.0,4108775.9999999995,18508.0,222.0,4340695.0,19465.0,223.0,4087590.0,18330.0,223.0,4233377.0,18169.0,233.0,0.04161530477492992,0.0416250609572022
2019-4-15,4801819.933333334,17225.2,15,72027299.0,258378.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5244998.0,16442.0,319.0,5388110.0,17381.0,310.0,5074916.0,16477.0,308.0,5309920.0,17240.0,308.0,5169870.0,16677.0,310.0,4242403.0,18689.0,227.0,5941250.0,16975.0,350.0,5255732.0,16738.0,314.0,4028718.0,18066.0,223.0,5089645.0,15955.0,319.0,5182155.0,16245.0,319.0,3944274.0,17767.0,222.0,4167647.0,18689.0,223.0,3923908.0,17596.0,223.0,4063753.0,17441.0,233.0,0.008684012499692306,0.008694090595000592
2019-3-15,4760479.866666666,17076.733333333334,15,71407198.0,256151.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5199062.0,16298.0,319.0,5341610.0,17231.0,310.0,5031180.0,16335.0,308.0,5264644.0,17093.0,308.0,5126470.0,16537.0,310.0,4205402.0,18526.0,227.0,5890150.0,16829.0,350.0,5210516.0,16594.0,314.0,3993038.0000000005,17906.0,223.0,5046899.0,15821.0,319.0,5137814.0,16106.0,319.0,3909864.0,17612.0,222.0,4132190.0000000005,18530.0,223.0,3889789.0,17443.0,223.0,4028570.0,17290.0,233.0,0.042383690611066616,0.04239136627410134
2019-2-15,4566917.066666666,16382.266666666666,15,68503756.0,245734.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",4986927.0,15633.0,319.0,5124300.0,16530.0,310.0,4826360.0,15670.0,308.0,5050892.0,16399.0,308.0,4919080.0,15868.0,310.0,4034017.0,17771.0,227.0,5650400.0,16144.0,350.0,4998880.0,15920.0,314.0,3830025.0,17175.0,223.0,4842739.0,15181.0,319.0,4929188.0,15452.0,319.0,3750690.0,16895.0,222.0,3964494.0,17778.0,223.0,3731459.0,16733.0,223.0,3864304.9999999995,16585.0,233.0,-0.0025117561013157097,-0.0025005074081591028
