,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,10212640.0,20590.0,1,10212640,20590,496,18 SPRING GDN LANE|18 春園街,10212640.0,20590.0,496.0,-0.09957580793282894,-0.09957580793282894
2019-11-15,11342032.0,22867.0,1,11342032,22867,496,18 SPRING GDN LANE|18 春園街,11342032.0,22867.0,496.0,-0.035635964912280715,-0.035635964912280715
2019-10-15,11761152.0,23712.0,1,11761152,23712,496,18 SPRING GDN LANE|18 春園街,11761152.0,23712.0,496.0,0.0494357158663421,0.0494357158663421
2019-9-15,11207120.0,22595.0,1,11207120,22595,496,18 SPRING GDN LANE|18 春園街,11207120.0,22595.0,496.0,-0.20462545761757256,-0.20462545761757256
2019-8-15,14090368.0,28408.0,1,14090368,28408,496,18 SPRING GDN LANE|18 春園街,14090368.0,28408.0,496.0,0.1877247261476711,0.1877247261476711
2019-7-15,11863328.0,23918.0,1,11863328,23918,496,18 SPRING GDN LANE|18 春園街,11863328.0,23918.0,496.0,-0.02087768134927137,-0.02087768134927137
2019-6-15,12116288.0,24428.0,1,12116288,24428,496,18 SPRING GDN LANE|18 春園街,12116288.0,24428.0,496.0,0.006054116387298691,0.006054116387298691
2019-5-15,12043376.0,24281.0,1,12043376,24281,496,18 SPRING GDN LANE|18 春園街,12043376.0,24281.0,496.0,0.05891844744875718,0.05891844744875718
2019-4-15,11373280.0,22930.0,1,11373280,22930,496,18 SPRING GDN LANE|18 春園街,11373280.0,22930.0,496.0,0.012138600750386308,0.012138600750386308
2019-3-15,11236880.0,22655.0,1,11236880,22655,496,18 SPRING GDN LANE|18 春園街,11236880.0,22655.0,496.0,,
2019-2-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2019-1-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2018-12-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2018-11-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2018-10-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2018-9-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2018-8-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2018-7-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2018-6-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2018-5-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2018-4-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2018-3-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2018-2-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2018-1-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2017-12-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2017-11-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2017-10-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2017-9-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2017-8-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2017-7-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2017-6-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2017-5-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2017-4-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2017-3-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2017-2-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2017-1-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2016-12-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2016-11-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2016-10-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2016-9-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2016-8-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2016-7-15,5580992.0,11252.0,1,5580992,11252,496,18 SPRING GDN LANE|18 春園街,5580992.0,11252.0,496.0,0.032293577981651334,0.032293577981651334
2016-6-15,5406400.0,10900.0,1,5406400,10900,496,18 SPRING GDN LANE|18 春園街,5406400.0,10900.0,496.0,-0.002196997436836323,-0.002196997436836323
2016-5-15,5418304.0,10924.0,1,5418304,10924,496,18 SPRING GDN LANE|18 春園街,5418304.0,10924.0,496.0,0.04296352873782694,0.04296352873782694
2016-4-15,5195104.0,10474.0,1,5195104,10474,496,18 SPRING GDN LANE|18 春園街,5195104.0,10474.0,496.0,-0.06062780269058299,-0.06062780269058299
2016-3-15,5530400.0,11150.0,1,5530400,11150,496,18 SPRING GDN LANE|18 春園街,5530400.0,11150.0,496.0,,
2016-2-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
2016-1-15,,,1,,,496,18 SPRING GDN LANE|18 春園街,,,496.0,,
