,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_DF,npsf_DF,nfa_DF,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",8559603.0,17433.0,491.0,7680532.0,21454.0,358.0,8603466.0,17594.0,489.0,8792212.0,17798.0,494.0,,,1254.0,7246415.0,20185.0,359.0,7842476.0,18196.0,431.0,6227312.0,18928.0,329.0,6120160.0,21104.0,290.0,,
2019-11-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10384159.0,21149.0,491.0,9309074.0,26003.0,358.0,10438194.0,21346.0,489.0,10662990.0,21585.0,494.0,,,1254.0,8793346.0,24494.0,359.0,9513032.0,22072.0,431.0,7556472.0,22968.0,329.0,7423130.0,25597.0,290.0,,
2019-10-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",9990868.0,20348.0,491.0,8946062.0,24989.0,358.0,10044060.0,20540.0,489.0,10257910.0,20765.0,494.0,,,1254.0,8460194.0,23566.0,359.0,9149699.0,21229.0,431.0,7269913.0,22097.0,329.0,7138640.0,24616.0,290.0,,
2019-9-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10867303.0,22133.0,491.0,9509554.0,26563.0,358.0,10898832.0,22288.0,489.0,10915424.0,22096.0,494.0,,,1254.0,9003361.0,25079.0,359.0,9734135.0,22585.0,431.0,7496923.0,22787.0,329.0,7593360.0,26184.0,290.0,,
2019-8-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",9956007.0,20277.0,491.0,8700116.0,24302.0,358.0,9984402.0,20418.0,489.0,9997078.0,20237.0,494.0,,,1254.0,8246589.0,22971.0,359.0,8913080.0,20680.0,431.0,6864914.0,20866.0,329.0,6951880.0,23972.0,290.0,,
2019-7-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10348807.0,21077.0,491.0,9031266.0,25227.0,358.0,10378536.0,21224.0,489.0,10388820.0,21030.0,494.0,,,1254.0,8570407.0,23873.0,359.0,9260035.0,21485.0,431.0,7132720.0,21680.0,329.0,7221580.0,24902.0,290.0,,
2019-6-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10374339.0,21129.0,491.0,9114322.0,25459.0,358.0,10404453.0,21277.0,489.0,10411544.0,21076.0,494.0,,,1254.0,8589793.0,23927.0,359.0,9278137.0,21527.0,431.0,7147196.0,21724.0,329.0,7234920.0,24948.0,290.0,,
2019-5-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10748481.0,21891.0,491.0,9431152.0,26344.0,358.0,10779027.0,22043.0,489.0,10784020.0,21830.0,494.0,,,1254.0,8896738.0,24782.0,359.0,9607421.0,22291.0,431.0,7401513.0,22497.0,329.0,7490700.0,25830.0,290.0,,
2019-4-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10536860.0,21460.0,491.0,9234610.0,25795.0,358.0,10566801.0,21609.0,489.0,10569130.0,21395.0,494.0,,,1254.0,8716161.0,24279.0,359.0,9413902.0,21842.0,431.0,7252476.0,22044.0,329.0,7338450.0,25305.0,290.0,,
2019-3-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10308545.0,20995.0,491.0,9267188.0,25886.0,358.0,13036740.0,26660.0,489.0,10376964.0,21006.0,494.0,,,1254.0,8553534.0,23826.0,359.0,9240209.0,21439.0,431.0,7118902.0,21638.0,329.0,7201860.0,24834.0,290.0,,
2019-2-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",9857807.0,20077.0,491.0,8863722.0,24759.0,358.0,12466566.0,25494.0,489.0,9926930.0,20095.0,494.0,,,1254.0,8179456.0,22784.0,359.0,8837224.0,20504.0,431.0,6808984.0,20696.0,329.0,6886920.0,23748.0,290.0,,
