,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,5853266.428571428,15599.57142857143,7,40972865.0,109197.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6508905.0,14963.0,435.0,6880032.0,15926.0,432.0,8457089.0,14657.0,577.0,4838825.0,15865.0,305.0,4735263.0,15837.0,299.0,4719715.0,15785.0,299.0,4833036.0,16164.0,299.0,-0.03619283884662117,-0.03618807205839514
2019-11-15,6073068.0,16185.285714285714,7,42511476.0,113297.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6753810.0,15526.0,435.0,7137936.0,16523.0,432.0,8775016.0,15208.0,577.0,5019995.0,16459.0,305.0,4913168.000000001,16432.0,299.0,4897620.0,16380.0,299.0,5013931.0,16769.0,299.0,-0.010794024193355622,-0.010826195901761038
2019-10-15,6139336.142857143,16362.42857142857,7,42975353.0,114537.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6855600.000000001,15760.0,435.0,7246368.0,16774.0,432.0,8829831.0,15303.0,577.0,5096245.0,16709.0,305.0,4987619.0,16681.0,299.0,4869214.999999999,16285.0,299.0,5090475.0,17025.0,299.0,-0.013680500562845865,-0.013683412844668785
2019-9-15,6224490.285714285,16589.428571428572,7,43571432.0,116126.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6949995.0,15977.0,435.0,7347456.0,17008.0,432.0,8952155.0,15515.0,577.0,5167310.0,16942.0,305.0,5056688.0,16912.0,299.0,4936191.0,16509.0,299.0,5161637.0,17263.0,299.0,0.01478977796281633,0.014785815404512626
2019-8-15,6133773.142857143,16347.714285714286,7,42936412.0,114434.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6848205.0,15743.0,435.0,7240320.0,16760.0,432.0,8821753.0,15289.0,577.0,5092280.0,16696.0,305.0,4983134.0,16666.0,299.0,4863534.0,16266.0,299.0,5087186.0,17014.0,299.0,-0.010450027733452827,-0.010454588691057864
2019-7-15,6198548.142857143,16520.428571428572,7,43389837.0,115643.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6919980.0,15908.0,435.0,7317216.0,16938.0,432.0,8914650.0,15450.0,577.0,5146265.0,16873.0,305.0,5035758.0,16842.0,299.0,4914364.0,16436.0,299.0,5141604.0,17196.0,299.0,0.008511483058547098,0.008511603163944281
2019-6-15,6146234.571428572,16381.0,7,43023642.0,114667.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6861255.0,15773.0,435.0,7255440.0,16795.0,432.0,8839640.0,15320.0,577.0,5102955.0,16731.0,305.0,4993300.0,16700.0,299.0,4872205.0,16295.0,299.0,5098847.0,17053.0,299.0,-0.007471501306199446,-0.007478512260778558
2019-5-15,6192501.857142857,16504.428571428572,7,43347513.0,115531.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6912150.0,15890.0,435.0,7310304.0,16922.0,432.0,8905994.999999998,15435.0,577.0,5141690.0,16858.0,305.0,5030974.0,16826.0,299.0,4908384.0,16416.0,299.0,5138016.0,17184.0,299.0,-0.004401578404577999,-0.0044035780148566905
2019-4-15,6219879.142857143,16577.428571428572,7,43539154.0,116042.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6942165.0,15959.0,435.0,7343136.0,16998.0,432.0,8945231.0,15503.0,577.0,5164870.0,16934.0,305.0,5053100.0,16900.0,299.0,4929314.0,16486.0,299.0,5161338.0,17262.0,299.0,0.0337878787986714,0.03378173719376387
2019-3-15,6016591.285714285,16035.714285714286,7,42116139.0,112250.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6714660.0,15436.0,435.0,7103376.0,16443.0,432.0,8652692.0,14996.0,577.0,4996205.0,16381.0,305.0,4888052.0,16348.0,299.0,4767854.0,15946.0,299.0,4993299.999999999,16700.0,299.0,0.061646371741726824,0.06158618472072486
2019-2-15,5667227.285714285,15105.42857142857,7,39670591.0,105738.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6322725.0,14535.0,435.0,6689520.0,15485.0,432.0,8148394.0,14122.0,577.0,4714690.0,15458.0,305.0,4603105.0,15395.0,299.0,4489186.0,15014.0,299.0,4702971.0,15729.0,299.0,0.02086023602235554,0.020853849273011482
2019-1-15,5551423.285714285,14796.857142857143,7,38859963.0,103578.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6193095.0,14237.0,435.0,6553008.0,15169.0,432.0,7981641.0,13833.0,577.0,4618615.0,15143.0,305.0,4508920.0,15080.0,299.0,4397094.0,14706.0,299.0,4607590.0,15410.0,299.0,-0.00812733982689784,-0.008130081300812941
2018-12-15,5596911.285714285,14918.142857142857,7,39178379.0,104427.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6243555.0,14353.0,435.0,6607008.0,15294.0,432.0,8046842.000000001,13946.0,577.0,4656740.0,15268.0,305.0,4545996.0,15204.0,299.0,4432376.0,14824.0,299.0,4645862.0,15538.0,299.0,0.007015445654900754,0.007010607521697132
2018-11-15,5557920.0,14814.285714285714,7,38905440.0,103700.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6199185.0,14251.0,435.0,6561216.0,15188.0,432.0,7990873.0,13849.0,577.0,4624715.0,15163.0,305.0,4514302.0,15098.0,299.0,4400981.0,14719.0,299.0,4614168.0,15432.0,299.0,-0.06796960510890138,-0.06792381602955322
2018-10-15,5963239.0,15893.857142857143,7,41742673.0,111257.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6652455.000000001,15293.0,435.0,7041600.000000001,16300.0,432.0,8575374.0,14862.0,577.0,4953505.0,16241.0,305.0,4844697.0,16203.0,299.0,4722406.0,15794.0,299.0,4952636.0,16564.0,299.0,-0.06891081965866008,-0.068963497297026
2018-9-15,6404584.142857143,17071.14285714286,7,44832089.0,119498.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",7142700.0,16420.0,435.0,7561296.0,17503.0,432.0,9207766.0,15958.0,577.0,5329570.0,17474.0,305.0,5202002.0,17398.0,299.0,5070143.0,16957.0,299.0,5318612.0,17788.0,299.0,-0.015985701092553928,-0.01599143610013165
2018-8-15,6508629.142857143,17348.571428571428,7,45560404.0,121440.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",7257975.0,16685.0,435.0,7684416.0,17788.0,432.0,9357209.0,16217.0,577.0,5416495.0,17759.0,305.0,5286619.0,17681.0,299.0,5151770.0,17230.0,299.0,5405920.0,18080.0,299.0,0.03615604435336239,0.03615095176744609
2018-7-15,6281514.428571428,16743.285714285714,7,43970601.0,117203.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",7003935.0,16101.0,435.0,7416576.0,17168.0,432.0,9030627.0,15651.0,577.0,5228005.0,17141.0,305.0,5102136.0,17064.0,299.0,4971174.0,16626.0,299.0,5218148.0,17452.0,299.0,0.02030831314131243,0.020301033333043117
2018-6-15,6156486.571428572,16410.14285714286,7,43095406.0,114871.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6863865.0,15779.0,435.0,7269264.0,16827.0,432.0,8850603.0,15339.0,577.0,5124000.0,16800.0,305.0,5000775.0,16725.0,299.0,4871607.0,16293.0,299.0,5115292.0,17108.0,299.0,0.010052286910741115,0.010103585937637494
2018-5-15,6095215.714285715,16246.0,7,42666510.0,113722.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6796440.0,15624.0,435.0,7198848.0,16664.0,432.0,8764630.0,15190.0,577.0,5064830.0,16606.0,305.0,4952038.0,16562.0,299.0,4823468.000000001,16132.0,299.0,5066256.0,16944.0,299.0,,
2018-4-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2018-3-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2018-2-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2018-1-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
