,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,17474003.25,19292.75,4,69896013.0,77171.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",26732620.0,19570.0,1366.0,15694826.0,19001.0,826.0,8470099.0,20119.0,421.0,18998468.0,18481.0,1028.0,0.004622215706417965,0.00460835492143663
2019-11-15,17393606.25,19204.25,4,69574425.0,76817.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",26611046.0,19481.0,1366.0,15622138.0,18913.0,826.0,8432209.0,20029.0,421.0,18909032.0,18394.0,1028.0,0.009214205472778625,0.009196368748111361
2019-10-15,17234801.25,19029.25,4,68939205.0,76117.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",26369264.0,19304.0,1366.0,15479240.0,18740.0,826.0,8356429.0,19849.0,421.0,18734272.0,18224.0,1028.0,-0.02493143572298373,-0.024941073990571883
2019-9-15,17675476.25,19516.0,4,70701905.0,78064.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",27045434.0,19799.0,1366.0,15874068.0,19218.0,826.0,8571139.0,20359.0,421.0,19211264.000000004,18688.0,1028.0,-0.013208373428513887,-0.013222095815952462
2019-8-15,17912065.5,19777.5,4,71648262.0,79110.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",27408790.0,20065.0,1366.0,16086350.0,19475.0,826.0,8686914.0,20634.0,421.0,19466208.0,18936.0,1028.0,-0.0033518791814506343,-0.0033636947730451006
2019-7-15,17972306.5,19844.25,4,71889226.0,79377.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",27503044.0,20134.0,1366.0,16140040.0,19540.0,826.0,8717226.0,20706.0,421.0,19528916.0,18997.0,1028.0,0.022960829996864218,0.022952214031651152
2019-6-15,17568909.75,19399.0,4,70275639.0,77596.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",26886977.999999996,19683.0,1366.0,15777426.0,19101.0,826.0,8522303.0,20243.0,421.0,19088932.0,18569.0,1028.0,-0.027716826065469102,-0.027021604744768113
2019-5-15,18069745.75,19937.75,4,72278983.0,79751.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",27755754.000000004,20319.0,1366.0,16178036.0,19586.0,826.0,8750485.0,20785.0,421.0,19594708.0,19061.0,1028.0,0.012242026776811299,0.014037407656998901
2019-4-15,17851210.75,19661.75,4,71404843.0,78647.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",27654670.0,20245.0,1366.0,15898022.0,19247.0,826.0,8599767.0,20427.0,421.0,19252384.0,18728.0,1028.0,0.013547097020424781,0.013492268041237043
2019-3-15,17612611.0,19400.0,4,70450444.0,77600.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",27273556.0,19966.0,1366.0,15711346.0,19021.0,826.0,8481466.0,20146.0,421.0,18984076.0,18467.0,1028.0,0.04909888855486044,0.04893214382265487
2019-2-15,16788323.0,18495.0,4,67153292.0,73980.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",26004541.999999996,19037.0,1366.0,14951426.000000002,18101.0,826.0,8098356.0,19236.0,421.0,18098968.0,17606.0,1028.0,-0.014643022154023577,-0.014677286167123937
2019-1-15,17037808.0,18770.5,4,68151232.0,75082.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",26391120.0,19320.0,1366.0,15174446.0,18371.0,826.0,8220446.0,19526.0,421.0,18365220.0,17865.0,1028.0,-0.00593845859475961,-0.007482021996615851
2018-12-15,17139590.75,18912.0,4,68558363.0,75648.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",26514060.0,19410.0,1366.0,15246308.0,18458.0,826.0,8350535.0,19835.0,421.0,18447460.0,17945.0,1028.0,-0.03135474715890241,-0.03140804855251533
2018-11-15,17694394.0,19525.25,4,70777576.0,78101.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",27359614.0,20029.0,1366.0,15767514.0,19089.0,826.0,8617028.0,20468.0,421.0,19033420.000000004,18515.0,1028.0,-0.0070037673698568614,-0.0069550401790254845
2018-10-15,17819195.5,19662.0,4,71276782.0,78648.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",27567246.0,20181.0,1366.0,15853418.0,19193.0,826.0,8681862.0,20622.0,421.0,19174256.0,18652.0,1028.0,0.022816527790967323,0.3550888195868296
2018-9-15,17421692.958447874,14509.75,4,69686771.8337915,58039.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",23948008.322838973,12962.0,1366.0,16464017.33866163,14737.0,826.0,8954048.324105999,15725.0,421.0,20320697.84818489,14615.0,1028.0,0.005922792902456342,-0.04407477559087536
2018-8-15,17319115.42453462,15178.75,4,69276461.69813848,60715.0,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",24158182.775245972,13797.0,1366.0,16240746.73526038,15339.0,826.0,8832427.4199333,16367.0,421.0,20045104.76769882,15212.0,1028.0,,
2018-7-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2018-6-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2018-5-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2018-4-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2018-3-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2018-2-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2018-1-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2017-12-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2017-11-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2017-10-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2017-9-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2017-8-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2017-7-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2017-6-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2017-5-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2017-4-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2017-3-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2017-2-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2017-1-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2016-12-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2016-11-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2016-10-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2016-9-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2016-8-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2016-7-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2016-6-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2016-5-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2016-4-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2016-3-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2016-2-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
2016-1-15,,,4,,,3641,"THE PAVILIA BAY(Block T1A),WING SHUN ST|柏傲灣T1A座,永順街",,,1366.0,,,826.0,,,421.0,,,1028.0,,
