,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,6225543.999999999,15448.0,403.0,6251615.0,23591.0,265.0,6347018.0,22831.0,278.0,6269582.0,22154.0,283.0,,
2019-11-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,7248358.0,17986.0,403.0,7278490.0,27466.0,265.0,7389796.000000001,26582.0,278.0,7299702.0,25794.0,283.0,,
2019-10-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,9965787.0,24729.0,403.0,10007460.0,37764.0,265.0,10160344.0,36548.0,278.0,10036312.0,35464.0,283.0,,
2019-9-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,7126652.0,17684.0,403.0,7156060.0,27004.0,265.0,7265530.0,26135.0,278.0,7176880.0,25360.0,283.0,,
2019-8-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8051940.0,19980.0,403.0,8085415.000000001,30511.0,265.0,8209340.000000001,29530.0,278.0,8109082.0,28654.0,283.0,,
2019-7-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,9004632.0,22344.0,403.0,9041800.0,34120.0,265.0,9180116.0,33022.0,278.0,9068169.0,32043.0,283.0,,
2019-6-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8178482.0,20294.0,403.0,8212350.0,30990.0,265.0,8338054.0,29993.0,278.0,8236149.0,29103.0,283.0,,
2019-5-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8628633.0,21411.0,403.0,8664440.0,32696.0,265.0,8797032.0,31644.0,278.0,8689515.0,30705.0,283.0,,
2019-4-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8098285.0,20095.0,403.0,8132055.0,30687.0,265.0,8256600.0,29700.0,278.0,8156060.0,28820.0,283.0,,
2019-3-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,9243611.0,22937.0,403.0,9423135.0,35559.0,265.0,9567370.0,34415.0,278.0,9450785.0,33395.0,283.0,,
2019-2-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,7567131.0,18777.0,403.0,7713885.0,29109.0,265.0,7832094.0,28173.0,278.0,7736654.0,27338.0,283.0,,
