,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_3,npsf_3,nfa_3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B4,npsf_B4,nfa_B4,lumpSum_change,npsf_change
2019-12-15,69721155.0,46397.4,5,348605775,231987,7513,"GOODVIEW GDN(Block B),STUBBS RD|豐景台B座,司徒拔道",67283055.0,45927.0,1465.0,71198568.0,47089.0,1512.0,70330680.0,46515.0,1512.0,69972336.0,46278.0,1512.0,69821136.0,46178.0,1512.0,-0.0637077627331889,-0.06370776358910613
2019-11-15,74465164.0,49554.4,5,372325820,247772,7513,"GOODVIEW GDN(Block B),STUBBS RD|豐景台B座,司徒拔道",71861180.0,49052.0,1465.0,76043016.0,50293.0,1512.0,75116160.0,49680.0,1512.0,74733624.0,49427.0,1512.0,74571840.0,49320.0,1512.0,0.026323762056421174,0.02632374687780903
2019-10-15,72555237.2,48283.4,5,362776186,241417,7513,"GOODVIEW GDN(Block B),STUBBS RD|豐景台B座,司徒拔道",70018210.0,47794.0,1465.0,74092536.0,49003.0,1512.0,73189872.0,48406.0,1512.0,72816408.0,48159.0,1512.0,72659160.0,48055.0,1512.0,-0.011643287594505503,-0.011643283209353816
2019-9-15,73409970.6,48852.2,5,367049853,244261,7513,"GOODVIEW GDN(Block B),STUBBS RD|豐景台B座,司徒拔道",70843005.0,48357.0,1465.0,74964960.0,49580.0,1512.0,74051712.0,48976.0,1512.0,73675224.0,48727.0,1512.0,73514952.0,48621.0,1512.0,-0.039484531375646226,-0.03948454986590755
2019-8-15,76427681.8,50860.4,5,382138409,254302,7513,"GOODVIEW GDN(Block B),STUBBS RD|豐景台B座,司徒拔道",73755425.0,50345.0,1465.0,78046416.0,51618.0,1512.0,77095368.0,50989.0,1512.0,76703760.0,50730.0,1512.0,76537440.0,50620.0,1512.0,0.008966686838251414,0.008966759508335809
2019-7-15,75748469.0,50408.4,5,378742345,252042,7513,"GOODVIEW GDN(Block B),STUBBS RD|豐景台B座,司徒拔道",73099105.0,49897.0,1465.0,77353920.0,51160.0,1512.0,76410432.0,50536.0,1512.0,76021848.0,50279.0,1512.0,75857040.0,50170.0,1512.0,0.0049201353595744735,0.0049200982424804085
2019-6-15,75377601.0,50161.6,5,376888005,250808,7513,"GOODVIEW GDN(Block B),STUBBS RD|豐景台B座,司徒拔道",72741645.0,49653.0,1465.0,76974408.0,50909.0,1512.0,76036968.0,50289.0,1512.0,75649896.0,50033.0,1512.0,75485088.0,49924.0,1512.0,-0.008370083306089238,-0.008370070178906786
2019-5-15,76013843.2,50585.0,5,380069216,252925,7513,"GOODVIEW GDN(Block B),STUBBS RD|豐景台B座,司徒拔道",73355480.0,50072.0,1465.0,77624568.0,51339.0,1512.0,76678056.0,50713.0,1512.0,76287960.0,50455.0,1512.0,76123152.0,50346.0,1512.0,0.039615769342038254,0.039615762453398595
2019-4-15,73117247.2,48657.4,5,365586236,243287,7513,"GOODVIEW GDN(Block B),STUBBS RD|豐景台B座,司徒拔道",70560260.0,48164.0,1465.0,74667096.0,49383.0,1512.0,73756872.0,48781.0,1512.0,73380384.0,48532.0,1512.0,73221624.0,48427.0,1512.0,,
2019-3-15,,,5,,,7513,"GOODVIEW GDN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,1465.0,,,1512.0,,,1512.0,,,1512.0,,,1512.0,,
2019-2-15,,,5,,,7513,"GOODVIEW GDN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,1465.0,,,1512.0,,,1512.0,,,1512.0,,,1512.0,,
2019-1-15,,,5,,,7513,"GOODVIEW GDN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,1465.0,,,1512.0,,,1512.0,,,1512.0,,,1512.0,,
2018-12-15,,,5,,,7513,"GOODVIEW GDN(Block B),STUBBS RD|豐景台B座,司徒拔道",,,1465.0,,,1512.0,,,1512.0,,,1512.0,,,1512.0,,
