,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_E,npsf_E,nfa_E,lumpSum_K,npsf_K,nfa_K,lumpSum_change,npsf_change
2019-12-15,8061848.0,16162.0,2,16123696.0,32324.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9305456.0,15934.0,584.0,6818239.999999999,16390.0,416.0,-0.04990866600513355,-0.04990888248780201
2019-11-15,8485340.0,17011.0,2,16970680.0,34022.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9794264.0,16771.0,584.0,7176415.999999999,17251.0,416.0,0.04743628484977758,0.04744312059357769
2019-10-15,8101056.0,16240.5,2,16202112.0,32481.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9351008.0,16012.0,584.0,6851104.0,16469.0,416.0,-0.01712693910135865,-0.017127121977789206
2019-9-15,8242220.0,16523.5,2,16484440.0,33047.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9513944.0,16291.0,584.0,6970496.0,16756.0,416.0,-0.037738060658476846,-0.03773694784963455
2019-8-15,8565464.0,17171.5,2,17130928.0,34343.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9887120.0,16930.0,584.0,7243808.0,17413.0,416.0,0.003975362970471519,0.0039757944280409685
2019-7-15,8531548.0,17103.5,2,17063096.0,34207.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9847992.000000002,16863.0,584.0,7215103.999999999,17344.0,416.0,0.004666080384139182,0.004669877819548862
2019-6-15,8491924.0,17024.0,2,16983848.0,34048.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9802440.0,16785.0,584.0,7181408.0,17263.0,416.0,-0.01149479342244708,-0.011496922540936039
2019-5-15,8590672.0,17222.0,2,17181344.0,34444.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9916320.0,16980.0,584.0,7265024.0,17464.0,416.0,0.024690362556949896,0.024692092580472336
2019-4-15,8383676.0,16807.0,2,16767352.0,33614.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9677464.0,16571.0,584.0,7089887.999999999,17043.0,416.0,0.035168952423850985,0.03516876077851694
2019-3-15,8098848.0,16236.0,2,16197696.0,32472.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9348672.0,16008.0,584.0,6849024.0,16464.0,416.0,-0.0033482417546716325,-0.003345508118228424
2019-2-15,8126056.0,16290.5,2,16252112.0,32581.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9380208.0,16062.0,584.0,6871903.999999999,16519.0,416.0,0.018954990236858427,0.018952306489444792
2019-1-15,7974892.0,15987.5,2,15949784.0,31975.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9205592.0,15763.0,584.0,6744192.0,16212.0,416.0,0.042864876881432146,0.043468328818979884
