,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B
2018-1-15,30138688.0,22525.0,2,60277376,45050,2676,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",30341855.0,22559.0,1345.0,29935521.0,22491.0,1331.0
2018-2-15,30774245.0,23000.0,2,61548490,46000,2676,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",30982075.0,23035.0,1345.0,30566415.0,22965.0,1331.0
2018-3-15,32250073.0,24103.0,2,64500146,48206,2676,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",32468300.0,24140.0,1345.0,32031846.0,24066.0,1331.0
2018-4-15,31581066.0,23603.0,2,63162132,47206,2676,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",31794455.0,23639.0,1345.0,31367677.0,23567.0,1331.0
2018-5-15,31686768.0,23682.0,2,63373536,47364,2676,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",31900710.0,23718.0,1345.0,31472826.0,23646.0,1331.0
2018-6-15,33630896.0,25135.0,2,67261792,50270,2676,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",33857685.0,25173.0,1345.0,33404107.0,25097.0,1331.0
2018-7-15,32818057.5,24527.5,2,65636115,49055,2676,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",33039925.0,24565.0,1345.0,32596190.0,24490.0,1331.0
2018-8-15,30532067.0,22819.0,2,61064134,45638,2676,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",30738630.0,22854.0,1345.0,30325504.0,22784.0,1331.0
2018-9-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2018-10-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2018-11-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2018-12-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2019-1-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2019-2-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2019-3-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2019-4-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2019-5-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2019-6-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2019-7-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2019-8-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2019-9-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2019-10-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2019-11-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
2019-12-15,,,2,,,,"THE GRAND PANORAMA(Block 5),ROBINSON RD|嘉兆臺5座,羅便臣道",,,,,,
