,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,14383752.333333334,12420.333333333334,3,43151257.0,37261.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14455008.0,11364.0,1272.0,15992074.0,12622.0,1267.0,12704175.0,13275.0,957.0,-0.000427082017305902,-0.000429219089518873
2019-11-15,14389898.0,12425.666666666666,3,43169694.0,37277.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14461368.0,11369.0,1272.0,15998409.0,12627.0,1267.0,12709917.0,13281.0,957.0,0.0200592035499918,0.020058012259194236
2019-10-15,14106924.333333334,12181.333333333334,3,42320773.0,36544.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14176440.0,11145.0,1272.0,15684193.0,12379.0,1267.0,12460140.0,13020.0,957.0,0.01070243156902917,0.010703321625134876
2019-9-15,13957544.666666666,12052.333333333334,3,41872634.0,36157.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14026344.0,11027.0,1272.0,15518216.0,12248.0,1267.0,12328073.999999998,12882.0,957.0,-0.05405170458106123,-0.05405122570180254
2019-8-15,14755082.0,12741.0,3,44265246.0,38223.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14827704.0,11657.0,1272.0,16405116.0,12948.0,1267.0,13032426.0,13618.0,957.0,0.041044145600309445,0.04104477611940305
2019-7-15,14173349.0,12238.666666666666,3,42520047.0,36716.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14242584.0,11197.0,1272.0,15758946.0,12438.0,1267.0,12518517.0,13081.0,957.0,-0.0442501358266959,-0.044252394835485265
2019-6-15,14829559.0,12805.333333333334,3,44488677.0,38416.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14901480.0,11715.0,1272.0,16488738.0,13014.0,1267.0,13098459.0,13687.0,957.0,0.002370409524086403,0.002374429223744423
2019-5-15,14794490.0,12775.0,3,44383470.0,38325.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14865864.000000002,11687.0,1272.0,16450728.0,12984.0,1267.0,13066878.0,13654.0,957.0,-0.003766782484500797,-0.0037691707824278886
2019-4-15,14850428.333333334,12823.333333333334,3,44551285.0,38470.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14921832.0,11731.0,1272.0,16512811.0,13033.0,1267.0,13116642.0,13706.0,957.0,0.06051030617275388,0.060509993108201376
2019-3-15,14003096.666666666,12091.666666666666,3,42009290.0,36275.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14069592.0,11061.0,1272.0,15571430.0,12290.0,1267.0,12368268.0,12924.0,957.0,0.038417370798957906,0.03841639710302558
2019-2-15,13485037.0,11644.333333333334,3,40455111.0,34933.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",13549344.0,10652.0,1272.0,14994945.0,11835.0,1267.0,11910822.0,12446.0,957.0,0.009045114955501754,0.009041016753321918
2019-1-15,13364156.666666666,11540.0,3,40092470.0,34620.0,3496,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",13427232.0,10556.0,1272.0,14860643.0,11729.0,1267.0,11804595.0,12335.0,957.0,0.07828945363677309,0.07629173661630295
