,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_change,npsf_change
2019-12-15,8868562.5,18707.785714285714,14,124159875.0,261909.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",10167980.0,17531.0,580.0,7832325.0,18429.0,425.0,10484789.0,17801.0,589.0,9976351.0,17171.0,581.0,7771072.0,18328.0,424.0,10059117.0,20487.0,491.0,10575670.0,21583.0,490.0,10245426.0,18903.0,542.0,7238620.0,19049.0,380.0,7813673.0,18299.0,427.0,6839707.0,16723.0,409.0,7800841.0,19951.0,391.0,7581024.0,19144.0,396.0,9773280.0,18510.0,528.0,0.16912359738337135,0.1691009079303294
2019-11-15,7585650.071428572,16001.857142857143,14,106199101.0,224026.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8698840.0,14998.0,580.0,6700125.0,15765.0,425.0,8968703.0,15227.0,589.0,8529080.0,14680.0,581.0,6648320.0,15680.0,424.0,8601338.0,17518.0,491.0,9044910.0,18459.0,490.0,8759804.0,16162.0,542.0,6192100.0,16295.0,380.0,6684258.0,15654.0,427.0,5848700.0,14300.0,409.0,6673979.0,17069.0,391.0,6488064.000000001,16384.0,396.0,8360880.0,15835.0,528.0,0.027652355928451833,0.027844941892207986
2019-10-15,7381533.285714285,15568.357142857143,14,103341466.0,217957.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8476120.0,14614.0,580.0,6528850.0,15362.0,425.0,8737815.0,14835.0,589.0,8305976.0,14296.0,581.0,6478720.0,15280.0,424.0,8380388.0,17068.0,491.0,8812160.0,17984.0,490.0,8534332.0,15746.0,542.0,6033260.0,15877.0,380.0,6512604.0,15252.0,427.0,5565263.0,13607.0,409.0,6503894.0,16634.0,391.0,6324516.000000001,15971.0,396.0,8147568.0,15431.0,528.0,0.04355338640993667,0.04352051784149724
2019-9-15,7073460.142857143,14919.07142857143,14,99028442.0,208867.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8120000.0,14000.0,580.0,6255149.999999999,14718.0,425.0,8371457.0,14213.0,589.0,7952728.0,13688.0,581.0,6206936.0,14639.0,424.0,8031287.0,16357.0,491.0,8443680.0,17232.0,490.0,8179321.999999999,15091.0,542.0,5779800.0,15210.0,380.0,6260674.0,14662.0,427.0,5330497.0,13033.0,409.0,6231367.0,15937.0,391.0,6061176.0,15306.0,396.0,7804368.0,14781.0,528.0,1.098693465939447,1.0992713201668427
2019-8-15,3370411.285714286,7106.785714285715,14,47185758.0,99495.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",3844240.0,6628.0,580.0,3064250.0,7210.0,425.0,3962792.0,6728.0,589.0,3762556.0,6476.0,581.0,2938320.0,6930.0,424.0,3803286.0,7746.0,491.0,3997910.0,8159.0,490.0,4075298.0,7519.0,542.0,2736000.0,7200.0,380.0,2963807.0,6941.0,427.0,2522712.0,6168.0,409.0,2950095.0,7545.0,391.0,2870604.0,7249.0,396.0,3693888.0,6996.0,528.0,-0.5220253578871974,-0.5217851049001465
2019-7-15,7051443.714285715,14861.07142857143,14,98720212.0,208055.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8077080.0,13926.0,580.0,6097050.0,14346.0,425.0,8326693.0,14137.0,589.0,7901599.999999999,13600.0,581.0,6085248.000000001,14352.0,424.0,7993971.0,16281.0,491.0,8401050.0,17145.0,490.0,8567394.0,15807.0,542.0,5748640.0,15128.0,380.0,6228222.0,14586.0,427.0,5299822.0,12958.0,409.0,6198914.0,15854.0,391.0,6033456.0,15236.0,396.0,7761072.000000001,14699.0,528.0,-0.23733394956288245,-0.23771227581658627
2019-6-15,9245781.57142857,19495.35714285714,14,129440942.0,272935.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",10643580.0,18351.0,580.0,8030800.0,18896.0,425.0,10972481.0,18629.0,589.0,10407453.0,17913.0,581.0,8016143.999999999,18906.0,424.0,10537842.0,21462.0,491.0,11072040.0,22596.0,490.0,11291486.0,20833.0,542.0,7574920.0,19934.0,380.0,8207794.0,19222.0,427.0,6982857.0,17073.0,409.0,8166816.999999999,20887.0,391.0,7950888.0,20078.0,396.0,9585840.0,18155.0,528.0,1.7802989757624088,1.7799733140488287
2019-5-15,3325463.0714285714,7012.785714285715,14,46556483.0,98179.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",3843660.0,6627.0,580.0,2802025.0,6593.0,425.0,3876209.0,6581.0,589.0,3756165.0,6465.0,581.0,2893800.0,6825.0,424.0,3806723.0,7753.0,491.0,3998890.0,8161.0,490.0,4078550.0,7525.0,542.0,2735240.0,7198.0,380.0,2964234.0,6942.0,427.0,2521076.0,6164.0,409.0,2948531.0,7541.0,391.0,2871396.0,7251.0,396.0,3459984.0,6553.0,528.0,-0.625229318863688,-0.6252509676089562
2019-4-15,8873327.714285715,18713.285714285714,14,124226588.0,261986.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",9988180.0,17221.0,580.0,7510175.0,17671.0,425.0,10440614.0,17726.0,589.0,9824710.0,16910.0,581.0,7486568.0,17657.0,424.0,10722949.0,21839.0,491.0,10725610.0,21889.0,490.0,10939186.0,20183.0,542.0,7335520.0,19304.0,380.0,7610848.0,17824.0,427.0,6759952.0,16528.0,409.0,7906020.0,20220.0,391.0,7701408.0,19448.0,396.0,9274848.0,17566.0,528.0,-0.08716811756521803,-0.0879671372125812
2019-3-15,9720659.285714285,20518.214285714286,14,136089230.0,287255.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",11236340.0,19373.0,580.0,8445600.0,19872.0,425.0,11747016.0,19944.0,589.0,11047715.0,19015.0,581.0,8418096.0,19854.0,424.0,11495783.0,23413.0,491.0,8976800.0,18320.0,490.0,12310988.0,22714.0,542.0,8253220.000000001,21719.0,380.0,8562204.0,20052.0,427.0,7604946.0,18594.0,409.0,8893686.0,22746.0,391.0,8665668.0,21883.0,396.0,10431168.0,19756.0,528.0,0.35278784272935737,0.35143209318955937
2019-2-15,7185649.5,15182.57142857143,14,100599093.0,212556.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8544560.0,14732.0,580.0,6420900.0,15108.0,425.0,8934541.0,15169.0,589.0,8398355.0,14455.0,581.0,6399432.0,15093.0,424.0,6515079.0,13269.0,491.0,6828150.0,13935.0,490.0,8915358.0,16449.0,542.0,6277220.0,16519.0,380.0,6511750.0,15250.0,427.0,5567717.0,13613.0,409.0,6763127.0,17297.0,391.0,6591816.0,16646.0,396.0,7931088.0,15021.0,528.0,-0.14334844948077596,-0.1454691645895313
