,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6753866.875,13982.25,8,54030935.0,111858.0,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6723000.0,13500.0,498.0,6824246.0,15301.0,446.0,6850298.0,13867.0,494.0,6036768.0,13974.0,432.0,9179211.0,13929.0,659.0,6660758.0,13819.0,482.0,5961977.0,13769.0,433.0,5794677.0,13699.0,423.0,-0.00032043588309071946,-0.0003217330687972364
2019-11-15,6756031.75,13986.75,8,54048254.0,111894.0,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6725490.0,13505.0,498.0,6826476.0,15306.0,446.0,6852274.0,13871.0,494.0,6037632.000000001,13976.0,432.0,9181847.0,13933.0,659.0,6663168.0,13824.0,482.0,5964575.0,13775.0,433.0,5796792.0,13704.0,423.0,0.020127106847582343,0.020130189814561605
2019-10-15,6622735.25,13710.75,8,52981882.0,109686.0,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6592524.0,13238.0,498.0,6691784.0,15004.0,446.0,6716918.0,13597.0,494.0,5917536.0,13698.0,432.0,9001281.0,13659.0,659.0,6531582.0,13551.0,482.0,5848098.0,13506.0,433.0,5682159.0,13433.0,423.0,0.010764430505793898,0.010763191359958624
2019-9-15,6552204.5,13564.75,8,52417636.0,108518.0,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6522306.0,13097.0,498.0,6620424.0,14844.0,446.0,6645782.0,13453.0,494.0,5853168.0,13549.0,432.0,8905067.0,13513.0,659.0,6462174.0,13407.0,482.0,5787045.0,13365.0,433.0,5621670.0,13290.0,423.0,-0.05395551960993916,-0.05395485890137486
2019-8-15,6925894.75,14338.375,8,55407158.0,114707.0,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6894312.0,13844.0,498.0,6998186.0,15691.0,446.0,7024680.0,14220.0,494.0,6185808.0,14319.0,432.0,9413156.0,14284.0,659.0,6830422.0,14171.0,482.0,6118290.0,14130.0,433.0,5942304.0,14048.0,423.0,0.0411154400134357,0.04111565934813988
2019-7-15,6652379.25,13772.125,8,53219034.0,110177.0,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6621906.0,13297.0,498.0,6721666.0,15071.0,446.0,6747052.0,13658.0,494.0,5940431.999999999,13751.0,432.0,9041480.0,13720.0,659.0,6560984.0,13612.0,482.0,5877975.0,13575.0,433.0,5707539.0,13493.0,423.0,-0.044166591173255276,-0.04416663774855123
2019-6-15,6959768.5,14408.5,8,55678148.0,115268.0,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6928176.0,13912.0,498.0,7032528.0,15768.0,446.0,7058766.0,14289.0,494.0,6213456.0,14383.0,432.0,9459286.0,14354.0,659.0,6863680.0,14240.0,482.0,6150765.0,14205.0,433.0,5971491.0,14117.0,423.0,0.0024512260109024187,0.0024524724749099835
2019-5-15,6942750.25,14373.25,8,55542002.0,114986.0,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6911244.0,13878.0,498.0,7015134.000000001,15729.0,446.0,7041476.0,14254.0,494.0,6197040.0,14345.0,432.0,9436221.0,14319.0,659.0,6847292.0,14206.0,482.0,6136909.0,14173.0,433.0,5956686.0,14082.0,423.0,-0.003682385608554717,-0.003682491270329491
2019-4-15,6968410.625,14426.375,8,55747285.0,115411.0,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",6936642.0,13929.0,498.0,7041002.0,15787.0,446.0,7067658.0,14307.0,494.0,6218640.0,14395.0,432.0,9471148.0,14372.0,659.0,6872356.0,14258.0,482.0,6161157.0,14229.0,433.0,5978682.0,14134.0,423.0,,
2019-3-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2019-2-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2019-1-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2018-12-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
2018-11-15,,,8,,,3867,"WETLAND SEASONS PARK(Phase 3),Block 7,WETLAND PARK RD|WETLAND SEASONS PARK3期,7座,濕地公園路",,,498.0,,,446.0,,,494.0,,,432.0,,,659.0,,,482.0,,,433.0,,,423.0,,
