,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2016-1-15,9533426.25,13036.0,4,38133705.0,52144,2925.0,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",10013085.0,13089.0,765.0,9585870.0,13042.0,735.0,9443850.0,13026.0,725.0,9090900.0,12987.0,700.0,0.029577984237350696,0.029577854124708702
2016-2-15,9259547.5,12661.5,4,37038190.0,50646,2925.0,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",9725445.0,12713.0,765.0,9310245.0,12667.0,735.0,9172700.0,12652.0,725.0,8829800.0,12614.0,700.0,-0.0022849706576903994,-0.00228517394901695
2016-3-15,9280753.75,12690.5,4,37123015.0,50762,2925.0,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",9747630.0,12742.0,765.0,9331560.0,12696.0,735.0,9193725.0,12681.0,725.0,8850100.0,12643.0,700.0,0.006444026181143814,0.006443682217419644
2016-4-15,9221331.25,12609.25,4,36885325.0,50437,2925.0,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",9684900.0,12660.0,765.0,9272025.0,12615.0,735.0,9135000.0,12600.0,725.0,8793400.0,12562.0,700.0,-0.011989152199875064,-0.011988481654880645
2016-5-15,9333228.75,12762.25,4,37332915.0,51049,2925.0,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",9802710.0,12814.0,765.0,9384480.0,12768.0,735.0,9245925.0,12753.0,725.0,8899800.0,12714.0,700.0,0.0035982087184180944,0.003597688043093683
2016-6-15,9299766.25,12716.5,4,37199065.0,50866,2925.0,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",9767520.0,12768.0,765.0,9350670.0,12722.0,735.0,9212575.0,12707.0,725.0,8868300.0,12669.0,700.0,-0.014606442596137525,-0.014606741573033655
2016-7-15,9437616.25,12905.0,4,37750465.0,51620,2925.0,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",9912105.0,12957.0,765.0,9489585.0,12911.0,735.0,9348875.0,12895.0,725.0,8999900.0,12857.0,700.0,,
2016-8-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2016-9-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2016-10-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2016-11-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2016-12-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2017-1-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2017-2-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2017-3-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2017-4-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2017-5-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2017-6-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2017-7-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2017-8-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2017-9-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2017-10-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2017-11-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2017-12-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2018-1-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2018-2-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2018-3-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2018-4-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2018-5-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2018-6-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2018-7-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2018-8-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2018-9-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2018-10-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2018-11-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2018-12-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2019-1-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2019-2-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2019-3-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2019-4-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2019-5-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2019-6-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2019-7-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2019-8-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2019-9-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2019-10-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2019-11-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2019-12-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2020-1-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2020-2-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2020-3-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2020-4-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2020-5-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2020-6-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2020-7-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2020-8-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2020-9-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2020-10-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2020-11-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2020-12-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2021-1-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2021-2-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2021-3-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2021-4-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
