,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_BC,npsf_BC,nfa_BC,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,23389118.14285714,25525.428571428572,7,163723827.0,178678.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",35242722.0,30726.0,1147.0,22558338.0,25318.0,891.0,51509005.0,35795.0,1439.0,11733776.0,21412.0,548.0,10604208.0,20432.0,519.0,11190900.0,21316.0,525.0,20884878.0,23679.0,882.0,-0.017011717988719033,-0.017037546417273952
2019-11-15,23793893.14285714,25967.85714285714,7,166557252.0,181775.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",35851779.0,31257.0,1147.0,22953051.0,25761.0,891.0,52396868.0,36412.0,1439.0,11941468.0,21791.0,548.0,10791048.0,20792.0,519.0,11380950.0,21678.0,525.0,21242088.0,24084.0,882.0,0.031077757192819133,0.029472563444733257
2019-10-15,23076720.42857143,25224.428571428572,7,161537043.0,176571.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",34915827.0,30441.0,1147.0,22359645.0,25095.0,891.0,50347732.00000001,34988.0,1439.0,11635136.0,21232.0,548.0,10512864.0,20256.0,519.0,11081175.0,21107.0,525.0,20684664.0,23452.0,882.0,-0.0280294798026135,-0.02818506043193969
2019-9-15,23742202.0,25956.0,7,166195414.0,181692.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",35834574.0,31242.0,1147.0,23023440.0,25840.0,891.0,51831341.0,36019.0,1439.0,11983664.0,21868.0,548.0,10826340.0,20860.0,519.0,11404575.0,21723.0,525.0,21291480.0,24140.0,882.0,-0.02948310794432274,-0.028478542172411192
2019-8-15,24463460.85714286,26716.85714285714,7,171244226.0,187018.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",36972398.0,32234.0,1147.0,23760297.0,26667.0,891.0,53477557.0,37163.0,1439.0,12370004.0,22573.0,548.0,10935849.0,21071.0,519.0,11763675.0,22407.0,525.0,21964446.0,24903.0,882.0,0.002296292871194261,0.0022991709050372844
2019-7-15,24407414.285714287,26655.571428571428,7,170851900.0,186589.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",36888667.0,32161.0,1147.0,23706837.0,26607.0,891.0,53355242.0,37078.0,1439.0,12347536.0,22532.0,548.0,10908342.0,21018.0,519.0,11733750.0,22350.0,525.0,21911526.0,24843.0,882.0,0.00287142639825011,0.002870119050818243
2019-6-15,24337530.85714286,26579.285714285714,7,170362716.0,186055.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",36783143.0,32069.0,1147.0,23640012.0,26532.0,891.0,53202708.0,36972.0,1439.0,12317944.0,22478.0,548.0,10875126.0,20954.0,519.0,11697525.0,22281.0,525.0,21846258.0,24769.0,882.0,-0.009144180833073334,-0.009144068338197364
2019-5-15,24562131.42857143,26824.571428571428,7,171934920.0,187772.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",37122655.0,32365.0,1147.0,23860089.0,26779.0,891.0,53693407.0,37313.0,1439.0,12437956.0,22697.0,548.0,10972698.0,21142.0,519.0,11802525.0,22481.0,525.0,22045590.0,24995.0,882.0,0.018419798173014312,0.018402312627793904
2019-4-15,24117884.85714286,26339.85714285714,7,168825194.0,184379.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",36451660.0,31780.0,1147.0,23428845.0,26295.0,891.0,52720643.0,36637.0,1439.0,12215468.0,22291.0,548.0,10778073.0,20767.0,519.0,11586225.0,22069.0,525.0,21644280.0,24540.0,882.0,0.04170796446017988,0.0370197472398297
2019-3-15,23152251.57142857,25399.571428571428,7,162065761.0,177797.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",34127838.0,29754.0,1147.0,22859496.0,25656.0,891.0,50223978.0,34902.0,1439.0,11918452.0,21749.0,548.0,10520649.0,20271.0,519.0,11301150.0,21526.0,525.0,21114198.0,23939.0,882.0,0.02851384410640123,0.026683836097380675
2019-2-15,22510393.714285713,24739.428571428572,7,157572756.0,173176.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",33332967.0,29061.0,1147.0,22333806.0,25066.0,891.0,48312986.0,33574.0,1439.0,11643904.0,21248.0,548.0,10283466.0,19814.0,519.0,11039175.000000002,21027.0,525.0,20626452.0,23386.0,882.0,0.02602745260761674,0.02294260803818271
2019-1-15,21939367.85714286,24184.571428571428,7,153575575.0,169292.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",31213311.0,27213.0,1147.0,21971169.0,24659.0,891.0,47501390.0,33010.0,1439.0,11472380.0,20935.0,548.0,10273086.0,19794.0,519.0,10856475.0,20679.0,525.0,20287764.0,23002.0,882.0,0.042718058790040425,0.04266313552797696
2018-12-15,21040556.14285714,23195.0,7,147283893.0,162365.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",29940141.0,26103.0,1147.0,21075714.0,23654.0,891.0,45540033.0,31647.0,1439.0,11000004.0,20073.0,548.0,9858923.999999998,18996.0,519.0,10411275.0,19831.0,525.0,19457802.0,22061.0,882.0,-0.06954960062824223,-0.0730580833742479
2018-11-15,22613302.285714287,25023.14285714286,7,158293116.0,175162.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",32250199.0,28117.0,1147.0,22702680.0,25480.0,891.0,48281328.0,33552.0,1439.0,11843924.0,21613.0,548.0,11045358.0,21282.0,519.0,11212425.0,21357.0,525.0,20957202.0,23761.0,882.0,0.02389002354382108,0.2223873826721101
2018-10-15,22085674.990216825,20470.714285714286,7,154599724.93151778,143295.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",31573733.31201461,23046.0,1147.0,21657537.67297489,20350.0,891.0,47272418.708181076,27503.0,1439.0,11548350.420174124,17643.0,548.0,10982469.109224135,17716.0,519.0,10960814.975725712,17479.0,525.0,20604400.733223245,19558.0,882.0,,
2018-9-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2018-8-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2018-7-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2018-6-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2018-5-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
