,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_change,npsf_change
2019-12-15,5864414.833333333,23932.5,6,35186489,143595,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8548687.0,20699.0,413.0,5851677.0,23691.0,247.0,6192415.0,24095.0,257.0,4898533.0,25381.0,193.0,4894287.0,25359.0,193.0,4800890.0,24370.0,197.0,-0.030547442686315596,-0.03054300933708709
2019-11-15,6049202.5,24686.5,6,36295215,148119,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8818376.0,21352.0,413.0,6035692.0,24436.0,247.0,6387735.0,24855.0,257.0,5052933.0,26181.0,193.0,5048687.0,26159.0,193.0,4951792.0,25136.0,197.0,0.07329422045057687,0.07329497695718956
2019-10-15,5636108.333333333,23000.666666666668,6,33816650,138004,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8216222.0,19894.0,413.0,5623449.0,22767.0,247.0,5951606.0,23158.0,257.0,4708042.0,24394.0,193.0,4704182.0,24374.0,193.0,4613149.0,23417.0,197.0,-0.062317867633804314,-0.062313572277900464
2019-9-15,6010681.166666667,24529.166666666668,6,36064087,147175,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8762621.0,21217.0,413.0,5996666.0,24278.0,247.0,6347386.0,24698.0,257.0,5020895.0,26015.0,193.0,5017035.0,25995.0,193.0,4919484.0,24972.0,197.0,-0.041723916022545215,-0.04172336782065722
2019-8-15,6272389.833333333,25597.166666666668,6,37634339,153583,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",9144233.0,22141.0,413.0,6257498.0,25334.0,247.0,6623918.0,25774.0,257.0,5239564.0,27148.0,193.0,5235897.0,27129.0,193.0,5133229.0,26057.0,197.0,0.024452213317045723,0.024453530953794322
2019-7-15,6122676.833333333,24986.166666666668,6,36736061,149917,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8926169.0,21613.0,413.0,6107816.0,24728.0,247.0,6465863.0,25159.0,257.0,5114693.0,26501.0,193.0,5111219.0,26483.0,193.0,5010301.0,25433.0,197.0,0.006277720630255779,0.006282680341788582
2019-6-15,6084480.166666667,24830.166666666668,6,36506881,148981,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8870827.0,21479.0,413.0,6069284.0,24572.0,247.0,6425771.0,25003.0,257.0,5082848.0,26336.0,193.0,5079567.0,26319.0,193.0,4978584.0,25272.0,197.0,0.0006825835846242523,0.0006851201311131039
2019-5-15,6080329.833333333,24813.166666666668,6,36481979,148879,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8865045.0,21465.0,413.0,6064838.0,24554.0,247.0,6421402.0,24986.0,257.0,5079374.0,26318.0,193.0,5076479.0,26303.0,193.0,4974841.0,25253.0,197.0,-0.005464469105903591,-0.005464371363487541
2019-4-15,6113738.166666667,24949.5,6,36682429,149697,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8913779.0,21583.0,413.0,6097936.0,24688.0,247.0,6456868.0,25124.0,257.0,5107359.0,26463.0,193.0,5104657.0,26449.0,193.0,5001830.0,25390.0,197.0,0.049196566860300495,0.049202043777203164
2019-3-15,5827066.5,23779.5,6,34962399,142677,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8496236.0,20572.0,413.0,5811663.0,23529.0,247.0,6154122.0,23946.0,257.0,4868039.0,25223.0,193.0,4865530.0,25210.0,193.0,4766809.0,24197.0,197.0,-0.0200502021638419,-0.02127878501018665
2019-2-15,5946290.833333333,24296.5,6,35677745,145779,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8586683.0,20791.0,413.0,5948501.0,24083.0,247.0,6299841.0,24513.0,257.0,4983067.0,25819.0,193.0,4980751.0,25807.0,193.0,4878902.0,24766.0,197.0,0.060977846256674795,0.06455429059654283
