,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,14397729.666666666,22451.333333333332,6,86386378.0,134708.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",21663008.0,22472.0,964.0,9948922.0,22307.0,446.0,7816718.0,20734.0,377.0,18264402.0,22802.0,801.0,14642808.0,23169.0,632.0,14050520.0,23224.0,605.0,-0.016863719079500017,-0.01691649759899594
2019-11-15,14644693.666666666,22837.666666666668,6,87868162.0,137026.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",22038004.0,22861.0,964.0,10123308.0,22698.0,446.0,7951684.0,21092.0,377.0,18560772.0,23172.0,801.0,14900664.0,23577.0,632.0,14293730.0,23626.0,605.0,0.026899821939535995,0.026842720541950138
2019-10-15,14261073.333333334,22240.666666666668,6,85566440.0,133444.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",21463460.0,22265.0,964.0,9861952.0,22112.0,446.0,7743957.0,20541.0,377.0,18057744.0,22544.0,801.0,14517672.000000002,22971.0,632.0,13921655.0,23011.0,605.0,-0.020835881855964522,-0.022431248443291807
2019-9-15,14564538.333333334,22751.0,6,87387230.0,136506.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",22095844.0,22921.0,964.0,10154974.0,22769.0,446.0,7972042.0,21146.0,377.0,17880723.0,22323.0,801.0,14950592.0,23656.0,632.0,14333055.0,23691.0,605.0,-0.03077822003227426,-0.030813796628942236
2019-8-15,15027044.0,23474.333333333332,6,90162264.0,140846.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",22798600.0,23650.0,964.0,10480554.0,23499.0,446.0,8225386.0,21818.0,377.0,18438219.0,23019.0,801.0,15430280.0,24415.0,632.0,14789225.0,24445.0,605.0,-0.001715033978979874,-0.00180014174344445
2019-7-15,15052860.166666666,23516.666666666668,6,90317161.0,141100.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",22747508.0,23597.0,964.0,10459592.0,23452.0,446.0,8206536.0,21768.0,377.0,18386154.0,22954.0,801.0,15760816.0,24938.0,632.0,14756555.0,24391.0,605.0,0.004514562921608123,0.004577913525135813
2019-6-15,14985208.5,23409.5,6,89911251.0,140457.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",22683884.0,23531.0,964.0,10432386.0,23391.0,446.0,8183162.0,21706.0,377.0,18324477.0,22877.0,801.0,15715312.0,24866.0,632.0,14572030.0,24086.0,605.0,-0.009187932206961014,-0.009226536874404778
2019-5-15,15124168.333333334,23627.5,6,90745010.0,141765.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",22894036.0,23749.0,964.0,10531844.0,23614.0,446.0,8258562.0,21906.0,377.0,18483876.0,23076.0,801.0,15860672.0,25096.0,632.0,14716020.0,24324.0,605.0,0.018366849264552787,0.018324306463430418
2019-4-15,14851395.0,23202.333333333332,6,89108370.0,139214.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",22480480.0,23320.0,964.0,10344524.0,23194.0,446.0,8109270.0,21510.0,377.0,18140247.0,22647.0,801.0,15573744.0,24642.0,632.0,14460104.999999998,23901.0,605.0,0.023543316781401202,0.022594720063464857
2019-3-15,14509786.5,22689.666666666668,6,87058719.0,136138.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",21932928.0,22752.0,964.0,10274502.0,23037.0,446.0,7911722.0,20986.0,377.0,17689284.0,22084.0,801.0,15132608.0,23944.0,632.0,14117675.0,23335.0,605.0,0.02350128010669028,0.023455472191733495
2019-2-15,14176617.833333334,22169.666666666668,6,85059707.0,133018.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",21428756.0,22229.0,964.0,10042582.0,22517.0,446.0,7729631.0,20503.0,377.0,17274366.0,21566.0,801.0,14783112.0,23391.0,632.0,13801260.0,22812.0,605.0,0.016505714793064064,0.016459836165790387
