,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,11683799.666666666,13972.0,3,35051399.0,41916.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",12977708.0,14549.0,892.0,9369780.0,12748.0,735.0,12703911.0,14619.0,869.0,-0.04995976787635348,-0.04995466908431545
2019-11-15,12298215.666666666,14706.666666666666,3,36894647.0,44120.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",13660980.0,15315.0,892.0,9861495.0,13417.0,735.0,13372172.0,15388.0,869.0,0.04552256451696812,0.04552240574421185
2019-10-15,11762745.333333334,14066.333333333334,3,35288236.0,42199.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",13066908.0,14649.0,892.0,9432255.0,12833.0,735.0,12789073.0,14717.0,869.0,-0.05820594235836163,-0.05820519115316791
2019-9-15,12489721.333333334,14935.666666666666,3,37469164.0,44807.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",13875060.0,15555.0,892.0,10015110.0,13626.0,735.0,13578994.0,15626.0,869.0,0.038594097505067815,0.03859348198970847
2019-8-15,12025604.0,14380.666666666666,3,36076812.0,43142.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",13360376.0,14978.0,892.0,9643200.0,13120.0,735.0,13073236.0,15044.0,869.0,-0.03366597571785512,-0.033665584051965514
2019-7-15,12444562.333333334,14881.666666666666,3,37333687.0,44645.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",13826000.0,15500.0,892.0,9979095.0,13577.0,735.0,13528592.0,15568.0,869.0,0.07350444371996367,0.07350678080215456
2019-6-15,11592464.666666666,13862.666666666666,3,34777394.0,41588.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",12880480.0,14440.0,892.0,9295545.0,12647.0,735.0,12601369.0,14501.0,869.0,-0.07693027599357938,-0.07692990633462071
2019-5-15,12558601.333333334,15018.0,3,37675804.0,45054.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",13954448.0,15644.0,892.0,10070235.0,13701.0,735.0,13651121.0,15709.0,869.0,0.0422884830285859,0.042289362883449755
2019-4-15,12049064.666666666,14408.666666666666,3,36147194.0,43226.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",13388920.0,15010.0,892.0,9661575.0,13145.0,735.0,13096699.0,15071.0,869.0,0.03359599289334003,0.03359556203821046
2019-3-15,11657422.0,13940.333333333334,3,34972266.0,41821.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",12954516.0,14523.0,892.0,9347730.0,12718.0,735.0,12670020.0,14580.0,869.0,0.02779477188181545,0.027795527156549538
2019-2-15,11342169.0,13563.333333333334,3,34026507.0,40690.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",12604852.0,14131.0,892.0,9094890.0,12374.0,735.0,12326765.0,14185.0,869.0,0.03713671989931999,0.03713710396859793
