,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_change,npsf_change
2019-12-15,5651638.7272727275,13162.09090909091,11,62168026.0,144783.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5915250.000000001,11950.0,495.0,5710298.0,13661.0,418.0,5454945.0,13469.0,405.0,5669892.0,13404.0,423.0,5525850.0,13002.0,425.0,5613220.0,13054.0,430.0,5927764.0,12172.0,487.0,5651152.0,13988.0,404.0,6180355.0,12743.0,485.0,4548354.0,14303.0,318.0,5970946.0,13037.0,458.0,-0.00033862855515554013,-0.0003383230225363354
2019-11-15,5653553.181818182,13166.545454545454,11,62189085.0,144832.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5916735.0,11953.0,495.0,5711970.0,13665.0,418.0,5457375.0,13475.0,405.0,5671584.0,13408.0,423.0,5527550.0,13006.0,425.0,5614080.0,13056.0,430.0,5930686.0,12178.0,487.0,5653172.0,13993.0,404.0,6182295.0,12747.0,485.0,4549944.0,14308.0,318.0,5973694.0,13043.0,458.0,0.020076078225944816,0.0200801515695761
2019-10-15,5542285.818181818,12907.363636363636,11,60965144.0,141981.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5800410.0,11718.0,495.0,5599528.0,13396.0,418.0,5350860.0,13212.0,405.0,5559912.0,13144.0,423.0,5418750.0,12750.0,425.0,5502280.0,12796.0,430.0,5814780.0,11940.0,487.0,5541668.0,13717.0,404.0,6060560.0,12496.0,485.0,4459950.0,14025.0,318.0,5856446.0,12787.0,458.0,0.010733076262511076,0.01073515906971445
2019-9-15,5483431.7272727275,12770.272727272728,11,60317749.0,140473.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5738535.0,11593.0,495.0,5539754.0,13253.0,418.0,5294565.0,13073.0,405.0,5500691.999999999,13004.0,423.0,5360950.0,12614.0,425.0,5442940.0,12658.0,430.0,5753905.0,11815.0,487.0,5482684.0,13571.0,404.0,5996540.000000001,12364.0,485.0,4412568.0,13876.0,318.0,5794616.0,12652.0,458.0,-0.05399631992089904,-0.05399653851075148
2019-8-15,5796416.909090909,13499.181818181818,11,63760586.0,148491.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",6065730.0,12254.0,495.0,5855762.0,14009.0,418.0,5597910.0,13822.0,405.0,5814558.0,13746.0,423.0,5666950.0,13334.0,425.0,5752540.0,13378.0,430.0,6083117.0,12491.0,487.0,5795380.0,14345.0,404.0,6338465.0,13069.0,485.0,4664424.0,14668.0,318.0,6125750.0,13375.0,458.0,0.04110564403230299,0.041106935524581445
2019-7-15,5567558.818181818,12966.181818181818,11,61243147.0,142628.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5826150.0,11770.0,495.0,5624608.0,13456.0,418.0,5377590.0,13278.0,405.0,5584869.0,13203.0,423.0,5442975.0,12807.0,425.0,5524210.0,12847.0,430.0,5844000.0,12000.0,487.0,5566312.0,13778.0,404.0,6088205.0,12553.0,485.0,4480302.0,14089.0,318.0,5883926.0,12847.0,458.0,-0.044197343067578054,-0.044195599874014
2019-6-15,5825008.7272727275,13565.727272727272,11,64075096.0,149223.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",6095430.0,12314.0,495.0,5884604.0,14078.0,418.0,5627070.0,13894.0,405.0,5842899.0,13813.0,423.0,5694575.0,13399.0,425.0,5778340.0,13438.0,430.0,6114772.0,12556.0,487.0,5823660.0,14415.0,404.0,6369990.0,13134.0,485.0,4687320.0,14740.0,318.0,6156436.0,13442.0,458.0,0.002416026292093143,0.0024183309485903415
2019-5-15,5810969.2727272725,13533.0,11,63920662.0,148863.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",6080580.0,12284.0,495.0,5869974.0,14043.0,418.0,5614515.0,13863.0,405.0,5828517.0,13779.0,423.0,5680550.0,13366.0,425.0,5763290.0,13403.0,430.0,6101136.0,12528.0,487.0,5809520.0,14380.0,404.0,6354470.0,13102.0,485.0,4675872.0,14704.0,318.0,6142238.0,13411.0,458.0,-0.0037041807643455327,-0.0037010761899662903
2019-4-15,5832574.181818182,13583.272727272728,11,64158316.0,149416.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",6102855.0,12329.0,495.0,5891710.0,14095.0,418.0,5635980.0,13916.0,405.0,5850090.0,13830.0,423.0,5701375.0,13415.0,425.0,5783500.0,13450.0,430.0,6124999.0,12577.0,487.0,5830932.0,14433.0,404.0,6378235.0,13151.0,485.0,4693044.0,14758.0,318.0,6165596.0,13462.0,458.0,0.060550580705529544,0.06055293324342559
2019-3-15,5499571.909090909,12807.727272727272,11,60495291.0,140885.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5754375.0,11625.0,495.0,5555220.0,13290.0,418.0,5315220.0,13124.0,405.0,5515920.0,13040.0,423.0,5375825.0,12649.0,425.0,5451969.999999999,12679.0,430.0,5776307.0,11861.0,487.0,5497632.0,13608.0,404.0,6013999.999999999,12400.0,485.0,4424970.0,13915.0,318.0,5813852.0,12694.0,458.0,0.038498416278220926,0.03850009582639213
2019-2-15,5295696.0,12332.90909090909,11,58252656.0,135662.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5541030.0,11194.0,495.0,5349146.000000001,12797.0,418.0,5118795.000000001,12639.0,405.0,5311188.0,12556.0,423.0,5176500.0,12180.0,425.0,5249009.999999999,12207.0,430.0,5563001.0,11423.0,487.0,5293612.0,13103.0,404.0,5790900.0,11940.0,485.0,4260882.0,13399.0,318.0,5598591.999999999,12224.0,458.0,0.009095406703206077,0.009097062608320439
