,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,8507500.6,14944.6,5,42537503.0,74723.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12019135.0,15311.0,785.0,7073621.999999999,13551.0,522.0,7463820.0,13670.0,546.0,9201676.0,14113.0,652.0,6779250.0,18078.0,375.0,-0.049907997150807515,-0.049905909876919896
2019-11-15,8954396.6,15729.6,5,44771983.0,78648.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12651845.0,16117.0,785.0,7445286.0,14263.0,522.0,7855848.0,14388.0,546.0,9683504.0,14852.0,652.0,7135500.0,19028.0,375.0,0.048246983490923157,0.0533731567175173
2019-10-15,8542258.4,14932.6,5,42711292.0,74663.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12321360.0,15696.0,785.0,7108074.000000001,13617.0,522.0,7499856.0,13736.0,546.0,9242752.0,14176.0,652.0,6539250.0,17438.0,375.0,-0.017154699450810607,-0.017113594776404284
2019-9-15,8691356.0,15192.6,5,43456780.0,75963.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12538020.0,15972.0,785.0,7232310.0,13855.0,522.0,7630350.0,13975.0,546.0,9405100.0,14425.0,652.0,6651000.0,17736.0,375.0,-0.03778595191376444,-0.03779750972171203
2019-8-15,9032663.8,15789.4,5,45163319.0,78947.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",13028645.0,16597.0,785.0,7516278.0,14399.0,522.0,7929558.0,14523.0,546.0,9776088.0,14994.0,652.0,6912750.0,18434.0,375.0,0.003876978715949164,0.0038655697264855515
2019-7-15,8997779.6,15728.6,5,44988898.0,78643.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12976835.000000002,16531.0,785.0,7486524.0,14342.0,522.0,7898436.0,14466.0,546.0,9740228.0,14939.0,652.0,6886875.0,18365.0,375.0,0.004639273858690451,0.004624366065839602
2019-6-15,8956229.2,15656.2,5,44781146.0,78281.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12914820.0,16452.0,785.0,7452072.0,14276.0,522.0,7861308.0,14398.0,546.0,9697196.0,14873.0,652.0,6855750.0,18282.0,375.0,-0.011601270468192038,-0.011616014949306197
2019-5-15,9061352.4,15840.2,5,45306762.0,79201.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",13064755.0,16643.0,785.0,7539246.0,14443.0,522.0,7953036.0,14566.0,546.0,9812600.0,15050.0,652.0,6937125.0,18499.0,375.0,0.0246296183177519,0.024619006960076684
2019-4-15,8843539.4,15459.6,5,44217697.0,77298.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12749185.0,16241.0,785.0,7357590.0,14095.0,522.0,7761390.0,14215.0,546.0,9578532.0,14691.0,652.0,6771000.0,18056.0,375.0,0.035114325225514165,0.03509782128366168
2019-3-15,8543538.8,14935.4,5,42717694.0,74677.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12315080.0,15688.0,785.0,7107552.0,13616.0,522.0,7497672.0,13732.0,546.0,9255140.0,14195.0,652.0,6542249.999999999,17446.0,375.0,-0.003443903064010767,-0.003456282694566104
2019-2-15,8573063.6,14987.2,5,42865318.0,74936.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12355900.000000002,15740.0,785.0,7132086.0,13663.0,522.0,7522788.0,13778.0,546.0,9289044.0,14247.0,652.0,6565500.0,17508.0,375.0,0.018874555688182415,0.01885817618186536
2019-1-15,8414248.4,14709.8,5,42071242.0,73549.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12125110.0,15446.0,785.0,6999498.0,13409.0,522.0,7383012.0,13522.0,546.0,9118872.0,13986.0,652.0,6444750.0,17186.0,375.0,0.03980923239801637,0.03979698589080227
