,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,16418871.0,25221.0,1,16418871,25221,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",16418871.0,25221.0,651.0,-0.14112038140643623,-0.14112038140643623
2019-11-15,19116615.0,29365.0,1,19116615,29365,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",19116615.0,29365.0,651.0,-0.2726754842225194,-0.2726754842225194
2019-10-15,26283474.0,40374.0,1,26283474,40374,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",26283474.0,40374.0,651.0,0.3984274877905165,0.3984274877905165
2019-9-15,18795021.0,28871.0,1,18795021,28871,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",18795021.0,28871.0,651.0,-0.1149566230342417,-0.1149566230342417
2019-8-15,21236271.0,32621.0,1,21236271,32621,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",21236271.0,32621.0,651.0,-0.10575947805586772,-0.10575947805586772
2019-7-15,23747829.0,36479.0,1,23747829,36479,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",23747829.0,36479.0,651.0,0.1010201617771338,0.1010201617771338
2019-6-15,21568932.0,33132.0,1,21568932,33132,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",21568932.0,33132.0,651.0,-0.05217988328183998,-0.05217988328183998
2019-5-15,22756356.0,34956.0,1,22756356,34956,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",22756356.0,34956.0,651.0,0.06540688814385853,0.06540688814385853
2019-4-15,21359310.0,32810.0,1,21359310,32810,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",21359310.0,32810.0,651.0,-0.13698774264821922,-0.13698774264821922
2019-3-15,24749718.0,38018.0,1,24749718,38018,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",24749718.0,38018.0,651.0,0.22154033994152234,0.22154033994152234
2019-2-15,20261073.0,31123.0,1,20261073,31123,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",20261073.0,31123.0,651.0,-0.1415528892566542,-0.1415528892566542
2019-1-15,23602005.0,36255.0,1,23602005,36255,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",23602005.0,36255.0,651.0,0.157899779630162,0.157899779630162
2018-12-15,20383461.0,31311.0,1,20383461,31311,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",20383461.0,31311.0,651.0,,
2018-11-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2018-10-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2018-9-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2018-8-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2018-7-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2018-6-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2018-5-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2018-4-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2018-3-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2018-2-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2018-1-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2017-12-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2017-11-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2017-10-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2017-9-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2017-8-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2017-7-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2017-6-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2017-5-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2017-4-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2017-3-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2017-2-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2017-1-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2016-12-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2016-11-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2016-10-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2016-9-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2016-8-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2016-7-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2016-6-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2016-5-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2016-4-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2016-3-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2016-2-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
2016-1-15,,,1,,,651,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,651.0,,
