,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_I,npsf_I,nfa_I,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,6534056.3,17801.6,10,65340563.0,178016.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12077760.0,17504.0,690.0,3873016.0,17848.0,217.0,3891954.0000000005,17853.0,218.0,4286520.0,17640.0,243.0,7191423.0,17001.0,423.0,7452025.0,16975.0,439.0,7698897.0,17379.0,443.0,7944060.0,17084.0,465.0,5248600.0,18745.0,280.0,5676308.0,19987.0,284.0,0.010028301262351214,0.01163273076507787
2019-11-15,6469181.4,17596.9,10,64691814.0,175969.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12021870.0,17423.0,690.0,3855439.0,17767.0,217.0,3874078.0,17771.0,218.0,4266837.0,17559.0,243.0,7159275.0,16925.0,423.0,7418221.999999999,16898.0,439.0,7664343.0,17301.0,443.0,7907790.0,17006.0,465.0,5224519.999999999,18659.0,280.0,5299440.0,18660.0,284.0,0.0050610528338430605,0.006434307153805774
2019-10-15,6436605.4,17484.4,10,64366054.0,174844.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12070860.0,17494.0,690.0,3820285.0,17605.0,217.0,3839198.0,17611.0,218.0,4227957.0,17399.0,243.0,7197768.0,17016.0,423.0,7351055.0,16745.0,439.0,7595235.0,17145.0,443.0,7836179.999999999,16852.0,465.0,5176640.0,18488.0,280.0,5250876.000000001,18489.0,284.0,-0.016407097034171647,-0.015601159811952758
2019-9-15,6543973.0,17761.5,10,65439730.0,177615.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12451050.0,18045.0,690.0,3918152.0,18056.0,217.0,3967818.0,18201.0,218.0,4336092.0,17844.0,243.0,7227801.0,17087.0,423.0,7496803.0,17077.0,439.0,7619600.0,17200.0,443.0,8041710.0,17294.0,465.0,5153399.999999999,18405.0,280.0,5227304.0,18406.0,284.0,-0.012594213597152848,-0.012394074864882976
2019-8-15,6627440.4,17984.4,10,66274404.0,179844.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12618030.0,18287.0,690.0,3970666.0,18298.0,217.0,4021010.0,18445.0,218.0,4394412.0,18084.0,243.0,7324668.0,17316.0,423.0,7597773.0,17307.0,439.0,7721490.0,17430.0,443.0,8150055.0,17527.0,465.0,5200999.999999999,18575.0,280.0,5275300.0,18575.0,284.0,-0.0034440471467304112,-0.003452154687560549
2019-7-15,6650344.5,18046.7,10,66503445.0,180467.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12661500.0,18350.0,690.0,3984337.0,18361.0,217.0,4034744.0,18508.0,218.0,4409478.0,18146.0,243.0,7349625.0,17375.0,423.0,7624113.0,17367.0,439.0,7748070.0,17490.0,443.0,8177490.0,17586.0,465.0,5219760.000000001,18642.0,280.0,5294328.0,18642.0,284.0,0.022840459226961762,0.0228352169033883
2019-6-15,6501839.5,17643.8,10,65018395.0,176438.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12378600.0,17940.0,690.0,3895150.0000000005,17950.0,217.0,3944492.0,18094.0,218.0,4310820.0,17740.0,243.0,7185078.0,16986.0,423.0,7453781.0,16979.0,439.0,7574857.0,17099.0,443.0,7994745.0,17193.0,465.0,5104120.0,18229.0,280.0,5176752.0,18228.0,284.0,-0.026046484734190023,-0.026049228017686388
2019-5-15,6675718.5,18115.7,10,66757185.0,181157.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12709800.0,18420.0,690.0,3999093.0,18429.0,217.0,4049786.0,18577.0,218.0,4426002.0,18214.0,243.0,7376697.0,17439.0,423.0,7653087.0,17433.0,439.0,7777308.0,17556.0,443.0,8208180.0,17652.0,465.0,5241320.0,18719.0,280.0,5315911.999999999,18718.0,284.0,0.017535454169259834,0.017524447165476742
2019-4-15,6560674.1,17803.7,10,65606741.0,178037.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12490380.0,18102.0,690.0,3930087.0,18111.0,217.0,3979808.0,18256.0,218.0,4349700.0,17900.0,243.0,7249373.999999999,17138.0,423.0,7521387.0,17133.0,439.0,7643079.0,17253.0,443.0,8065890.0,17346.0,465.0,5151720.0,18399.0,280.0,5225316.0,18399.0,284.0,0.013940230223002725,0.013935873341306415
2019-3-15,6470474.2,17559.0,10,64704742.0,175590.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12318570.000000002,17853.0,690.0,3876054.0,17862.0,217.0,3924654.0,18003.0,218.0,4289679.0,17653.0,243.0,7149123.0,16901.0,423.0,7417783.0,16897.0,439.0,7538088.0,17016.0,443.0,7954755.0,17107.0,465.0,5081720.0,18149.0,280.0,5154316.0,18149.0,284.0,0.04869364713912061,0.048686678053966315
2019-2-15,6170032.8,16743.8,10,61700328.0,167438.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",11746560.0,17024.0,690.0,3695944.0,17032.0,217.0,3742406.0,17167.0,218.0,4090419.0,16833.0,243.0,6816645.0,16115.0,423.0,7073607.0,16113.0,439.0,7187675.0,16225.0,443.0,7585080.0,16312.0,465.0,4846520.0,17309.0,280.0,4915472.0,17308.0,284.0,-0.014711964870276817,-0.01471704552810138
2019-1-15,6262161.5,16993.9,10,62621615.0,169939.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",11921820.0,17278.0,690.0,3750845.0,17285.0,217.0,3797996.0,17422.0,218.0,4151412.0,17084.0,243.0,6918165.0,16355.0,423.0,7179406.0,16354.0,439.0,7294881.0,16467.0,443.0,7697610.0,16554.0,465.0,4919600.0,17570.0,280.0,4989880.0,17570.0,284.0,-0.004713012138993555,-0.004714660544440807
2018-12-15,6291814.9,17074.4,10,62918149.0,170744.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",11978399.999999998,17360.0,690.0,3768422.0,17366.0,217.0,3815654.0,17503.0,218.0,4170852.0,17164.0,243.0,6950313.0,16431.0,423.0,7213209.0,16431.0,439.0,7329435.0,16545.0,443.0,7733880.0,16632.0,465.0,4943680.0,17656.0,280.0,5014304.000000001,17656.0,284.0,-0.030958073210745396,-0.030970312313777892
2018-11-15,6492820.1,17620.1,10,64928201.0,176201.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12360660.0,17914.0,690.0,3888857.0,17921.0,217.0,3937298.0,18061.0,218.0,4304016.0,17712.0,243.0,7171965.0,16955.0,423.0,7443684.0,16956.0,439.0,7563339.0,17073.0,443.0,7980330.0,17162.0,465.0,5102720.0,18224.0,280.0,5175332.0,18223.0,284.0,-0.007582126726821348,-0.007586680784914535
2018-10-15,6542425.6,17754.8,10,65424256.0,177548.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12455190.0,18051.0,690.0,3918369.0000000005,18057.0,217.0,3967164.0,18198.0,218.0,4336821.0,17847.0,243.0,7226109.0,17083.0,423.0,7500754.000000001,17086.0,439.0,7620929.0,17203.0,443.0,8040780.0,17292.0,465.0,5142480.0,18366.0,280.0,5215660.0,18365.0,284.0,-0.03045036948300539,-0.030459901925450228
2018-9-15,6747901.7,18312.6,10,67479017.0,183126.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12845730.0,18617.0,690.0,4041191.0,18623.0,217.0,4091642.0,18769.0,218.0,4472901.0,18407.0,243.0,7452837.0,17619.0,423.0,7736497.0,17623.0,439.0,7860149.0,17743.0,443.0,8292810.0,17834.0,465.0,5304880.0,18946.0,280.0,5380380.0,18945.0,284.0,0.01372735733051833,0.01372289603480814
2018-8-15,6656525.2,18064.7,10,66565252.0,180647.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12671850.0,18365.0,690.0,3986290.0,18370.0,217.0,4035834.0,18513.0,218.0,4412151.0,18157.0,243.0,7351317.0,17379.0,423.0,7631576.0,17384.0,439.0,7753386.0,17502.0,443.0,8180280.0,17592.0,465.0,5234040.0,18693.0,280.0,5308528.0,18692.0,284.0,-0.038527396716148354,-0.03853379957101877
2018-7-15,6923260.4,18788.7,10,69232604.0,187887.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",13179690.0,19101.0,690.0,4145785.0,19105.0,217.0,4197372.0,19254.0,218.0,4588812.0,18884.0,243.0,7645302.0,18074.0,423.0,7937559.0,18081.0,439.0,8063929.000000001,18203.0,443.0,8507175.0,18295.0,465.0,5444600.0,19445.0,280.0,5522380.0,19445.0,284.0,0.04085921613394694,0.04085024347276933
2018-6-15,6651485.9,18051.3,10,66514859.0,180513.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12662190.0,18351.0,690.0,3983035.0,18355.0,217.0,4032346.0,18497.0,218.0,4408506.0,18142.0,243.0,7344549.0,17363.0,423.0,7625869.0,17371.0,439.0,7747184.0,17488.0,443.0,8172840.0,17576.0,465.0,5231800.0,18685.0,280.0,5306540.0,18685.0,284.0,0.03012763047438538,0.030119553742117722
2018-5-15,6456953.2,17523.5,10,64569532.0,175235.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12291660.0,17814.0,690.0,3866289.0,17817.0,217.0,3914190.0,17955.0,218.0,4279473.0,17611.0,243.0,7129242.0,16854.0,423.0,7402856.999999999,16863.0,439.0,7520368.0,16976.0,443.0,7933364.999999999,17061.0,465.0,5079760.0,18142.0,280.0,5152328.0,18142.0,284.0,-0.0055635863299347,-0.005572674600067051
2018-4-15,6493078.0,17621.7,10,64930780.0,176217.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12359970.0,17913.0,690.0,3887772.0,17916.0,217.0,3935772.0,18054.0,218.0,4303287.0,17709.0,243.0,7168581.0,16947.0,423.0,7444562.0,16958.0,439.0,7562453.0,17071.0,443.0,7977075.0,17155.0,465.0,5109160.0,18247.0,280.0,5182148.000000001,18247.0,284.0,0.0036900353032482958,0.0036851398302670813
2018-3-15,6469206.4,17557.0,10,64692064.0,175570.0,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",12314430.0,17847.0,690.0,3873233.0,17849.0,217.0,3920948.0,17986.0,218.0,4287249.0,17643.0,243.0,7141509.0,16883.0,423.0,7417344.000000001,16896.0,439.0,7534544.0,17008.0,443.0,7947315.000000001,17091.0,465.0,5091520.0,18184.0,280.0,5163972.0,18183.0,284.0,,
2018-2-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2018-1-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2017-12-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2017-11-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2017-10-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2017-9-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2017-8-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2017-7-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2017-6-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2017-5-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2017-4-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2017-3-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2017-2-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2017-1-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2016-12-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2016-11-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2016-10-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2016-9-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2016-8-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2016-7-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2016-6-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2016-5-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
2016-4-15,,,10,,,3702,"THE AURORA(Block 2),YEUNG UK RD|映日灣2座,楊屋道",,,690.0,,,217.0,,,218.0,,,243.0,,,423.0,,,439.0,,,443.0,,,465.0,,,280.0,,,284.0,,
