,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,11577219.8,15509.6,5,57886099.0,77548.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",19199726.0,18011.0,1066.0,7742652.0,14052.0,551.0,8038092.0,14457.0,556.0,9895716.0,13977.0,708.0,13009913.0,17051.0,763.0,-0.03910407788452663,-0.03910586835844565
2019-11-15,12048359.8,16140.8,5,60241799.0,80704.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",19981104.0,18744.0,1066.0,8057824.0,14624.0,551.0,8365576.0,15046.0,556.0,10297860.0,14545.0,708.0,13539434.999999998,17745.0,763.0,0.06814669953944819,0.06814903050757715
2019-10-15,11279686.4,15111.0,5,56398432.0,75555.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",18706168.0,17548.0,1066.0,7543740.999999999,13691.0,551.0,7831260.0,14085.0,556.0,9641544.0,13618.0,708.0,12675719.0,16613.0,763.0,-0.05156686854728021,-0.05156722694349947
2019-9-15,11892969.6,15932.6,5,59464848.0,79663.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",19723132.0,18502.0,1066.0,7954236.0,14436.0,551.0,8256600.000000001,14850.0,556.0,10166172.0,14359.0,708.0,13364708.0,17516.0,763.0,-0.054728911725443474,-0.05472560071195487
2019-8-15,12581543.8,16855.0,5,62907719.0,84275.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",20864818.0,19573.0,1066.0,8414872.0,15272.0,551.0,8733648.0,15708.0,556.0,10755228.0,15191.0,708.0,14139153.0,18531.0,763.0,0.03568480889169057,0.035688390212729404
2019-7-15,12148043.2,16274.2,5,60740216.0,81371.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",20146334.0,18899.0,1066.0,8125045.999999999,14746.0,551.0,8432296.0,15166.0,556.0,10384944.0,14668.0,708.0,13651596.0,17892.0,763.0,-0.021327508281628105,-0.021324449148465208
2019-6-15,12412776.8,16628.8,5,62063884.0,83144.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",20585526.0,19311.0,1066.0,8302468.0,15068.0,551.0,8615220.0,15495.0,556.0,10611504.0,14988.0,708.0,13949166.0,18282.0,763.0,-0.00026319170921784707,-0.0002765519977877551
2019-5-15,12416044.6,16633.4,5,62080223.0,83167.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",20585526.0,19311.0,1066.0,8302468.0,15068.0,551.0,8615220.0,15495.0,556.0,10627080.0,15010.0,708.0,13949929.0,18283.0,763.0,0.030654626534390106,0.030659412836305577
2019-4-15,12046755.8,16138.6,5,60233779.0,80693.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",19973642.0,18737.0,1066.0,8055620.0,14620.0,551.0,8358348.0,15033.0,556.0,10311312.0,14564.0,708.0,13534857.0,17739.0,763.0,0.04495859149460202,0.04493479921784971
2019-3-15,11528452.8,15444.6,5,57642264.0,77223.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",19133634.0,17949.0,1066.0,7717305.999999999,14006.0,551.0,8006400.0,14400.0,556.0,9878016.0,13952.0,708.0,12906908.0,16916.0,763.0,0.05485908229107572,0.05429648035387591
2019-2-15,10928903.2,14649.2,5,54644516.0,73246.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",18589974.0,17439.0,1066.0,7498008.0,13608.0,551.0,7777883.999999999,13989.0,556.0,9597648.0,13556.0,708.0,11181002.0,14654.0,763.0,0.011278375266086327,0.011280012149829544
2019-1-15,10807017.6,14485.8,5,54035088.0,72429.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",18382104.0,17244.0,1066.0,7414256.0,13456.0,551.0,7690591.999999999,13832.0,556.0,9490740.0,13405.0,708.0,11057396.0,14492.0,763.0,-0.06823842669861657,-0.06760984024407524
