,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,18786141.0,17193.333333333332,3,56358423.0,51580.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19370010.0,16346.0,1185.0,17166718.0,18619.0,922.0,19821695.0,16615.0,1193.0,-0.020463176762261392,-0.02047172319495627
2019-11-15,19178596.0,17552.666666666668,3,57535788.0,52658.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19774095.0,16687.0,1185.0,17527220.0,19010.0,922.0,20234473.0,16961.0,1193.0,0.0030767631136128237,0.0030668419147761306
2019-10-15,19119769.0,17499.0,3,57359307.0,52497.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19712475.0,16635.0,1185.0,17475588.0,18954.0,922.0,20171244.0,16908.0,1193.0,0.007588908455173016,0.007581282868220018
2019-9-15,18975763.666666668,17367.333333333332,3,56927291.0,52102.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19563165.0,16509.0,1185.0,17345586.0,18813.0,922.0,20018540.0,16780.0,1193.0,0.006656841761204069,0.006646315545422832
2019-8-15,18850280.333333332,17252.666666666668,3,56550841.0,51758.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19432815.0,16399.0,1185.0,17233102.0,18691.0,922.0,19884924.0,16668.0,1193.0,-0.037018632909997407,-0.03702463347473384
2019-7-15,19574917.0,17916.0,3,58724751.0,53748.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",20179365.0,17029.0,1185.0,17896942.0,19411.0,922.0,20648444.0,17308.0,1193.0,0.10176981661725826,0.10175467366349622
2019-6-15,17766793.666666668,16261.333333333334,3,53300381.0,48784.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",18314175.0,15455.0,1185.0,16246562.0,17621.0,922.0,18739644.0,15708.0,1193.0,-0.0523444554999517,-0.05235144427824945
2019-5-15,18748155.666666668,17159.666666666668,3,56244467.0,51479.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19324980.0,16308.0,1185.0,17145512.0,18596.0,922.0,19773975.0,16575.0,1193.0,-0.03455362654412375,-0.03456359476388726
2019-4-15,19419158.0,17774.0,3,58257474.0,53322.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",20015835.0,16891.0,1185.0,17761408.0,19264.0,922.0,20480231.0,17167.0,1193.0,0.008235107777149198,0.00822508366895458
2019-3-15,19260545.333333332,17629.0,3,57781636.0,52887.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19851120.0,16752.0,1185.0,17618498.0,19109.0,922.0,20312018.000000004,17026.0,1193.0,0.05700774555467003,0.057000099930049064
2019-2-15,18221763.666666668,16678.333333333332,3,54665291.0,50035.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",18779880.0,15848.0,1185.0,16669760.0,18080.0,922.0,19215651.0,16107.0,1193.0,-0.016520478951707274,-0.01653038760908887
