,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_I,npsf_I,nfa_I,lumpSum_change,npsf_change
2019-12-15,10248461.222222222,17204.555555555555,9,92236151.0,154841.0,5345,"THE AURORA(Block 1),YEUNG UK RD|映日灣1座,楊屋道",14954331.0,17409.0,859.0,11160551.0,17357.0,643.0,11303488.0,17552.0,644.0,14152072.0,17624.0,803.0,12381204.0,17054.0,726.0,7463640.0,16810.0,444.0,7416760.0,16780.0,442.0,5660697.0,17311.0,327.0,7743408.0,16944.0,457.0,0.004565332232244312,0.004573882804795648
2019-11-15,10201886.222222222,17126.222222222223,9,91816976.0,154136.0,5345,"THE AURORA(Block 1),YEUNG UK RD|映日灣1座,楊屋道",14888188.0,17332.0,859.0,11109754.0,17278.0,643.0,11252612.0,17473.0,644.0,14087029.0,17543.0,803.0,12324576.0,16976.0,726.0,7429008.0,16732.0,444.0,7382726.0,16703.0,442.0,5634864.0,17232.0,327.0,7708219.0,16867.0,457.0,0.009114665161055635,0.00910668106975665
2019-10-15,10109739.333333334,16971.666666666668,9,90987654.0,152745.0,5345,"THE AURORA(Block 1),YEUNG UK RD|映日灣1座,楊屋道",14754184.0,17176.0,859.0,11008803.0,17121.0,643.0,11150216.0,17314.0,644.0,13959352.0,17384.0,803.0,12212772.000000002,16822.0,726.0,7362852.0,16583.0,444.0,7316868.0,16554.0,442.0,5583852.0,17076.0,327.0,7638755.0,16715.0,457.0,-0.025037498288226323,-0.02504643547862051
2019-9-15,10369362.222222222,17407.666666666668,9,93324260.0,156669.0,5345,"THE AURORA(Block 1),YEUNG UK RD|映日灣1座,楊屋道",15133862.0,17618.0,859.0,11291080.0,17560.0,643.0,11436151.999999998,17758.0,644.0,14316687.0,17829.0,803.0,12525678.0,17253.0,726.0,7553328.0,17012.0,444.0,7506044.0,16982.0,442.0,5727078.0,17514.0,327.0,7834351.0,17143.0,457.0,-0.01620714206704532,-0.017206985672345798
2019-8-15,10540188.555555556,17712.444444444445,9,94861697.0,159412.0,5345,"THE AURORA(Block 1),YEUNG UK RD|映日灣1座,楊屋道",15338304.0,17856.0,859.0,11442828.0,17796.0,643.0,11590068.0,17997.0,644.0,14509407.0,18069.0,803.0,12694110.0,17485.0,726.0,7823724.0,17621.0,444.0,7719088.0,17464.0,442.0,5804250.0,17750.0,327.0,7939918.0,17374.0,457.0,-0.0033765766587320334,-0.003376012803841144
2019-7-15,10575898.888888888,17772.444444444445,9,95183090.0,159952.0,5345,"THE AURORA(Block 1),YEUNG UK RD|映日灣1座,楊屋道",15388985.0,17915.0,859.0,11482051.0,17857.0,643.0,11629352.0,18058.0,644.0,14559193.0,18131.0,803.0,12737670.0,17545.0,726.0,7850364.0,17681.0,444.0,7744724.0,17522.0,442.0,5823870.0,17810.0,327.0,7966881.0,17433.0,457.0,0.022934383640837552,0.02293337426294717
2019-6-15,10338785.222222222,17374.0,9,93049067.0,156366.0,5345,"THE AURORA(Block 1),YEUNG UK RD|映日灣1座,楊屋道",15042808.0,17512.0,859.0,11224851.0,17457.0,643.0,11369176.0,17654.0,644.0,14233175.000000002,17725.0,803.0,12452352.0,17152.0,726.0,7674096.0,17284.0,444.0,7571018.0,17129.0,442.0,5693397.0,17411.0,327.0,7788194.0,17042.0,457.0,-0.025983636067912208,-0.025987616639051137
2019-5-15,10614590.888888888,17837.555555555555,9,95531318.0,160538.0,5345,"THE AURORA(Block 1),YEUNG UK RD|映日灣1座,楊屋道",15443102.0,17978.0,859.0,11524489.0,17923.0,643.0,11672500.0,18125.0,644.0,14612993.999999998,18198.0,803.0,12784860.0,17610.0,726.0,7878780.0,17745.0,444.0,7773012.0,17586.0,442.0,5845452.0,17876.0,327.0,7996129.0,17497.0,457.0,0.01762110248399229,0.01762192725566991
2019-4-15,10430788.888888888,17528.666666666668,9,93877100.0,157758.0,5345,"THE AURORA(Block 1),YEUNG UK RD|映日灣1座,楊屋道",15174235.0,17665.0,859.0,11325159.0,17613.0,643.0,11470284.0,17811.0,644.0,14360852.0,17884.0,803.0,12564156.0,17306.0,726.0,7742472.0,17438.0,444.0,7638202.0,17281.0,442.0,5744082.0,17566.0,327.0,7857658.0,17194.0,457.0,0.014020103515553384,0.014018781696523375
2019-3-15,10286570.111111112,17286.333333333332,9,92579131.0,155577.0,5345,"THE AURORA(Block 1),YEUNG UK RD|映日灣1座,楊屋道",14963780.0,17420.0,859.0,11168910.0,17370.0,643.0,11311860.0,17565.0,644.0,14162511.0,17637.0,803.0,12390642.0,17067.0,726.0,7635024.0,17196.0,444.0,7532564.0,17042.0,442.0,5664948.0,17324.0,327.0,7748892.0,16956.0,457.0,0.04876463757200722,0.048765361358473314
2019-2-15,9808273.222222222,16482.555555555555,9,88274459.0,148343.0,5345,"THE AURORA(Block 1),YEUNG UK RD|映日灣1座,楊屋道",14266272.0,16608.0,859.0,10650009.0,16563.0,643.0,10786356.0,16749.0,644.0,13504854.0,16818.0,803.0,11814924.0,16274.0,726.0,7279824.0,16396.0,444.0,7182058.0,16249.0,442.0,5401386.0,16518.0,327.0,7388776.0,16168.0,457.0,-0.014637041129620054,-0.014639946329053521
