,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_CD,npsf_CD,nfa_CD,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,28960029.375,21145.375,8,231680235,169163,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",15597028.0,18094.0,862.0,60592046.0,25642.0,2363.0,11855160.0,21954.0,540.0,17230752.0,19536.0,882.0,91814499.0,28701.0,3199.0,13078800.0,18900.0,692.0,8641245.0,17817.0,485.0,12870705.0,18519.0,695.0,-0.17355016846460702,-0.17441996661818826
2019-11-15,35041485.0,25612.75,8,280331880,204902,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",18918314.0,21947.0,862.0,72815845.0,30815.0,2363.0,14381280.0,26632.0,540.0,20897226.0,23693.0,882.0,111360389.0,34811.0,3199.0,15859256.0,22918.0,692.0,10485700.0,21620.0,485.0,15613870.0,22466.0,695.0,0.03985700316831364,0.03979498629858935
2019-10-15,33698369.0,24632.5,8,269586952,197060,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",18195096.0,21108.0,862.0,70015690.0,29630.0,2363.0,13832100.0,25615.0,540.0,20095488.0,22784.0,882.0,107092923.0,33477.0,3199.0,15248220.0,22035.0,692.0,10088485.0,20801.0,485.0,15018950.0,21610.0,695.0,-0.059874648303390954,-0.05992691606796996
2019-9-15,35844548.75,26202.75,8,286756390,209622,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",19355348.0,22454.0,862.0,74467582.0,31514.0,2363.0,14715540.0,27251.0,540.0,21374388.0,24234.0,882.0,113913191.0,35609.0,3199.0,16215636.0,23433.0,692.0,10735960.0,22136.0,485.0,15978745.0,22991.0,695.0,0.0922715387862314,0.09221358454388184
2019-8-15,32816518.125,23990.5,8,262532145,191924,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",17721858.0,20559.0,862.0,68170187.0,28849.0,2363.0,13474620.0,24953.0,540.0,19567170.0,22185.0,882.0,104290599.0,32601.0,3199.0,14842016.0,21448.0,692.0,9833860.0,20276.0,485.0,14631835.0,21053.0,695.0,-0.03730476799768012,-0.037366958580356546
2019-7-15,34088169.375,24921.75,8,272705355,199374,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",18410596.0,21358.0,862.0,70800206.0,29962.0,2363.0,13998960.0,25924.0,540.0,20324808.0,23044.0,882.0,108334135.0,33865.0,3199.0,15414300.0,22275.0,692.0,10219920.0,21072.0,485.0,15202430.0,21874.0,695.0,-0.001781062878918771,-0.0018623652038088911
2019-6-15,34148990.875,24968.25,8,273191927,199746,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",18445938.0,21399.0,862.0,70908904.0,30008.0,2363.0,14027040.0,25976.0,540.0,20360970.0,23085.0,882.0,108532473.0,33927.0,3199.0,15439212.0,22311.0,692.0,10243685.0,21121.0,485.0,15233705.0,21919.0,695.0,-0.03407443086581208,-0.0341522854421229
2019-5-15,35353646.25,25851.125,8,282829170,206809,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",19099334.0,22157.0,862.0,73390054.0,31058.0,2363.0,14524920.0,26898.0,540.0,21079800.0,23900.0,882.0,112368074.0,35126.0,3199.0,15981048.0,23094.0,692.0,10610830.0,21878.0,485.0,15775110.0,22698.0,695.0,0.03577125235864065,0.027719387171956544
2019-4-15,34132677.625,25153.875,8,273061421,201231,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",18713158.0,21709.0,862.0,70715138.0,29926.0,2363.0,14231700.0,26355.0,540.0,20650266.0,23413.0,882.0,107240077.0,33523.0,3199.0,15653732.0,22621.0,692.0,10399855.0,21443.0,485.0,15457495.0,22241.0,695.0,0.01931906040982434,0.019076895028967256
2019-3-15,33485764.125,24683.0,8,267886113,197464,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",18365772.0,21306.0,862.0,69370591.0,29357.0,2363.0,13968720.0,25868.0,540.0,20264832.0,22976.0,882.0,105173523.0,32877.0,3199.0,15358940.0,22195.0,692.0,10211190.0,21054.0,485.0,15172545.0,21831.0,695.0,0.045793273483738295,0.04525868913897324
2019-2-15,32019487.0,23614.25,8,256155896,188914,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",17564112.0,20376.0,862.0,67061940.0,28380.0,2363.0,13359600.0,24740.0,540.0,19377540.0,21970.0,882.0,99827994.0,31206.0,3199.0,14684240.0,21220.0,692.0,9768870.0,20142.0,485.0,14511600.0,20880.0,695.0,0.011331540296747322,0.011149113369836927
2019-1-15,31660722.25,23353.875,8,253285778,186831,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",17371886.0,20153.0,862.0,66324684.0,28068.0,2363.0,13214340.0,24471.0,540.0,19164096.0,21728.0,882.0,98669956.0,30844.0,3199.0,14520236.0,20983.0,692.0,9666050.0,19930.0,485.0,14354530.0,20654.0,695.0,-0.004652581079794382,-0.004836501739116539
