,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,14794723.2,31897.0,5,73973616.0,159485.0,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",20219259.000000004,34921.0,579.0,16111007.999999998,30864.0,522.0,10164240.0,29720.0,342.0,10902147.0,32937.0,331.0,16576962.0,31043.0,534.0,-0.02357059544419282,-0.023577166087084267
2019-11-15,15151861.6,32667.2,5,75759308.0,163336.0,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",20706198.0,35762.0,579.0,16499898.0,31609.0,522.0,10409796.0,30438.0,342.0,11165954.0,33734.0,331.0,16977462.0,31793.0,534.0,-0.0428143113303191,-0.04282039110892322
2019-10-15,15829594.8,34128.6,5,79147974.0,170643.0,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",21631440.0,37360.0,579.0,17237484.0,33022.0,522.0,10875942.0,31801.0,342.0,11665764.0,35244.0,331.0,17737344.0,33216.0,534.0,0.014289780153117881,0.014283166904422107
2019-9-15,15606580.2,33648.0,5,78032901.0,168240.0,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",21325728.0,36832.0,579.0,16994754.0,32557.0,522.0,10723068.0,31354.0,342.0,11501919.0,34749.0,331.0,17487432.0,32748.0,534.0,-0.062929200118098,-0.06293340165646466
2019-8-15,16654643.6,35907.8,5,83273218.0,179539.0,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",22757016.0,39304.0,579.0,18135846.0,34743.0,522.0,11443319.999999998,33460.0,342.0,12274804.0,37084.0,331.0,18662232.0,34948.0,534.0,0.0015079767623047413,0.001500529926925953
2019-7-15,16629566.6,35854.0,5,83147833.0,179270.0,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",22721697.0,39243.0,579.0,18108180.0,34690.0,522.0,11426562.0,33411.0,342.0,12256930.0,37030.0,331.0,18634464.0,34896.0,534.0,0.0049519740091736875,0.004944278763145515
2019-6-15,16547623.2,35677.6,5,82738116.0,178388.0,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",22608213.0,39047.0,579.0,18018918.0,34519.0,522.0,11370816.0,33248.0,342.0,12197019.0,36849.0,331.0,18543150.000000004,34725.0,534.0,-0.032948659274458114,-0.03295440376869585
2019-5-15,17111421.6,36893.4,5,85557108.0,184467.0,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",23377704.0,40376.0,579.0,18632268.000000004,35694.0,522.0,11758644.0,34382.0,342.0,12613086.0,38106.0,331.0,19175406.0,35909.0,534.0,,
2019-4-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2019-3-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2019-2-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2019-1-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2018-12-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2018-11-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2018-10-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2018-9-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2018-8-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2018-7-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2018-6-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2018-5-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2018-4-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2018-3-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2018-2-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2018-1-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2017-12-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2017-11-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
