,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5954148.0,9588.0,621.0,,
2019-11-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5421951.0,8731.0,621.0,,
2019-10-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5449896.0,8776.0,621.0,,
2019-9-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5915646.0,9526.0,621.0,,
2019-8-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5493366.0,8846.0,621.0,,
2019-7-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5128218.0,8258.0,621.0,,
2019-6-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5345568.0,8608.0,621.0,,
2019-5-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5898258.0,9498.0,621.0,,
2019-4-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5695191.0,9171.0,621.0,,
2019-3-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5387175.0,8675.0,621.0,,
2019-2-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5262354.0,8474.0,621.0,,
2019-1-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5375376.0,8656.0,621.0,,
2018-12-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,,,621.0,,
2018-11-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,,,621.0,,
2018-10-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,,,621.0,,
2018-9-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,,,621.0,,
2018-8-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,,,621.0,,
2018-7-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,,,621.0,,
2018-6-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,,,621.0,,
2018-5-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5486535.0,8835.0,621.0,,
2018-4-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5103999.0,8219.0,621.0,,
2018-3-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5260491.0,8471.0,621.0,,
2018-2-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5387175.0,8675.0,621.0,,
2018-1-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5458590.0,8790.0,621.0,,
2017-12-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5008986.0,8066.0,621.0,,
2017-11-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,4931361.0,7941.0,621.0,,
2017-10-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5013954.0,8074.0,621.0,,
2017-9-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5248692.0,8452.0,621.0,,
2017-8-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,5047488.0,8128.0,621.0,,
2017-7-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,4795362.0,7722.0,621.0,,
2017-6-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,4494177.0,7237.0,621.0,,
2017-5-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,4581117.0,7377.0,621.0,,
2017-4-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,4552551.0,7331.0,621.0,,
2017-3-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,,,188.0,4460022.0,7182.0,621.0,,
2017-2-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1960840.0,10430.0,188.0,,,621.0,,
2017-1-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1895604.0,10083.0,188.0,,,621.0,,
2016-12-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1983212.0,10549.0,188.0,,,621.0,,
2016-11-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1871352.0,9954.0,188.0,,,621.0,,
2016-10-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1844280.0,9810.0,188.0,,,621.0,,
2016-9-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1788820.0,9515.0,188.0,,,621.0,,
2016-8-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1808560.0,9620.0,188.0,,,621.0,,
2016-7-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1739564.0,9253.0,188.0,,,621.0,,
2016-6-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1795776.0,9552.0,188.0,,,621.0,,
2016-5-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1684668.0,8961.0,188.0,,,621.0,,
2016-4-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1681284.0,8943.0,188.0,,,621.0,,
2016-3-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1700272.0,9044.0,188.0,,,621.0,,
2016-2-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1867592.0,9934.0,188.0,,,621.0,,
2016-1-15,,,2,,,809,41 SOUTH WALL RD|41 城南道,1723020.0,9165.0,188.0,,,621.0,,
