,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,6649162.5,19799.5,4,26596650,79198,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",9075204.0,19146.0,474.0,5598306.0,19782.0,283.0,5712564.0,19974.0,286.0,6210576.0,20296.0,306.0,-0.014776983906577557,-0.01477869280720523
2019-11-15,6748890.75,20096.5,4,26995563,80386,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",9211242.0,19433.0,474.0,5682357.0,20079.0,283.0,5798364.0,20274.0,286.0,6303600.0,20600.0,306.0,0.08319772077001053,0.08319409259957955
2019-10-15,6230525.25,18553.0,4,24922101,74212,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",8503560.0,17940.0,474.0,5245971.0,18537.0,283.0,5353062.0,18717.0,286.0,5819508.0,19018.0,306.0,-0.0898392441744853,-0.08957970409990923
2019-9-15,6845521.75,20378.5,4,27382087,81514,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",9360552.0,19748.0,474.0,5758201.0,20347.0,283.0,5875584.0,20544.0,286.0,6387750.0,20875.0,306.0,-0.0036306126698907315,-0.003630318661304699
2019-8-15,6870465.75,20452.75,4,27481863,81811,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",9394680.0,19820.0,474.0,5779143.0,20421.0,283.0,5897034.0,20619.0,286.0,6411006.0,20951.0,306.0,0.009966198561182305,0.009962470989086869
2019-7-15,6802669.0,20251.0,4,27210676,81004,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",9301776.0,19624.0,474.0,5722260.0,20220.0,283.0,5838976.0,20416.0,286.0,6347664.0,20744.0,306.0,-0.036480676057199846,-0.03648106957214736
2019-6-15,7060231.0,21017.75,4,28240924,84071,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",9653958.0,20367.0,474.0,5939038.0,20986.0,283.0,6060054.0,21189.0,286.0,6587874.0,21529.0,306.0,0.011211077927556268,0.011210142051263583
2019-5-15,6981955.75,20784.75,4,27927823,83139,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",9546834.0,20141.0,474.0,5873099.0,20753.0,283.0,5992844.0,20954.0,286.0,6515046.0,21291.0,306.0,0.022759359838232518,0.022896724820984815
2019-4-15,6826587.0,20319.5,4,27306348,81278,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",9347280.0,19720.0,474.0,5750560.0,20320.0,283.0,5867576.0,20516.0,286.0,6340932.0,20722.0,306.0,,
2019-3-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2019-2-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2019-1-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2018-12-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2018-11-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2018-10-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2018-9-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2018-8-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2018-7-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2018-6-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2018-5-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2018-4-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2018-3-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2018-2-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2018-1-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2017-12-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2017-11-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2017-10-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2017-9-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2017-8-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2017-7-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2017-6-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2017-5-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2017-4-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2017-3-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2017-2-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2017-1-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2016-12-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2016-11-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2016-10-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2016-9-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2016-8-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2016-7-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2016-6-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2016-5-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2016-4-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2016-3-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2016-2-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
2016-1-15,,,4,,,1349,"HYDE PARK,HAI TAN ST|海珀,海壇街",,,474.0,,,283.0,,,286.0,,,306.0,,
